ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600866.SH,20200225,5.66,6.18,5.59,6.11,5.7,0.41000000000000014,7.193,878266.73,526114.722
600866.SH,20200224,5.56,5.76,5.51,5.7,5.6,0.10000000000000053,1.7857,553420.07,313570.997
600866.SH,20200221,5.38,5.61,5.35,5.6,5.44,0.15999999999999925,2.9412,577054.94,317971.823
600866.SH,20200220,5.41,5.47,5.2,5.44,5.43,0.010000000000000675,0.1842,567451.34,303497.244
600866.SH,20200219,5.68,5.69,5.42,5.43,5.75,-0.3200000000000003,-5.5652,498044.97,275856.21
600866.SH,20200218,5.69,5.75,5.55,5.75,5.67,0.08000000000000007,1.4109,471201.93,265359.766
600866.SH,20200217,5.63,5.73,5.57,5.67,5.59,0.08000000000000007,1.4311,403752.93,227775.542
600866.SH,20200214,5.71,5.88,5.51,5.59,5.83,-0.2400000000000002,-4.1166,539982.22,305826.556
600866.SH,20200213,6.1,6.2,5.75,5.83,6.28,-0.4500000000000002,-7.1656,727640.3,431580.964
600866.SH,20200212,5.8,6.62,5.8,6.28,6.4,-0.1200000000000001,-1.875,1003456.77,614745.581
600866.SH,20200211,6.41,6.66,6.4,6.4,7.11,-0.71,-9.9859,241446.94,154917.828
600866.SH,20200210,8.4,8.47,7.11,7.11,7.9,-0.79,-10.0,1303117.57,970952.976
600866.SH,20200207,7.86,7.9,7.19,7.9,7.18,0.7200000000000006,10.0279,1536345.62,1181863.424
600866.SH,20200206,7.18,7.18,6.8,7.18,6.53,0.6499999999999995,9.9541,1081121.97,768292.372
600866.SH,20200205,6.53,6.53,6.3,6.53,5.94,0.5899999999999999,9.9327,419165.88,273242.66
600866.SH,20200204,5.69,6.0,5.01,5.94,5.57,0.3700000000000001,6.6427,1017276.34,561258.087
600866.SH,20200203,5.94,5.94,5.2,5.57,5.4,0.16999999999999993,3.1481,1005592.85,571572.192
600866.SH,20200123,5.1,5.51,4.86,5.4,5.05,0.35000000000000053,6.9307,480014.94,247369.336
600866.SH,20200122,4.62,5.05,4.56,5.05,4.59,0.45999999999999996,10.0218,365826.77,177555.627
600866.SH,20200121,4.55,4.66,4.52,4.59,4.46,0.1299999999999999,2.9148,180177.13,82533.676
600866.SH,20200120,4.44,4.46,4.4,4.46,4.34,0.1200000000000001,2.765,74507.15,33027.806
600866.SH,20200117,4.38,4.41,4.32,4.34,4.37,-0.03000000000000025,-0.6865,44052.0,19221.374
600866.SH,20200116,4.46,4.48,4.36,4.37,4.46,-0.08999999999999986,-2.0179,83988.31,36950.581
600866.SH,20200115,4.62,4.62,4.4,4.46,4.6,-0.13999999999999968,-3.0435,104201.44,46682.842
600866.SH,20200114,4.61,4.63,4.57,4.6,4.61,-0.010000000000000675,-0.2169,78565.0,36135.332
600866.SH,20200113,4.56,4.67,4.55,4.61,4.57,0.040000000000000036,0.8753,112533.96,51967.452
600866.SH,20200110,4.53,4.57,4.53,4.57,4.54,0.03000000000000025,0.6608,58153.0,26500.617
600866.SH,20200109,4.5,4.57,4.5,4.54,4.49,0.04999999999999982,1.1136,67732.65,30677.069
600866.SH,20200108,4.59,4.59,4.48,4.49,4.58,-0.08999999999999986,-1.9651,87758.42,39646.214
600866.SH,20200107,4.48,4.59,4.46,4.58,4.48,0.09999999999999964,2.2321,127728.93,57841.416
600866.SH,20200106,4.46,4.52,4.43,4.48,4.49,-0.009999999999999787,-0.2227,91646.02,40983.404
600866.SH,20200103,4.47,4.51,4.44,4.49,4.48,0.009999999999999787,0.2232,65344.04,29203.119
600866.SH,20200102,4.47,4.51,4.45,4.48,4.44,0.040000000000000036,0.9009,52254.69,23421.845
600866.SH,20191231,4.38,4.46,4.37,4.44,4.39,0.05000000000000071,1.139,60763.88,26915.083
600866.SH,20191230,4.38,4.4,4.29,4.39,4.4,-0.010000000000000675,-0.2273,50497.44,21946.061
600866.SH,20191227,4.45,4.45,4.39,4.4,4.43,-0.02999999999999936,-0.6772,61292.61,27104.74
600866.SH,20191226,4.45,4.46,4.39,4.43,4.45,-0.020000000000000462,-0.4494,42009.0,18576.924
600866.SH,20191225,4.42,4.47,4.42,4.45,4.45,0.0,0.0,24847.0,11056.84
600866.SH,20191224,4.39,4.46,4.38,4.45,4.38,0.07000000000000028,1.5982,32990.02,14603.191
600866.SH,20191223,4.54,4.54,4.38,4.38,4.55,-0.16999999999999993,-3.7363,52439.12,23383.436
