ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000739.SZ,20200225,15.41,16.54,15.37,16.47,15.8,0.6699999999999982,4.2405,284959.67,460747.28
000739.SZ,20200224,15.45,15.92,15.39,15.8,15.38,0.41999999999999993,2.7308,235226.36,368884.745
000739.SZ,20200221,14.65,15.45,14.5,15.38,14.58,0.8000000000000007,5.487,240245.86,363217.815
000739.SZ,20200220,14.39,14.68,14.25,14.58,14.39,0.1899999999999995,1.3204,117670.35,170064.237
000739.SZ,20200219,14.86,14.86,14.35,14.39,14.79,-0.3999999999999986,-2.7045,120520.98,174423.303
000739.SZ,20200218,15.07,15.19,14.49,14.79,14.86,-0.07000000000000028,-0.4711,167944.96,247536.047
000739.SZ,20200217,14.3,14.98,14.2,14.86,14.31,0.5499999999999989,3.8435,209008.44,304142.777
000739.SZ,20200214,14.6,14.68,14.19,14.31,14.44,-0.129999999999999,-0.9003,134323.69,193614.005
000739.SZ,20200213,15.0,15.06,14.43,14.44,15.14,-0.7000000000000011,-4.6235,214436.72,313928.431
000739.SZ,20200212,15.13,15.3,14.86,15.14,15.21,-0.07000000000000028,-0.4602,186744.5,282136.465
000739.SZ,20200211,14.93,15.41,14.65,15.21,15.06,0.15000000000000036,0.996,253767.86,380572.95
000739.SZ,20200210,16.08,16.08,14.7,15.06,16.12,-1.0600000000000005,-6.5757,316608.84,480277.26
000739.SZ,20200207,16.6,17.38,15.6,16.12,15.9,0.22000000000000064,1.3836,456320.53,751804.039
000739.SZ,20200206,14.8,16.45,14.75,15.9,15.1,0.8000000000000007,5.298,386931.34,609820.287
000739.SZ,20200205,14.03,15.1,13.78,15.1,14.03,1.0700000000000003,7.6265,336765.53,494844.2
000739.SZ,20200204,13.67,14.17,13.25,14.03,13.47,0.5599999999999987,4.1574,284243.52,392918.212
000739.SZ,20200203,13.05,15.19,13.05,13.47,14.5,-1.0299999999999994,-7.1034,320767.33,449878.769
000739.SZ,20200123,15.22,15.51,14.2,14.5,15.25,-0.75,-4.918,190534.21,281555.103
000739.SZ,20200122,16.23,16.27,15.0,15.25,15.89,-0.6400000000000006,-4.0277,243882.0,372945.854
000739.SZ,20200121,15.19,16.16,15.17,15.89,14.81,1.08,7.2924,367949.2,575566.09
000739.SZ,20200120,14.75,15.3,14.36,14.81,14.45,0.3600000000000012,2.4913,197508.49,291118.183
000739.SZ,20200117,14.41,14.64,14.18,14.45,14.41,0.03999999999999915,0.2776,156851.14,226459.815
000739.SZ,20200116,14.02,14.5,13.8,14.41,13.99,0.41999999999999993,3.0021,147893.12,210933.865
000739.SZ,20200115,13.63,14.12,13.53,13.99,13.62,0.370000000000001,2.7166,144390.73,200815.553
000739.SZ,20200114,13.81,13.89,13.6,13.62,13.81,-0.19000000000000128,-1.3758,60672.01,83102.57
000739.SZ,20200113,13.7,13.94,13.7,13.81,13.65,0.16000000000000014,1.1722,107503.64,148414.848
000739.SZ,20200110,13.78,13.88,13.5,13.65,13.66,-0.009999999999999787,-0.0732,109375.41,149439.76
000739.SZ,20200109,13.29,13.66,13.29,13.66,13.25,0.41000000000000014,3.0943,145709.74,197071.263
