ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000908.SZ,20200225,3.47,3.55,3.42,3.51,3.52,-0.010000000000000231,-0.2841,183400.42,63931.682
000908.SZ,20200224,3.47,3.57,3.45,3.52,3.47,0.04999999999999982,1.4409,139198.2,48810.666
000908.SZ,20200221,3.45,3.49,3.43,3.47,3.46,0.010000000000000231,0.289,140698.96,48647.395
000908.SZ,20200220,3.45,3.48,3.4,3.46,3.46,0.0,0.0,130830.3,44980.43
000908.SZ,20200219,3.52,3.53,3.45,3.46,3.54,-0.08000000000000007,-2.2599,145155.4,50479.193
000908.SZ,20200218,3.54,3.58,3.5,3.54,3.53,0.010000000000000231,0.2833,141338.71,49924.38
000908.SZ,20200217,3.47,3.54,3.44,3.53,3.48,0.04999999999999982,1.4368,150902.1,52928.528
000908.SZ,20200214,3.52,3.61,3.45,3.48,3.43,0.04999999999999982,1.4577,194667.95,68692.955
000908.SZ,20200213,3.56,3.58,3.43,3.43,3.55,-0.11999999999999966,-3.3803,142381.8,49402.736
000908.SZ,20200212,3.54,3.62,3.49,3.55,3.54,0.009999999999999787,0.2825,139084.2,49455.016
000908.SZ,20200211,3.62,3.64,3.45,3.54,3.64,-0.10000000000000009,-2.7473,203777.31,71840.794
000908.SZ,20200210,3.74,3.74,3.62,3.64,3.8,-0.1599999999999997,-4.2105,270072.73,99065.951
000908.SZ,20200207,3.69,3.98,3.56,3.8,3.7,0.09999999999999964,2.7027,526171.6,197614.697
000908.SZ,20200206,3.59,3.83,3.54,3.7,3.63,0.07000000000000028,1.9284,490574.01,182671.695
000908.SZ,20200205,3.47,3.67,3.37,3.63,3.46,0.16999999999999993,4.9133,414392.21,145666.217
000908.SZ,20200204,3.23,3.49,3.2,3.46,3.24,0.21999999999999975,6.7901,313379.68,105616.942
000908.SZ,20200203,3.18,3.34,3.02,3.24,3.36,-0.11999999999999966,-3.5714,249499.91,79900.887
000908.SZ,20200123,3.44,3.45,3.31,3.36,3.45,-0.0900000000000003,-2.6087,173970.47,58521.429
000908.SZ,20200122,3.62,3.64,3.4,3.45,3.57,-0.11999999999999966,-3.3613,174978.23,61039.047
000908.SZ,20200121,3.53,3.63,3.48,3.57,3.47,0.09999999999999964,2.8818,259516.61,92578.538
000908.SZ,20200120,3.33,3.48,3.31,3.47,3.38,0.0900000000000003,2.6627,228265.5,77552.747
000908.SZ,20200117,3.47,3.54,3.38,3.38,3.75,-0.3700000000000001,-9.8667,410099.75,140986.895
000908.SZ,20200116,3.74,3.77,3.73,3.75,3.77,-0.020000000000000018,-0.5305,60981.01,22880.844
000908.SZ,20200115,3.82,3.84,3.76,3.77,3.83,-0.06000000000000005,-1.5666,91190.0,34567.07
000908.SZ,20200114,3.84,3.86,3.82,3.83,3.84,-0.009999999999999787,-0.2604,81263.89,31219.496
000908.SZ,20200113,3.86,3.86,3.78,3.84,3.85,-0.010000000000000231,-0.2597,81228.43,31020.439
000908.SZ,20200110,3.87,3.88,3.84,3.85,3.87,-0.020000000000000018,-0.5168,78948.19,30408.794
000908.SZ,20200109,3.86,3.88,3.82,3.87,3.82,0.050000000000000266,1.3089,138331.28,53318.876
000908.SZ,20200108,3.86,3.9,3.81,3.82,3.93,-0.11000000000000032,-2.799,218284.26,84075.678
000908.SZ,20200107,3.88,4.03,3.86,3.93,3.87,0.06000000000000005,1.5504,251822.34,99287.626
