ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600869.SH,20200225,4.2,4.27,4.1,4.21,4.3,-0.08999999999999986,-2.093,411732.53,172529.319
600869.SH,20200224,4.33,4.34,4.24,4.3,4.36,-0.0600000000000005,-1.3761,415495.23,178123.358
600869.SH,20200221,4.31,4.38,4.3,4.36,4.32,0.040000000000000036,0.9259,420372.65,182468.535
600869.SH,20200220,4.27,4.33,4.22,4.32,4.24,0.08000000000000007,1.8868,395240.65,169265.758
600869.SH,20200219,4.3,4.4,4.24,4.24,4.27,-0.02999999999999936,-0.7026,513652.42,222181.085
600869.SH,20200218,4.2,4.3,4.16,4.27,4.19,0.07999999999999918,1.9093,533501.65,225354.004
600869.SH,20200217,4.09,4.21,4.06,4.19,4.08,0.11000000000000032,2.6961,377230.95,156522.795
600869.SH,20200214,4.09,4.12,4.06,4.08,4.1,-0.019999999999999574,-0.4878,262097.36,107059.631
600869.SH,20200213,4.19,4.2,4.09,4.1,4.2,-0.10000000000000053,-2.381,334394.64,138084.285
600869.SH,20200212,4.07,4.25,4.06,4.2,4.07,0.1299999999999999,3.1941,447341.5,185692.843
600869.SH,20200211,4.13,4.14,4.06,4.07,4.12,-0.04999999999999982,-1.2136,388742.51,158949.609
600869.SH,20200210,3.99,4.13,3.96,4.12,3.99,0.1299999999999999,3.2581,475279.74,191837.578
600869.SH,20200207,4.0,4.01,3.93,3.99,4.02,-0.02999999999999936,-0.7463,378331.63,150176.84
600869.SH,20200206,4.05,4.05,3.89,4.02,4.08,-0.0600000000000005,-1.4706,779973.95,309817.711
600869.SH,20200205,4.06,4.16,3.97,4.08,4.1,-0.019999999999999574,-0.4878,617086.86,251555.805
600869.SH,20200204,4.02,4.22,4.02,4.1,4.47,-0.3700000000000001,-8.2774,948997.62,384094.599
600869.SH,20200203,4.6,4.6,4.47,4.47,4.97,-0.5,-10.0604,63042.0,28564.064
600869.SH,20200123,5.04,5.08,4.92,4.97,5.07,-0.10000000000000053,-1.9724,257945.15,128520.828
600869.SH,20200122,5.01,5.11,4.96,5.07,5.07,0.0,0.0,232021.0,116869.234
600869.SH,20200121,5.14,5.23,5.06,5.07,5.24,-0.16999999999999993,-3.2443,289125.0,148446.637
600869.SH,20200120,5.29,5.34,5.15,5.24,5.3,-0.05999999999999961,-1.1321,315810.1,165530.892
600869.SH,20200117,5.38,5.47,5.25,5.3,5.4,-0.10000000000000053,-1.8519,471128.28,251673.941
600869.SH,20200116,5.4,5.5,5.36,5.4,5.44,-0.040000000000000036,-0.7353,405393.39,219323.845
600869.SH,20200115,5.29,5.5,5.23,5.44,5.3,0.14000000000000057,2.6415,420931.65,224152.833
600869.SH,20200114,5.27,5.33,5.22,5.3,5.27,0.03000000000000025,0.5693,385510.17,203308.986
600869.SH,20200113,5.16,5.28,5.14,5.27,5.16,0.10999999999999943,2.1318,462954.58,240462.537
600869.SH,20200110,5.18,5.21,5.11,5.16,5.18,-0.019999999999999574,-0.3861,285718.0,147384.511
600869.SH,20200109,5.2,5.2,5.12,5.18,5.17,0.009999999999999787,0.1934,261667.0,134862.584
600869.SH,20200108,5.15,5.19,5.11,5.17,5.17,0.0,0.0,280353.24,144446.618
600869.SH,20200107,5.24,5.29,5.12,5.17,5.22,-0.04999999999999982,-0.9579,378592.92,196597.77
