ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600099.SH,20200225,6.2,6.2,5.86,6.16,6.21,-0.04999999999999982,-0.8052,40968.97,24825.282
600099.SH,20200224,6.18,6.27,6.12,6.21,6.2,0.009999999999999787,0.1613,35184.01,21742.106
600099.SH,20200221,6.15,6.22,6.11,6.2,6.17,0.03000000000000025,0.4862,24788.46,15269.739
600099.SH,20200220,6.06,6.19,6.04,6.17,6.06,0.11000000000000032,1.8152,29572.48,18107.103
600099.SH,20200219,6.06,6.09,6.0,6.06,6.06,0.0,0.0,22069.93,13335.19
600099.SH,20200218,5.95,6.09,5.95,6.06,5.96,0.09999999999999964,1.6779,19714.69,11895.704
600099.SH,20200217,5.78,5.99,5.78,5.96,5.74,0.21999999999999975,3.8328,21248.85,12566.159
600099.SH,20200214,5.71,5.85,5.71,5.74,5.73,0.009999999999999787,0.1745,16507.52,9533.223
600099.SH,20200213,5.87,5.89,5.7,5.73,5.88,-0.14999999999999947,-2.551,18037.02,10416.994
600099.SH,20200212,5.76,5.88,5.76,5.88,5.76,0.1200000000000001,2.0833,16681.0,9732.317
600099.SH,20200211,5.85,5.86,5.74,5.76,5.84,-0.08000000000000007,-1.3699,12287.01,7116.005
600099.SH,20200210,5.7,5.86,5.64,5.84,5.71,0.1299999999999999,2.2767,17179.96,9880.513
600099.SH,20200207,5.64,5.72,5.55,5.71,5.65,0.05999999999999961,1.0619,17423.0,9834.981
600099.SH,20200206,5.56,5.67,5.53,5.65,5.55,0.10000000000000053,1.8018,22414.52,12601.129
600099.SH,20200205,5.45,5.69,5.41,5.55,5.43,0.1200000000000001,2.2099,26373.07,14661.399
600099.SH,20200204,5.16,5.49,5.16,5.43,5.65,-0.22000000000000064,-3.8938,40984.22,21950.821
600099.SH,20200203,5.65,5.65,5.65,5.65,6.28,-0.6299999999999999,-10.0318,7321.0,4136.365
600099.SH,20200123,6.59,6.59,6.23,6.28,6.58,-0.2999999999999998,-4.5593,34577.7,22101.298
600099.SH,20200122,6.55,6.61,6.4,6.58,6.58,0.0,0.0,18820.83,12255.005
600099.SH,20200121,6.66,6.67,6.56,6.58,6.67,-0.08999999999999986,-1.3493,16297.0,10771.969
600099.SH,20200120,6.59,6.67,6.56,6.67,6.6,0.07000000000000028,1.0606,19394.77,12861.132
600099.SH,20200117,6.6,6.64,6.52,6.6,6.59,0.009999999999999787,0.1517,19347.53,12719.209
600099.SH,20200116,6.69,6.72,6.58,6.59,6.69,-0.10000000000000053,-1.4948,15076.0,10023.101
600099.SH,20200115,6.77,6.78,6.62,6.69,6.75,-0.05999999999999961,-0.8889,19526.0,13064.375
600099.SH,20200114,6.74,6.81,6.69,6.75,6.74,0.009999999999999787,0.1484,29194.61,19706.679
600099.SH,20200113,6.71,6.77,6.66,6.74,6.75,-0.009999999999999787,-0.1481,23580.24,15813.15
600099.SH,20200110,6.83,6.85,6.66,6.75,6.83,-0.08000000000000007,-1.1713,39542.92,26691.596
600099.SH,20200109,6.77,6.94,6.77,6.83,6.73,0.09999999999999964,1.4859,35140.0,24114.592
600099.SH,20200108,6.81,6.85,6.7,6.73,6.81,-0.07999999999999918,-1.1747,27198.34,18438.577
600099.SH,20200107,6.74,6.83,6.74,6.81,6.77,0.040000000000000036,0.5908,18649.73,12660.407
600099.SH,20200106,6.75,6.8,6.69,6.77,6.76,0.009999999999999787,0.1479,23817.0,16080.231
600099.SH,20200103,6.69,6.76,6.66,6.76,6.72,0.040000000000000036,0.5952,24723.0,16590.058
600099.SH,20200102,6.63,6.76,6.63,6.72,6.64,0.08000000000000007,1.2048,27809.64,18649.294
600099.SH,20191231,6.6,6.68,6.56,6.64,6.63,0.009999999999999787,0.1508,19742.71,13096.074
600099.SH,20191230,6.59,6.68,6.46,6.63,6.66,-0.03000000000000025,-0.4505,28276.72,18600.571
600099.SH,20191227,6.63,6.77,6.63,6.66,6.63,0.03000000000000025,0.4525,30655.06,20519.25
600099.SH,20191226,6.58,6.74,6.58,6.63,6.58,0.04999999999999982,0.7599,33910.71,22628.606
600099.SH,20191225,6.56,6.63,6.51,6.58,6.59,-0.009999999999999787,-0.1517,22555.24,14825.43
600099.SH,20191224,6.47,6.63,6.45,6.59,6.45,0.13999999999999968,2.1705,21388.0,14032.906
600099.SH,20191223,6.55,6.57,6.43,6.45,6.56,-0.10999999999999943,-1.6768,18980.0,12324.329
600099.SH,20191220,6.6,6.64,6.55,6.56,6.56,0.0,0.0,22030.4,14550.085
600099.SH,20191219,6.5,6.61,6.49,6.56,6.51,0.04999999999999982,0.768,15314.44,10028.344
600099.SH,20191218,6.52,6.57,6.49,6.51,6.51,0.0,0.0,17231.0,11246.783
600099.SH,20191217,6.44,6.55,6.42,6.51,6.45,0.05999999999999961,0.9302,19895.77,12930.928
600099.SH,20191216,6.41,6.46,6.37,6.45,6.39,0.0600000000000005,0.939,18500.53,11865.016
600099.SH,20191213,6.36,6.41,6.29,6.39,6.29,0.09999999999999964,1.5898,18917.53,12046.708
600099.SH,20191212,6.38,6.4,6.29,6.29,6.37,-0.08000000000000007,-1.2559,12618.51,7997.192
600099.SH,20191211,6.42,6.44,6.35,6.37,6.41,-0.040000000000000036,-0.624,9383.34,5983.504
600099.SH,20191210,6.36,6.41,6.34,6.41,6.36,0.04999999999999982,0.7862,11619.0,7408.316
600099.SH,20191209,6.38,6.43,6.35,6.36,6.37,-0.009999999999999787,-0.157,12716.01,8106.553
600099.SH,20191206,6.32,6.41,6.32,6.37,6.36,0.009999999999999787,0.1572,20417.26,12986.412
600099.SH,20191205,6.33,6.38,6.31,6.36,6.31,0.05000000000000071,0.7924,13819.0,8763.444
600099.SH,20191204,6.26,6.36,6.22,6.31,6.26,0.04999999999999982,0.7987,14895.28,9394.739
600099.SH,20191203,6.17,6.27,6.11,6.26,6.19,0.0699999999999994,1.1309,14384.33,8893.543
600099.SH,20191202,6.23,6.26,6.15,6.19,6.24,-0.04999999999999982,-0.8013,14373.07,8932.439
600099.SH,20191129,6.2,6.24,6.14,6.24,6.18,0.0600000000000005,0.9709,9452.28,5848.854
600099.SH,20191128,6.1,6.27,6.1,6.18,6.22,-0.040000000000000036,-0.6431,8043.0,4987.028
600099.SH,20191127,6.2,6.29,6.2,6.22,6.22,0.0,0.0,11142.5,6956.974
600099.SH,20191126,6.06,6.32,6.06,6.22,6.29,-0.07000000000000028,-1.1129,12516.0,7799.719
600099.SH,20191125,6.33,6.33,6.19,6.29,6.31,-0.019999999999999574,-0.317,14853.47,9303.15
600099.SH,20191122,6.4,6.5,6.28,6.31,6.38,-0.07000000000000028,-1.0972,18883.0,12075.411
600099.SH,20191121,6.38,6.47,6.35,6.38,6.43,-0.04999999999999982,-0.7776,11347.01,7255.839
600099.SH,20191120,6.5,6.54,6.39,6.43,6.52,-0.08999999999999986,-1.3804,12554.0,8120.727
600099.SH,20191119,6.33,6.52,6.33,6.52,6.38,0.13999999999999968,2.1944,15678.0,10098.683
600099.SH,20191118,6.38,6.4,6.3,6.38,6.38,0.0,0.0,13825.26,8790.209
600099.SH,20191115,6.45,6.48,6.36,6.38,6.45,-0.07000000000000028,-1.0853,12101.0,7757.644
600099.SH,20191114,6.41,6.48,6.34,6.45,6.37,0.08000000000000007,1.2559,10154.0,6518.976
600099.SH,20191113,6.42,6.45,6.35,6.37,6.42,-0.04999999999999982,-0.7788,12290.0,7865.118
600099.SH,20191112,6.42,6.45,6.24,6.42,6.33,0.08999999999999986,1.4218,17315.39,10983.113
600099.SH,20191111,6.58,6.58,6.32,6.33,6.55,-0.21999999999999975,-3.3588,18136.69,11559.611
600099.SH,20191108,6.69,6.71,6.52,6.55,6.56,-0.009999999999999787,-0.1524,8270.5,5444.605
600099.SH,20191107,6.54,6.61,6.46,6.56,6.54,0.019999999999999574,0.3058,12554.88,8216.989
600099.SH,20191106,6.65,6.68,6.53,6.54,6.69,-0.15000000000000036,-2.2422,18661.8,12314.997
600099.SH,20191105,6.75,6.79,6.6,6.69,6.76,-0.0699999999999994,-1.0355,18053.88,12071.258
600099.SH,20191104,6.95,6.98,6.72,6.76,6.92,-0.16000000000000014,-2.3121,18083.0,12341.772
600099.SH,20191101,6.71,6.97,6.68,6.92,6.71,0.20999999999999996,3.1297,19543.88,13448.111
600099.SH,20191031,6.8,6.9,6.66,6.71,6.8,-0.08999999999999986,-1.3235,15329.0,10408.328
600099.SH,20191030,6.97,6.97,6.7,6.8,6.93,-0.1299999999999999,-1.8759,18353.84,12477.599
600099.SH,20191029,6.99,7.04,6.9,6.93,6.99,-0.0600000000000005,-0.8584,18914.01,13204.415
600099.SH,20191028,6.95,6.99,6.86,6.99,6.91,0.08000000000000007,1.1577,16981.0,11801.693
600099.SH,20191025,6.91,6.96,6.85,6.91,6.9,0.009999999999999787,0.1449,9966.0,6884.732
600099.SH,20191024,6.86,6.95,6.81,6.9,6.86,0.040000000000000036,0.5831,13159.0,9084.646
600099.SH,20191023,6.88,6.92,6.8,6.86,6.87,-0.009999999999999787,-0.1456,15348.37,10540.792
600099.SH,20191022,6.72,6.88,6.7,6.87,6.72,0.15000000000000036,2.2321,16115.7,10983.77
600099.SH,20191021,6.7,6.73,6.63,6.72,6.7,0.019999999999999574,0.2985,16313.7,10903.402
600099.SH,20191018,6.83,6.89,6.67,6.7,6.82,-0.1200000000000001,-1.7595,15649.0,10602.966
600099.SH,20191017,6.87,6.92,6.78,6.82,6.88,-0.05999999999999961,-0.8721,13866.0,9476.292
600099.SH,20191016,7.02,7.03,6.86,6.88,6.98,-0.10000000000000053,-1.4327,11385.03,7883.049
600099.SH,20191015,7.09,7.09,6.93,6.98,7.08,-0.09999999999999964,-1.4124,13739.53,9580.697
600099.SH,20191014,6.97,7.1,6.97,7.08,6.96,0.1200000000000001,1.7241,17378.61,12257.908
600099.SH,20191011,6.97,7.02,6.9,6.96,6.99,-0.03000000000000025,-0.4292,12658.0,8802.077
600099.SH,20191010,6.83,7.02,6.79,6.99,6.8,0.1900000000000004,2.7941,17728.0,12312.896
600099.SH,20191009,6.77,6.81,6.65,6.8,6.76,0.040000000000000036,0.5917,13262.0,8930.978
600099.SH,20191008,6.83,7.06,6.75,6.76,6.83,-0.07000000000000028,-1.0249,19483.85,13348.638
600099.SH,20190930,6.97,7.0,6.8,6.83,6.89,-0.05999999999999961,-0.8708,20323.0,14012.56
600099.SH,20190927,6.74,7.01,6.7,6.89,6.71,0.17999999999999972,2.6826,24591.0,16960.345
600099.SH,20190926,7.09,7.09,6.67,6.71,7.07,-0.3600000000000003,-5.0919,34694.4,23678.794
600099.SH,20190925,7.2,7.21,7.01,7.07,7.23,-0.16000000000000014,-2.213,20649.0,14659.895
600099.SH,20190924,7.29,7.34,7.2,7.23,7.28,-0.04999999999999982,-0.6868,21340.0,15517.682
600099.SH,20190923,7.39,7.39,7.2,7.28,7.39,-0.10999999999999943,-1.4885,27795.21,20183.293
600099.SH,20190920,7.27,7.51,7.24,7.39,7.27,0.1200000000000001,1.6506,41813.63,30880.581
600099.SH,20190919,7.1,7.27,7.07,7.27,7.1,0.16999999999999993,2.3944,18804.01,13555.179
600099.SH,20190918,7.07,7.19,7.05,7.1,7.11,-0.010000000000000675,-0.1406,11510.99,8207.276
600099.SH,20190917,7.29,7.29,7.01,7.11,7.3,-0.1899999999999995,-2.6027,23607.0,16850.463
600099.SH,20190916,7.26,7.38,7.26,7.3,7.25,0.04999999999999982,0.6897,22206.0,16261.808
600099.SH,20190912,7.15,7.35,7.14,7.25,7.13,0.1200000000000001,1.683,33986.42,24599.079
600099.SH,20190911,7.14,7.31,7.13,7.13,7.17,-0.040000000000000036,-0.5579,30259.47,21847.139
600099.SH,20190910,7.12,7.19,7.07,7.17,7.14,0.03000000000000025,0.4202,22231.0,15844.606
600099.SH,20190909,7.08,7.18,7.05,7.14,7.04,0.09999999999999964,1.4205,19296.84,13725.755
600099.SH,20190906,7.08,7.09,7.01,7.04,7.04,0.0,0.0,15212.0,10716.867
600099.SH,20190905,7.03,7.12,6.99,7.04,6.98,0.05999999999999961,0.8596,25724.37,18168.91
600099.SH,20190904,6.98,7.0,6.9,6.98,6.96,0.020000000000000462,0.2874,18981.01,13186.464
600099.SH,20190903,6.96,7.08,6.9,6.96,6.95,0.009999999999999787,0.1439,16871.0,11760.658
