ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600873.SH,20200225,4.3,4.37,4.27,4.35,4.36,-0.010000000000000675,-0.2294,333547.03,144161.482
600873.SH,20200224,4.41,4.41,4.3,4.36,4.41,-0.04999999999999982,-1.1338,192949.8,84145.843
600873.SH,20200221,4.42,4.46,4.4,4.41,4.42,-0.009999999999999787,-0.2262,264517.28,117082.665
600873.SH,20200220,4.33,4.47,4.31,4.42,4.34,0.08000000000000007,1.8433,326763.18,143339.594
600873.SH,20200219,4.37,4.4,4.33,4.34,4.37,-0.03000000000000025,-0.6865,164426.02,71563.818
600873.SH,20200218,4.4,4.42,4.34,4.37,4.39,-0.019999999999999574,-0.4556,174444.29,76300.52
600873.SH,20200217,4.21,4.44,4.21,4.39,4.25,0.13999999999999968,3.2941,356918.3,155683.943
600873.SH,20200214,4.22,4.25,4.2,4.25,4.2,0.04999999999999982,1.1905,152991.01,64718.35
600873.SH,20200213,4.25,4.25,4.19,4.2,4.24,-0.040000000000000036,-0.9434,123576.75,52068.665
600873.SH,20200212,4.2,4.25,4.18,4.24,4.19,0.04999999999999982,1.1933,153832.82,65026.99
600873.SH,20200211,4.26,4.26,4.18,4.19,4.26,-0.0699999999999994,-1.6432,158086.29,66591.2
600873.SH,20200210,4.2,4.27,4.16,4.26,4.21,0.04999999999999982,1.1876,159735.62,67377.223
600873.SH,20200207,4.25,4.26,4.17,4.21,4.27,-0.05999999999999961,-1.4052,193222.0,81254.951
600873.SH,20200206,4.29,4.31,4.2,4.27,4.29,-0.020000000000000462,-0.4662,232417.22,99122.879
600873.SH,20200205,4.21,4.42,4.21,4.29,4.2,0.08999999999999986,2.1429,329060.37,141117.21
600873.SH,20200204,3.89,4.26,3.89,4.2,3.87,0.33000000000000007,8.5271,369155.24,150421.615
600873.SH,20200203,3.86,4.03,3.86,3.87,4.29,-0.41999999999999993,-9.7902,431262.03,168323.676
600873.SH,20200123,4.39,4.4,4.26,4.29,4.41,-0.1200000000000001,-2.7211,200109.32,86743.715
600873.SH,20200122,4.45,4.46,4.35,4.41,4.44,-0.03000000000000025,-0.6757,130245.22,57205.512
600873.SH,20200121,4.4,4.53,4.4,4.44,4.4,0.040000000000000036,0.9091,208628.07,93242.289
600873.SH,20200120,4.39,4.41,4.35,4.4,4.38,0.020000000000000462,0.4566,82763.22,36257.444
600873.SH,20200117,4.42,4.43,4.36,4.38,4.41,-0.03000000000000025,-0.6803,132240.71,58119.337
600873.SH,20200116,4.44,4.45,4.4,4.41,4.44,-0.03000000000000025,-0.6757,83877.0,37079.33
600873.SH,20200115,4.46,4.47,4.41,4.44,4.47,-0.02999999999999936,-0.6711,102045.05,45312.69
600873.SH,20200114,4.5,4.52,4.47,4.47,4.5,-0.03000000000000025,-0.6667,95234.69,42697.392
600873.SH,20200113,4.46,4.5,4.45,4.5,4.47,0.03000000000000025,0.6711,98684.87,44259.552
600873.SH,20200110,4.46,4.51,4.45,4.47,4.48,-0.010000000000000675,-0.2232,66123.0,29570.121
600873.SH,20200109,4.47,4.51,4.46,4.48,4.45,0.03000000000000025,0.6742,82151.02,36804.391
600873.SH,20200108,4.53,4.54,4.44,4.45,4.54,-0.08999999999999986,-1.9824,130603.39,58576.424
600873.SH,20200107,4.53,4.56,4.51,4.54,4.53,0.009999999999999787,0.2208,111655.21,50733.098
600873.SH,20200106,4.47,4.56,4.46,4.53,4.49,0.040000000000000036,0.8909,165681.71,75123.956
600873.SH,20200103,4.53,4.53,4.46,4.49,4.5,-0.009999999999999787,-0.2222,136944.3,61598.987
600873.SH,20200102,4.47,4.54,4.46,4.5,4.45,0.04999999999999982,1.1236,175015.94,78911.615
600873.SH,20191231,4.43,4.47,4.4,4.45,4.44,0.009999999999999787,0.2252,128791.93,57084.222
600873.SH,20191230,4.38,4.45,4.34,4.44,4.37,0.07000000000000028,1.6018,135167.91,59570.435
600873.SH,20191227,4.34,4.42,4.33,4.37,4.36,0.009999999999999787,0.2294,124808.87,54583.688
600873.SH,20191226,4.34,4.36,4.33,4.36,4.34,0.020000000000000462,0.4608,56708.56,24638.294
600873.SH,20191225,4.35,4.38,4.33,4.34,4.35,-0.009999999999999787,-0.2299,58183.68,25321.996
600873.SH,20191224,4.29,4.37,4.28,4.35,4.3,0.04999999999999982,1.1628,76366.11,33045.72
600873.SH,20191223,4.36,4.39,4.3,4.3,4.35,-0.04999999999999982,-1.1494,99380.22,43221.806
600873.SH,20191220,4.37,4.38,4.34,4.35,4.36,-0.010000000000000675,-0.2294,75972.0,33104.616
600873.SH,20191219,4.35,4.38,4.33,4.36,4.34,0.020000000000000462,0.4608,85179.2,37115.919
600873.SH,20191218,4.38,4.4,4.34,4.34,4.37,-0.03000000000000025,-0.6865,125855.01,54877.828
600873.SH,20191217,4.39,4.41,4.36,4.37,4.38,-0.009999999999999787,-0.2283,144628.38,63413.33
600873.SH,20191216,4.36,4.39,4.33,4.38,4.35,0.03000000000000025,0.6897,175248.33,76463.069
600873.SH,20191213,4.26,4.37,4.24,4.35,4.26,0.08999999999999986,2.1127,217487.95,94093.553
600873.SH,20191212,4.21,4.29,4.19,4.26,4.21,0.04999999999999982,1.1876,177532.22,75327.036
600873.SH,20191211,4.23,4.24,4.18,4.21,4.21,0.0,0.0,82846.49,34845.621
600873.SH,20191210,4.17,4.23,4.16,4.21,4.17,0.040000000000000036,0.9592,121908.48,51159.618
600873.SH,20191209,4.15,4.17,4.14,4.17,4.16,0.009999999999999787,0.2404,76156.0,31658.971
600873.SH,20191206,4.17,4.2,4.14,4.16,4.16,0.0,0.0,99622.1,41547.293
600873.SH,20191205,4.18,4.2,4.15,4.16,4.17,-0.009999999999999787,-0.2398,82469.04,34364.83
600873.SH,20191204,4.12,4.17,4.1,4.17,4.13,0.040000000000000036,0.9685,101886.14,42257.056
600873.SH,20191203,4.12,4.14,4.1,4.13,4.13,0.0,0.0,54503.8,22417.03
600873.SH,20191202,4.13,4.17,4.13,4.13,4.14,-0.009999999999999787,-0.2415,60515.27,25080.208
600873.SH,20191129,4.14,4.16,4.13,4.14,4.14,0.0,0.0,62765.6,25987.293
600873.SH,20191128,4.13,4.15,4.12,4.14,4.13,0.009999999999999787,0.2421,64207.25,26574.887
600873.SH,20191127,4.1,4.15,4.08,4.13,4.1,0.03000000000000025,0.7317,95221.0,39228.871
600873.SH,20191126,4.09,4.11,4.08,4.1,4.1,0.0,0.0,66556.55,27274.365
600873.SH,20191125,4.07,4.11,4.06,4.1,4.07,0.02999999999999936,0.7371,101840.35,41595.462
600873.SH,20191122,4.08,4.1,4.05,4.07,4.07,0.0,0.0,91805.66,37426.69
600873.SH,20191121,4.06,4.1,4.06,4.07,4.08,-0.009999999999999787,-0.2451,62724.0,25567.727
600873.SH,20191120,4.13,4.14,4.07,4.08,4.16,-0.08000000000000007,-1.9231,150037.03,61524.615
600873.SH,20191119,4.1,4.16,4.03,4.16,4.15,0.009999999999999787,0.241,226628.28,92778.863
600873.SH,20191118,4.17,4.17,4.12,4.15,4.15,0.0,0.0,94746.79,39274.036
600873.SH,20191115,4.2,4.21,4.15,4.15,4.19,-0.040000000000000036,-0.9547,81455.0,34033.199
600873.SH,20191114,4.18,4.21,4.16,4.19,4.18,0.010000000000000675,0.2392,69979.69,29296.218
600873.SH,20191113,4.17,4.2,4.13,4.18,4.18,0.0,0.0,89128.56,37231.593
600873.SH,20191112,4.16,4.19,4.09,4.18,4.17,0.009999999999999787,0.2398,175390.65,72517.256
600873.SH,20191111,4.22,4.23,4.17,4.17,4.23,-0.0600000000000005,-1.4184,152825.98,63937.677
600873.SH,20191108,4.21,4.25,4.2,4.23,4.2,0.03000000000000025,0.7143,122899.77,51917.61
600873.SH,20191107,4.2,4.23,4.18,4.2,4.2,0.0,0.0,93120.0,39108.208
600873.SH,20191106,4.22,4.22,4.18,4.2,4.22,-0.019999999999999574,-0.4739,106120.2,44579.365
600873.SH,20191105,4.22,4.24,4.2,4.22,4.22,0.0,0.0,102101.79,43018.917
600873.SH,20191104,4.23,4.25,4.21,4.22,4.22,0.0,0.0,116178.15,49079.337
600873.SH,20191101,4.18,4.24,4.16,4.22,4.18,0.040000000000000036,0.9569,99157.03,41646.34
600873.SH,20191031,4.2,4.23,4.18,4.18,4.19,-0.010000000000000675,-0.2387,98842.57,41559.231
600873.SH,20191030,4.24,4.26,4.18,4.19,4.24,-0.04999999999999982,-1.1792,148618.03,62576.851
600873.SH,20191029,4.31,4.32,4.23,4.24,4.32,-0.08000000000000007,-1.8519,176045.87,75219.199
600873.SH,20191028,4.3,4.34,4.29,4.32,4.3,0.020000000000000462,0.4651,163448.02,70594.811
600873.SH,20191025,4.39,4.4,4.29,4.3,4.42,-0.1200000000000001,-2.7149,281385.5,121635.822
600873.SH,20191024,4.4,4.43,4.4,4.42,4.4,0.019999999999999574,0.4545,134869.59,59552.227
600873.SH,20191023,4.39,4.42,4.38,4.4,4.39,0.010000000000000675,0.2278,116611.17,51283.503
600873.SH,20191022,4.33,4.4,4.31,4.39,4.33,0.05999999999999961,1.3857,103276.03,45218.16
600873.SH,20191021,4.29,4.35,4.26,4.33,4.31,0.020000000000000462,0.464,134013.0,57804.361
600873.SH,20191018,4.38,4.43,4.3,4.31,4.38,-0.07000000000000028,-1.5982,149922.65,65475.324
600873.SH,20191017,4.36,4.39,4.35,4.38,4.37,0.009999999999999787,0.2288,69454.43,30392.068
600873.SH,20191016,4.4,4.41,4.36,4.37,4.39,-0.019999999999999574,-0.4556,80530.84,35293.454
600873.SH,20191015,4.42,4.42,4.38,4.39,4.41,-0.020000000000000462,-0.4535,86885.68,38144.167
600873.SH,20191014,4.41,4.43,4.38,4.41,4.38,0.03000000000000025,0.6849,149257.55,65746.514
600873.SH,20191011,4.39,4.4,4.34,4.38,4.38,0.0,0.0,106712.31,46654.888
600873.SH,20191010,4.34,4.38,4.32,4.38,4.33,0.04999999999999982,1.1547,118105.87,51424.4
600873.SH,20191009,4.34,4.34,4.3,4.33,4.34,-0.009999999999999787,-0.2304,91385.09,39459.723
600873.SH,20191008,4.32,4.36,4.32,4.34,4.32,0.019999999999999574,0.463,114470.9,49685.688
600873.SH,20190930,4.32,4.36,4.3,4.32,4.32,0.0,0.0,89762.55,38936.725
600873.SH,20190927,4.28,4.34,4.28,4.32,4.29,0.03000000000000025,0.6993,93496.73,40367.88
600873.SH,20190926,4.33,4.35,4.29,4.29,4.32,-0.03000000000000025,-0.6944,114421.3,49353.158
600873.SH,20190925,4.37,4.37,4.31,4.32,4.37,-0.04999999999999982,-1.1442,110680.59,47915.182
600873.SH,20190924,4.35,4.41,4.35,4.37,4.36,0.009999999999999787,0.2294,116200.17,50958.687
600873.SH,20190923,4.42,4.42,4.33,4.36,4.42,-0.05999999999999961,-1.3575,138071.52,60202.597
600873.SH,20190920,4.46,4.46,4.4,4.42,4.46,-0.040000000000000036,-0.8969,192684.49,85180.685
600873.SH,20190919,4.46,4.46,4.41,4.46,4.44,0.019999999999999574,0.4505,99851.31,44372.348
600873.SH,20190918,4.46,4.48,4.43,4.44,4.46,-0.019999999999999574,-0.4484,132707.28,59086.511
600873.SH,20190917,4.56,4.57,4.45,4.46,4.57,-0.11000000000000032,-2.407,292761.06,131506.616
600873.SH,20190916,4.57,4.61,4.55,4.57,4.56,0.010000000000000675,0.2193,209717.09,95903.578
600873.SH,20190912,4.55,4.58,4.51,4.56,4.55,0.009999999999999787,0.2198,212006.96,96322.653
600873.SH,20190911,4.68,4.68,4.55,4.55,4.66,-0.11000000000000032,-2.3605,412046.0,189286.789
600873.SH,20190910,4.58,4.67,4.54,4.66,4.59,0.07000000000000028,1.5251,317368.46,146754.077
600873.SH,20190909,4.6,4.61,4.53,4.59,4.57,0.019999999999999574,0.4376,292461.26,133276.327
600873.SH,20190906,4.59,4.6,4.55,4.57,4.56,0.010000000000000675,0.2193,178179.7,81354.428
600873.SH,20190905,4.56,4.61,4.54,4.56,4.54,0.019999999999999574,0.4405,308840.0,141543.662
600873.SH,20190904,4.55,4.55,4.49,4.54,4.54,0.0,0.0,182025.46,82273.619
600873.SH,20190903,4.54,4.58,4.5,4.54,4.54,0.0,0.0,157698.55,71596.472
600873.SH,20190902,4.43,4.56,4.42,4.54,4.43,0.11000000000000032,2.4831,284858.71,128960.483
600873.SH,20190830,4.51,4.53,4.42,4.43,4.49,-0.0600000000000005,-1.3363,265722.2,118878.352
600873.SH,20190829,4.51,4.52,4.49,4.49,4.52,-0.02999999999999936,-0.6637,204133.47,91932.571
600873.SH,20190828,4.5,4.56,4.47,4.52,4.52,0.0,0.0,250812.65,113415.021
600873.SH,20190827,4.48,4.53,4.46,4.52,4.47,0.04999999999999982,1.1186,309147.99,138997.31
600873.SH,20190826,4.45,4.56,4.42,4.47,4.5,-0.03000000000000025,-0.6667,328080.16,147162.483
600873.SH,20190823,4.38,4.55,4.36,4.5,4.41,0.08999999999999986,2.0408,527147.8,234984.806
600873.SH,20190822,4.27,4.45,4.27,4.41,4.24,0.16999999999999993,4.0094,514614.76,224724.836
600873.SH,20190821,4.26,4.28,4.22,4.24,4.27,-0.02999999999999936,-0.7026,136717.37,58062.532
600873.SH,20190820,4.3,4.32,4.25,4.27,4.31,-0.040000000000000036,-0.9281,168073.76,71973.823
600873.SH,20190819,4.28,4.31,4.21,4.31,4.25,0.05999999999999961,1.4118,280884.13,119914.481
600873.SH,20190816,4.25,4.29,4.23,4.25,4.26,-0.009999999999999787,-0.2347,149652.69,63772.742
600873.SH,20190815,4.19,4.28,4.16,4.26,4.28,-0.020000000000000462,-0.4673,144011.0,61051.024
600873.SH,20190814,4.29,4.3,4.23,4.28,4.27,0.010000000000000675,0.2342,179821.33,76837.181
600873.SH,20190813,4.25,4.3,4.12,4.27,4.2,0.0699999999999994,1.6667,287995.24,121145.8
600873.SH,20190812,4.2466,4.2652,4.0612,4.2003,4.2652,-0.06489999999999974,-1.5216,479276.37,214506.679
600873.SH,20190809,4.3023,4.3301,4.2559,4.2652,4.3023,-0.03709999999999969,-0.8623,179302.0,82780.247
600873.SH,20190808,4.2652,4.3208,4.2652,4.3023,4.2559,0.04640000000000022,1.0903,119456.73,55346.739
600873.SH,20190807,4.2837,4.3023,4.2466,4.2559,4.2559,0.0,0.0,170189.97,78305.69
600873.SH,20190806,4.3301,4.3393,4.1724,4.2559,4.3301,-0.07420000000000027,-1.7136,269614.57,123811.562
600873.SH,20190805,4.3579,4.3672,4.3115,4.3301,4.3672,-0.03710000000000058,-0.8495,178586.36,83625.314
600873.SH,20190802,4.4042,4.4042,4.3208,4.3672,4.4506,-0.08339999999999925,-1.8739,258694.82,121802.478
600873.SH,20190801,4.4321,4.4877,4.4228,4.4506,4.4506,0.0,0.0,188550.67,90624.873
600873.SH,20190731,4.4599,4.4877,4.4413,4.4506,4.4784,-0.027800000000000047,-0.6208,142584.12,68647.584
600873.SH,20190730,4.5062,4.5341,4.4599,4.4784,4.5062,-0.027800000000000047,-0.6169,193258.86,93738.231
600873.SH,20190729,4.5341,4.5619,4.4877,4.5062,4.5526,-0.04640000000000022,-1.0192,304091.6,147925.832
600873.SH,20190726,4.4321,4.5897,4.4321,4.5526,4.4692,0.08340000000000014,1.8661,420519.86,205538.035
600873.SH,20190725,4.4692,4.4877,4.4321,4.4692,4.4506,0.018600000000000172,0.4179,272112.41,130759.017
600873.SH,20190724,4.395,4.4506,4.395,4.4506,4.4042,0.04639999999999933,1.0535,194754.51,92780.612
600873.SH,20190723,4.3023,4.497,4.293,4.4042,4.3023,0.10190000000000055,2.3685,185772.32,87765.787
600873.SH,20190722,4.3764,4.3857,4.2744,4.3023,4.3672,-0.06490000000000062,-1.4861,154809.57,72110.307
600873.SH,20190719,4.3579,4.395,4.3486,4.3672,4.3486,0.018600000000000172,0.4277,118635.66,55965.641
600873.SH,20190718,4.4042,4.4135,4.3393,4.3486,4.4042,-0.055600000000000094,-1.2624,156278.34,73700.995
600873.SH,20190717,4.395,4.4228,4.3764,4.4042,4.395,0.009200000000000763,0.2093,127345.0,60489.637
600873.SH,20190716,4.4042,4.4135,4.3764,4.395,4.395,0.0,0.0,113313.55,53701.902
600873.SH,20190715,4.3857,4.4321,4.3579,4.395,4.395,0.0,0.0,211596.02,100297.7
600873.SH,20190712,4.4042,4.4228,4.3579,4.395,4.4135,-0.018500000000000405,-0.4192,137023.36,64976.54
600873.SH,20190711,4.4228,4.4506,4.3857,4.4135,4.4135,0.0,0.0,94333.27,44961.259
600873.SH,20190710,4.4506,4.4692,4.395,4.4135,4.4413,-0.027800000000000047,-0.6259,103699.45,49549.891
600873.SH,20190709,4.4506,4.4877,4.4135,4.4413,4.4506,-0.009299999999999642,-0.209,160774.39,76991.264
600873.SH,20190708,4.5804,4.5897,4.4413,4.4506,4.5897,-0.1391,-3.0307,253359.16,122773.771
600873.SH,20190705,4.5711,4.6082,4.5341,4.5897,4.5711,0.018599999999999284,0.4069,161673.64,79706.018
600873.SH,20190704,4.5897,4.6268,4.5433,4.5711,4.599,-0.027899999999999814,-0.6067,215523.92,106529.858
600873.SH,20190703,4.5433,4.6639,4.5248,4.599,4.5526,0.04640000000000022,1.0192,425335.15,211248.251
600873.SH,20190702,4.5711,4.5804,4.5155,4.5526,4.5619,-0.009299999999999642,-0.2039,175030.72,85838.036
600873.SH,20190701,4.4877,4.5619,4.4692,4.5619,4.4413,0.1205999999999996,2.7154,263104.92,128131.996
600873.SH,20190628,4.4692,4.4877,4.4135,4.4413,4.4599,-0.018600000000000172,-0.417,152026.0,72758.015
600873.SH,20190627,4.497,4.5248,4.4506,4.4599,4.497,-0.03709999999999969,-0.825,218658.0,105780.775
600873.SH,20190626,4.4599,4.5155,4.4321,4.497,4.4599,0.03709999999999969,0.8319,153284.02,74157.006
600873.SH,20190625,4.5248,4.5248,4.4135,4.4599,4.5155,-0.055600000000000094,-1.2313,152050.71,73186.064
600873.SH,20190624,4.5341,4.5526,4.497,4.5155,4.5248,-0.009299999999999642,-0.2055,162621.0,79271.646
600873.SH,20190621,4.5155,4.5526,4.4877,4.5248,4.5155,0.009299999999999642,0.206,234807.77,114347.099
600873.SH,20190620,4.4784,4.5248,4.4413,4.5155,4.4692,0.04630000000000045,1.036,244814.8,118380.42
600873.SH,20190619,4.5155,4.5341,4.4599,4.4692,4.4599,0.009299999999999642,0.2085,167321.61,81068.918
