ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000892.SZ,20200225,5.8,5.85,5.36,5.53,5.95,-0.41999999999999993,-7.0588,383026.96,211661.036
000892.SZ,20200224,6.06,6.09,5.76,5.95,6.0,-0.04999999999999982,-0.8333,310272.65,183307.404
000892.SZ,20200221,6.05,6.19,5.93,6.0,6.19,-0.1900000000000004,-3.0695,329089.98,198421.776
000892.SZ,20200220,6.37,6.45,5.94,6.19,6.49,-0.2999999999999998,-4.6225,391669.22,241858.791
000892.SZ,20200219,6.39,6.64,6.17,6.49,6.39,0.10000000000000053,1.5649,349703.55,226286.424
000892.SZ,20200218,6.75,6.85,6.25,6.39,6.48,-0.09000000000000075,-1.3889,391107.3,251447.097
000892.SZ,20200217,6.01,6.48,5.96,6.48,5.89,0.5900000000000007,10.017,246932.92,155821.079
000892.SZ,20200214,6.02,6.17,5.83,5.89,6.01,-0.1200000000000001,-1.9967,195896.91,117018.099
000892.SZ,20200213,6.37,6.44,5.88,6.01,6.39,-0.3799999999999999,-5.9468,382286.37,233473.219
000892.SZ,20200212,6.52,6.57,6.24,6.39,6.45,-0.0600000000000005,-0.9302,326180.78,207426.232
000892.SZ,20200211,6.55,6.64,6.29,6.45,6.45,0.0,0.0,337459.54,217288.245
000892.SZ,20200210,5.99,6.45,5.88,6.45,5.86,0.5899999999999999,10.0683,476256.97,299887.392
000892.SZ,20200207,5.63,6.12,5.42,5.86,5.56,0.3000000000000007,5.3957,478332.42,281869.502
000892.SZ,20200206,5.35,5.68,5.24,5.56,5.16,0.39999999999999947,7.7519,289291.45,159970.217
000892.SZ,20200205,4.63,5.16,4.63,5.16,4.69,0.46999999999999975,10.0213,234187.63,117664.464
000892.SZ,20200204,4.51,4.72,4.51,4.69,5.01,-0.3199999999999994,-6.3872,314686.57,143465.081
000892.SZ,20200203,5.01,5.01,5.01,5.01,5.57,-0.5600000000000005,-10.0539,8741.0,4379.241
000892.SZ,20200123,5.95,6.17,5.48,5.57,6.0,-0.4299999999999997,-7.1667,323784.82,188749.312
000892.SZ,20200122,5.94,6.01,5.73,6.0,5.97,0.03000000000000025,0.5025,191825.69,112683.541
000892.SZ,20200121,5.9,6.04,5.68,5.97,6.0,-0.03000000000000025,-0.5,270956.52,159679.575
000892.SZ,20200120,6.23,6.27,5.91,6.0,6.16,-0.16000000000000014,-2.5974,244613.34,147148.264
000892.SZ,20200117,6.39,6.39,6.08,6.16,6.36,-0.20000000000000018,-3.1447,264239.55,164076.256
000892.SZ,20200116,6.66,6.68,6.21,6.36,6.56,-0.1999999999999993,-3.0488,361111.03,230051.346
000892.SZ,20200115,6.51,6.72,6.38,6.56,6.62,-0.0600000000000005,-0.9063,314802.76,206276.342
000892.SZ,20200114,7.0,7.23,6.54,6.62,6.9,-0.28000000000000025,-4.058,389037.12,265069.947
