ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600168.SH,20200225,8.2,8.22,7.68,8.12,8.41,-0.2900000000000009,-3.4483,386383.61,310597.123
600168.SH,20200224,8.31,8.62,8.16,8.41,8.35,0.0600000000000005,0.7186,297682.85,250507.093
600168.SH,20200221,8.35,8.52,8.21,8.35,8.6,-0.25,-2.907,384433.5,320678.236
600168.SH,20200220,9.05,9.44,8.43,8.6,8.9,-0.3000000000000007,-3.3708,597162.34,526026.559
600168.SH,20200219,8.03,8.9,7.91,8.9,8.09,0.8100000000000005,10.0124,633870.67,546872.657
600168.SH,20200218,8.1,8.3,7.84,8.09,8.16,-0.07000000000000028,-0.8578,361043.82,290814.736
600168.SH,20200217,8.11,8.43,8.05,8.16,8.28,-0.11999999999999922,-1.4493,374318.14,307684.875
600168.SH,20200214,7.7,8.68,7.58,8.28,7.96,0.3199999999999994,4.0201,474812.17,383692.567
600168.SH,20200213,7.4,8.17,7.13,7.96,7.44,0.5199999999999996,6.9892,417022.12,319750.649
600168.SH,20200212,7.13,7.66,7.13,7.44,7.55,-0.10999999999999943,-1.457,254496.23,187675.35
600168.SH,20200211,8.2,8.2,7.55,7.55,8.39,-0.8400000000000007,-10.0119,422069.77,326076.841
600168.SH,20200210,8.39,8.39,7.85,8.39,7.63,0.7600000000000007,9.9607,576142.61,475637.568
600168.SH,20200207,7.25,7.63,7.18,7.63,6.94,0.6899999999999995,9.9424,391105.85,292337.168
600168.SH,20200206,6.3,6.94,6.24,6.94,6.31,0.6300000000000008,9.9842,90479.7,61024.99
600168.SH,20200205,6.25,6.44,6.21,6.31,6.31,0.0,0.0,42485.99,26863.892
600168.SH,20200204,5.74,6.4,5.6,6.31,5.87,0.4399999999999995,7.4957,66072.56,40432.935
600168.SH,20200203,5.88,6.06,5.87,5.87,6.52,-0.6499999999999995,-9.9693,62519.55,36993.126
600168.SH,20200123,6.67,6.67,6.44,6.52,6.69,-0.17000000000000082,-2.5411,29861.24,19533.539
600168.SH,20200122,6.74,6.74,6.64,6.69,6.76,-0.0699999999999994,-1.0355,17815.89,11908.028
600168.SH,20200121,6.78,6.82,6.7,6.76,6.8,-0.040000000000000036,-0.5882,12960.61,8763.868
600168.SH,20200120,6.75,6.82,6.74,6.8,6.76,0.040000000000000036,0.5917,12425.01,8424.277
600168.SH,20200117,6.8,6.81,6.76,6.76,6.79,-0.03000000000000025,-0.4418,11029.53,7474.692
600168.SH,20200116,6.83,6.84,6.77,6.79,6.83,-0.040000000000000036,-0.5857,17132.98,11648.316
600168.SH,20200115,6.9,6.91,6.83,6.83,6.9,-0.07000000000000028,-1.0145,14654.14,10049.543
600168.SH,20200114,6.87,6.95,6.84,6.9,6.87,0.03000000000000025,0.4367,26198.54,18080.525
600168.SH,20200113,6.83,6.87,6.78,6.87,6.81,0.0600000000000005,0.8811,15747.28,10758.237
600168.SH,20200110,6.87,6.89,6.8,6.81,6.89,-0.08000000000000007,-1.1611,25106.87,17168.99
