ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000663.SZ,20200225,4.18,4.18,3.94,4.13,4.2,-0.07000000000000028,-1.6667,41420.7,16823.437
000663.SZ,20200224,4.2,4.28,4.14,4.2,4.23,-0.03000000000000025,-0.7092,31076.21,13010.673
000663.SZ,20200221,4.2,4.29,4.17,4.23,4.15,0.08000000000000007,1.9277,27799.02,11793.278
000663.SZ,20200220,4.15,4.17,4.09,4.15,4.11,0.040000000000000036,0.9732,30452.24,12592.168
000663.SZ,20200219,4.11,4.17,4.08,4.11,4.11,0.0,0.0,36656.38,15119.802
000663.SZ,20200218,4.01,4.12,3.99,4.11,3.98,0.13000000000000034,3.2663,38525.1,15616.672
000663.SZ,20200217,3.85,4.01,3.83,3.98,3.83,0.1499999999999999,3.9164,37659.16,14879.993
000663.SZ,20200214,3.86,3.88,3.75,3.83,3.85,-0.020000000000000018,-0.5195,22546.02,8633.182
000663.SZ,20200213,3.89,3.95,3.79,3.85,3.89,-0.040000000000000036,-1.0283,29945.27,11544.402
000663.SZ,20200212,3.77,3.92,3.75,3.89,3.77,0.1200000000000001,3.183,36632.1,14108.715
000663.SZ,20200211,3.85,3.9,3.75,3.77,3.83,-0.06000000000000005,-1.5666,32368.0,12327.313
000663.SZ,20200210,3.68,3.87,3.68,3.83,3.73,0.10000000000000009,2.681,38652.0,14702.737
000663.SZ,20200207,3.69,3.75,3.65,3.73,3.66,0.06999999999999984,1.9126,33784.96,12493.169
000663.SZ,20200206,3.61,3.7,3.57,3.66,3.58,0.08000000000000007,2.2346,37475.41,13609.331
000663.SZ,20200205,3.54,3.64,3.49,3.58,3.5,0.08000000000000007,2.2857,51029.79,18322.325
000663.SZ,20200204,3.36,3.63,3.36,3.5,3.73,-0.22999999999999998,-6.1662,66335.8,23009.587
000663.SZ,20200203,3.73,3.73,3.73,3.73,4.14,-0.4099999999999997,-9.9034,5244.0,1956.012
000663.SZ,20200123,4.41,4.42,4.05,4.14,4.4,-0.2600000000000007,-5.9091,57083.77,23953.787
000663.SZ,20200122,4.5,4.52,4.39,4.4,4.56,-0.15999999999999925,-3.5088,51140.74,22640.776
000663.SZ,20200121,4.6,4.6,4.44,4.56,4.65,-0.09000000000000075,-1.9355,27961.61,12707.008
000663.SZ,20200120,4.6,4.73,4.6,4.65,4.55,0.10000000000000053,2.1978,36581.02,17009.085
000663.SZ,20200117,4.64,4.66,4.55,4.55,4.64,-0.08999999999999986,-1.9397,33457.42,15376.336
000663.SZ,20200116,4.75,4.77,4.6,4.64,4.74,-0.10000000000000053,-2.1097,33398.0,15576.378
000663.SZ,20200115,4.85,4.85,4.68,4.74,4.88,-0.13999999999999968,-2.8689,30943.95,14737.259
000663.SZ,20200114,4.84,4.91,4.78,4.88,4.85,0.03000000000000025,0.6186,35238.72,17086.672
000663.SZ,20200113,4.93,4.94,4.74,4.85,4.93,-0.08000000000000007,-1.6227,49553.01,23899.915
000663.SZ,20200110,5.03,5.04,4.87,4.93,5.0,-0.07000000000000028,-1.4,23801.45,11744.786
000663.SZ,20200109,4.94,5.05,4.94,5.0,4.95,0.04999999999999982,1.0101,21685.99,10843.09
000663.SZ,20200108,5.03,5.13,4.9,4.95,5.05,-0.09999999999999964,-1.9802,35946.0,17982.163
000663.SZ,20200107,4.97,5.09,4.96,5.05,4.97,0.08000000000000007,1.6097,31515.82,15865.589
000663.SZ,20200106,4.9,5.01,4.85,4.97,4.93,0.040000000000000036,0.8114,38368.01,18970.545
000663.SZ,20200103,4.86,4.99,4.82,4.93,4.86,0.0699999999999994,1.4403,45443.91,22325.049
000663.SZ,20200102,4.8,4.89,4.78,4.86,4.8,0.0600000000000005,1.25,30164.0,14618.237
000663.SZ,20191231,4.81,4.85,4.74,4.8,4.81,-0.009999999999999787,-0.2079,21113.76,10096.615
000663.SZ,20191230,4.77,4.84,4.63,4.81,4.77,0.040000000000000036,0.8386,24423.0,11620.907
000663.SZ,20191227,4.81,4.85,4.77,4.77,4.8,-0.03000000000000025,-0.625,15666.0,7546.585
000663.SZ,20191226,4.77,4.85,4.75,4.8,4.77,0.03000000000000025,0.6289,21882.08,10486.458
000663.SZ,20191225,4.81,4.83,4.73,4.77,4.82,-0.05000000000000071,-1.0373,16156.0,7715.101
000663.SZ,20191224,4.67,4.82,4.66,4.82,4.65,0.16999999999999993,3.6559,22777.02,10799.915
000663.SZ,20191223,4.87,4.87,4.65,4.65,4.85,-0.1999999999999993,-4.1237,27606.01,13100.944
000663.SZ,20191220,4.84,4.95,4.84,4.85,4.83,0.019999999999999574,0.4141,39608.01,19338.824
000663.SZ,20191219,4.71,4.85,4.71,4.83,4.7,0.1299999999999999,2.766,44309.02,21210.878
000663.SZ,20191218,4.73,4.78,4.69,4.7,4.72,-0.019999999999999574,-0.4237,24999.3,11829.279
000663.SZ,20191217,4.64,4.76,4.59,4.72,4.61,0.10999999999999943,2.3861,41464.31,19364.381
000663.SZ,20191216,4.54,4.62,4.49,4.61,4.5,0.11000000000000032,2.4444,25918.77,11792.149
000663.SZ,20191213,4.49,4.54,4.49,4.5,4.48,0.019999999999999574,0.4464,16612.76,7501.959
000663.SZ,20191212,4.5,4.52,4.46,4.48,4.5,-0.019999999999999574,-0.4444,18142.01,8144.236
000663.SZ,20191211,4.59,4.6,4.48,4.5,4.59,-0.08999999999999986,-1.9608,26289.0,11894.411
000663.SZ,20191210,4.61,4.64,4.53,4.59,4.64,-0.04999999999999982,-1.0776,18350.4,8409.829
000663.SZ,20191209,4.67,4.68,4.62,4.64,4.65,-0.010000000000000675,-0.2151,16282.0,7557.387
000663.SZ,20191206,4.64,4.67,4.61,4.65,4.64,0.010000000000000675,0.2155,13840.68,6429.354
