ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000586.SZ,20200225,10.82,11.09,10.4,10.95,11.17,-0.22000000000000064,-1.9696,148893.85,161053.245
000586.SZ,20200224,10.41,11.38,10.41,11.17,10.49,0.6799999999999997,6.4824,190440.89,208868.839
000586.SZ,20200221,10.38,10.66,10.3,10.49,10.4,0.08999999999999986,0.8654,120786.55,126793.575
000586.SZ,20200220,10.31,10.42,10.13,10.4,10.35,0.05000000000000071,0.4831,85233.06,87934.876
000586.SZ,20200219,10.43,10.56,10.3,10.35,10.5,-0.15000000000000036,-1.4286,106440.55,110581.862
000586.SZ,20200218,9.97,10.53,9.93,10.5,10.04,0.46000000000000085,4.5817,148089.77,152603.006
000586.SZ,20200217,9.73,10.09,9.7,10.04,9.75,0.28999999999999915,2.9744,106327.69,105569.822
000586.SZ,20200214,9.54,9.85,9.53,9.75,9.88,-0.13000000000000078,-1.3158,121829.65,117676.612
000586.SZ,20200213,10.86,10.86,9.86,9.88,10.3,-0.41999999999999993,-4.0777,248911.64,256985.724
000586.SZ,20200212,10.3,10.3,10.05,10.3,9.36,0.9400000000000013,10.0427,56387.02,57880.2
000586.SZ,20200211,9.5,9.51,9.2,9.36,9.39,-0.030000000000001137,-0.3195,75421.86,70431.369
000586.SZ,20200210,8.83,9.44,8.75,9.39,8.81,0.5800000000000001,6.5834,105013.19,96346.711
000586.SZ,20200207,8.62,8.82,8.53,8.81,8.61,0.20000000000000107,2.3229,69946.15,60806.717
000586.SZ,20200206,8.45,8.65,8.3,8.61,8.44,0.16999999999999993,2.0142,79632.84,68005.754
000586.SZ,20200205,8.34,8.65,8.3,8.44,8.3,0.1399999999999988,1.6867,81626.96,69174.058
000586.SZ,20200204,8.13,8.64,8.13,8.3,9.03,-0.7299999999999986,-8.0842,122126.32,101461.686
000586.SZ,20200203,9.03,9.03,9.03,9.03,10.03,-1.0,-9.9701,4637.0,4187.211
000586.SZ,20200123,10.13,10.48,9.98,10.03,10.32,-0.2900000000000009,-2.8101,68832.87,70290.482
000586.SZ,20200122,10.16,10.37,9.86,10.32,10.25,0.07000000000000028,0.6829,55677.33,56464.004
000586.SZ,20200121,10.38,10.49,10.21,10.25,10.31,-0.0600000000000005,-0.582,64641.96,66955.159
000586.SZ,20200120,10.13,10.32,10.03,10.31,10.13,0.17999999999999972,1.7769,48622.0,49380.649
000586.SZ,20200117,10.35,10.39,10.12,10.13,10.32,-0.1899999999999995,-1.8411,49061.7,50212.471
000586.SZ,20200116,10.59,10.67,10.3,10.32,10.53,-0.20999999999999908,-1.9943,50657.0,52897.959
000586.SZ,20200115,10.65,10.65,10.49,10.53,10.64,-0.11000000000000121,-1.0338,39298.0,41402.745
000586.SZ,20200114,10.95,10.95,10.61,10.64,10.78,-0.1399999999999988,-1.2987,54282.29,58114.655
000586.SZ,20200113,10.66,10.82,10.5,10.78,10.69,0.08999999999999986,0.8419,51196.0,54762.978
000586.SZ,20200110,10.74,10.8,10.51,10.69,10.71,-0.02000000000000135,-0.1867,43297.0,46125.835
000586.SZ,20200109,10.6,10.78,10.56,10.71,10.49,0.22000000000000064,2.0972,52814.2,56429.107
000586.SZ,20200108,10.66,10.74,10.4,10.49,10.73,-0.2400000000000002,-2.2367,57824.3,61071.23
000586.SZ,20200107,10.57,10.75,10.57,10.73,10.56,0.16999999999999993,1.6098,58078.0,62007.324
000586.SZ,20200106,10.43,10.67,10.4,10.56,10.53,0.030000000000001137,0.2849,57902.41,61178.524
000586.SZ,20200103,10.47,10.63,10.37,10.53,10.45,0.08000000000000007,0.7656,56199.09,59076.148
000586.SZ,20200102,10.2,10.49,10.19,10.45,10.15,0.29999999999999893,2.9557,58024.49,60396.014
000586.SZ,20191231,10.08,10.24,10.07,10.15,10.16,-0.009999999999999787,-0.0984,34470.0,35016.308
000586.SZ,20191230,10.12,10.18,9.68,10.16,10.21,-0.05000000000000071,-0.4897,61356.0,61218.419
000586.SZ,20191227,10.48,10.57,10.19,10.21,10.42,-0.20999999999999908,-2.0154,49074.0,50849.374
000586.SZ,20191226,10.52,10.57,10.29,10.42,10.52,-0.09999999999999964,-0.9506,55782.52,57952.159
000586.SZ,20191225,10.3,10.62,10.29,10.52,10.28,0.2400000000000002,2.3346,53497.66,56043.792
000586.SZ,20191224,10.16,10.32,10.11,10.28,10.11,0.16999999999999993,1.6815,34062.0,34863.384
000586.SZ,20191223,10.54,10.54,10.09,10.11,10.51,-0.40000000000000036,-3.8059,57806.72,59354.413
000586.SZ,20191220,10.72,10.83,10.51,10.51,10.73,-0.22000000000000064,-2.0503,51767.0,54971.898
000586.SZ,20191219,10.8,10.83,10.67,10.73,10.74,-0.009999999999999787,-0.0931,45752.09,49061.974
000586.SZ,20191218,10.68,10.92,10.67,10.74,10.71,0.02999999999999936,0.2801,70302.93,75761.904
000586.SZ,20191217,10.58,10.83,10.49,10.71,10.54,0.1700000000000017,1.6129,86491.35,92543.336
000586.SZ,20191216,10.39,10.54,10.35,10.54,10.38,0.15999999999999837,1.5414,53529.12,56003.732
000586.SZ,20191213,10.47,10.49,10.28,10.38,10.42,-0.03999999999999915,-0.3839,57712.24,59769.223
000586.SZ,20191212,10.19,10.5,10.15,10.42,10.27,0.15000000000000036,1.4606,62499.6,64617.914
000586.SZ,20191211,10.42,10.54,10.23,10.27,10.27,0.0,0.0,62590.24,64834.545
000586.SZ,20191210,10.21,10.3,10.12,10.27,10.2,0.07000000000000028,0.6863,41748.0,42679.407
000586.SZ,20191209,10.39,10.39,10.18,10.2,10.26,-0.0600000000000005,-0.5848,38334.0,39332.245
000586.SZ,20191206,10.18,10.28,10.13,10.26,10.23,0.02999999999999936,0.2933,47531.0,48552.498
000586.SZ,20191205,10.1,10.27,10.05,10.23,10.06,0.16999999999999993,1.6899,51263.0,52173.63
000586.SZ,20191204,9.94,10.13,9.92,10.06,10.05,0.009999999999999787,0.0995,34598.0,34787.356
000586.SZ,20191203,9.89,10.08,9.76,10.05,9.95,0.10000000000000142,1.005,38453.54,38237.735
000586.SZ,20191202,9.86,9.96,9.77,9.95,9.85,0.09999999999999964,1.0152,31591.0,31293.584
000586.SZ,20191129,9.83,9.9,9.61,9.85,9.82,0.02999999999999936,0.3055,37352.0,36443.555
000586.SZ,20191128,9.91,9.99,9.81,9.82,9.91,-0.08999999999999986,-0.9082,27488.0,27131.926
000586.SZ,20191127,10.0,10.08,9.77,9.91,10.0,-0.08999999999999986,-0.9,35120.0,34897.43
000586.SZ,20191126,9.97,10.15,9.94,10.0,9.96,0.03999999999999915,0.4016,33563.0,33660.215
000586.SZ,20191125,10.18,10.18,9.91,9.96,10.14,-0.17999999999999972,-1.7751,35071.1,35024.77
000586.SZ,20191122,10.29,10.49,10.1,10.14,10.35,-0.20999999999999908,-2.029,45660.33,46991.191
000586.SZ,20191121,10.59,10.65,10.16,10.35,10.31,0.03999999999999915,0.388,58298.0,60359.321
000586.SZ,20191120,10.37,10.47,10.26,10.31,10.36,-0.049999999999998934,-0.4826,44968.0,46557.6
000586.SZ,20191119,10.04,10.45,10.03,10.36,10.06,0.29999999999999893,2.9821,53842.58,55355.7
000586.SZ,20191118,9.98,10.12,9.91,10.06,9.98,0.08000000000000007,0.8016,35754.68,35905.251
000586.SZ,20191115,10.28,10.28,9.98,9.98,10.2,-0.21999999999999886,-2.1569,44232.79,44731.764
000586.SZ,20191114,10.17,10.32,10.07,10.2,10.1,0.09999999999999964,0.9901,50943.0,51980.867
000586.SZ,20191113,10.29,10.34,10.0,10.1,10.31,-0.21000000000000085,-2.0369,42525.0,43229.513
000586.SZ,20191112,10.39,10.39,9.9,10.31,10.31,0.0,0.0,57271.0,57951.549
000586.SZ,20191111,10.75,10.76,10.22,10.31,10.75,-0.4399999999999995,-4.093,56709.0,59099.482
000586.SZ,20191108,10.95,11.07,10.71,10.75,10.81,-0.0600000000000005,-0.555,49108.0,53442.688
000586.SZ,20191107,10.78,10.88,10.59,10.81,10.6,0.21000000000000085,1.9811,49319.02,53167.595
000586.SZ,20191106,11.05,11.05,10.52,10.6,10.95,-0.34999999999999964,-3.1963,59302.0,63642.943
000586.SZ,20191105,11.12,11.14,10.83,10.95,11.14,-0.19000000000000128,-1.7056,53368.0,58579.621
000586.SZ,20191104,11.24,11.36,11.09,11.14,11.25,-0.10999999999999943,-0.9778,50230.27,56374.138
000586.SZ,20191101,11.12,11.3,10.93,11.25,11.14,0.10999999999999943,0.9874,52233.02,58171.736
000586.SZ,20191031,11.59,11.69,11.04,11.14,11.59,-0.4499999999999993,-3.8827,82365.02,93430.381
000586.SZ,20191030,11.96,11.97,11.5,11.59,11.87,-0.27999999999999936,-2.3589,49250.04,57319.011
000586.SZ,20191029,11.97,12.09,11.86,11.87,11.96,-0.09000000000000163,-0.7525,63316.0,75845.659
000586.SZ,20191028,11.88,12.03,11.7,11.96,11.64,0.3200000000000003,2.7491,75164.99,89698.614
000586.SZ,20191025,11.65,11.69,11.37,11.64,11.65,-0.009999999999999787,-0.0858,46037.0,53042.81
000586.SZ,20191024,11.8,11.89,11.5,11.65,11.85,-0.1999999999999993,-1.6878,49358.0,57498.441
000586.SZ,20191023,12.04,12.04,11.76,11.85,12.04,-0.1899999999999995,-1.5781,33327.0,39628.201
000586.SZ,20191022,11.76,12.07,11.66,12.04,11.76,0.27999999999999936,2.381,44147.04,52683.083
000586.SZ,20191021,11.89,11.93,11.45,11.76,11.86,-0.09999999999999964,-0.8432,38241.08,44550.481
000586.SZ,20191018,11.95,12.18,11.75,11.86,11.95,-0.08999999999999986,-0.7531,43695.97,52117.124
000586.SZ,20191017,12.0,12.05,11.86,11.95,11.87,0.08000000000000007,0.674,35902.1,42908.316
000586.SZ,20191016,12.18,12.3,11.85,11.87,12.16,-0.2900000000000009,-2.3849,49903.02,60148.093
000586.SZ,20191015,12.37,12.5,12.11,12.16,12.3,-0.14000000000000057,-1.1382,58228.08,71541.368
000586.SZ,20191014,12.2,12.48,12.16,12.3,12.08,0.22000000000000064,1.8212,65813.27,81285.091
000586.SZ,20191011,12.2,12.27,11.96,12.08,12.2,-0.11999999999999922,-0.9836,51933.24,62883.968
000586.SZ,20191010,11.98,12.2,11.92,12.2,12.02,0.17999999999999972,1.4975,55773.04,67624.617
000586.SZ,20191009,11.7,12.02,11.55,12.02,11.83,0.1899999999999995,1.6061,49697.16,58612.339
000586.SZ,20191008,12.02,12.06,11.83,11.83,11.89,-0.0600000000000005,-0.5046,45208.76,54012.765
000586.SZ,20190930,12.16,12.41,11.8,11.89,12.3,-0.41000000000000014,-3.3333,66540.28,80173.727
000586.SZ,20190927,12.11,12.5,12.11,12.3,12.3,0.0,0.0,91319.0,112525.088
000586.SZ,20190926,13.19,13.34,12.3,12.3,13.13,-0.8300000000000001,-6.3214,134662.51,171632.837
000586.SZ,20190925,13.75,13.9,13.0,13.13,14.04,-0.9099999999999984,-6.4815,226546.52,305510.316
000586.SZ,20190924,13.32,14.65,13.24,14.04,13.32,0.7199999999999989,5.4054,334666.86,470936.338
000586.SZ,20190923,13.28,13.49,12.9,13.32,13.36,-0.03999999999999915,-0.2994,99701.68,131280.589
000586.SZ,20190920,13.55,13.88,13.34,13.36,13.69,-0.33000000000000007,-2.4105,149627.45,203468.268
000586.SZ,20190919,13.19,13.85,13.1,13.69,13.22,0.46999999999999886,3.5552,247507.53,335818.786
000586.SZ,20190918,12.86,13.45,12.86,13.22,12.84,0.3800000000000008,2.9595,125371.82,164713.075
000586.SZ,20190917,13.3,13.3,12.72,12.84,13.34,-0.5,-3.7481,110163.01,142413.438
