ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000709.SZ,20200225,2.25,2.27,2.22,2.25,2.29,-0.040000000000000036,-1.7467,579665.9,130302.095
000709.SZ,20200224,2.29,2.31,2.28,2.29,2.31,-0.020000000000000018,-0.8658,423529.51,97092.921
000709.SZ,20200221,2.31,2.33,2.29,2.31,2.32,-0.009999999999999787,-0.431,542644.63,125421.739
000709.SZ,20200220,2.29,2.32,2.27,2.32,2.28,0.040000000000000036,1.7544,452577.98,103919.564
000709.SZ,20200219,2.29,2.31,2.27,2.28,2.29,-0.010000000000000231,-0.4367,412258.25,94361.249
000709.SZ,20200218,2.29,2.32,2.28,2.29,2.31,-0.020000000000000018,-0.8658,502662.63,115391.577
000709.SZ,20200217,2.25,2.31,2.25,2.31,2.28,0.03000000000000025,1.3158,599867.44,137067.893
000709.SZ,20200214,2.24,2.33,2.21,2.28,2.24,0.03999999999999959,1.7857,631913.04,143794.298
000709.SZ,20200213,2.26,2.28,2.24,2.24,2.27,-0.029999999999999805,-1.3216,299004.58,67439.615
000709.SZ,20200212,2.27,2.28,2.2,2.27,2.29,-0.020000000000000018,-0.8734,412888.72,93132.473
000709.SZ,20200211,2.23,2.39,2.22,2.29,2.23,0.06000000000000005,2.6906,758668.56,173388.302
000709.SZ,20200210,2.19,2.24,2.17,2.23,2.2,0.029999999999999805,1.3636,553652.38,122041.543
000709.SZ,20200207,2.2,2.21,2.18,2.2,2.22,-0.020000000000000018,-0.9009,376108.84,82509.196
000709.SZ,20200206,2.19,2.22,2.17,2.22,2.19,0.03000000000000025,1.3699,536161.0,117748.092
000709.SZ,20200205,2.16,2.21,2.15,2.19,2.16,0.029999999999999805,1.3889,430482.1,94219.723
000709.SZ,20200204,2.08,2.18,2.08,2.16,2.17,-0.009999999999999787,-0.4608,561378.38,120643.104
000709.SZ,20200203,2.17,2.2,2.17,2.17,2.41,-0.2400000000000002,-9.9585,536867.8,116750.347
000709.SZ,20200123,2.45,2.45,2.4,2.41,2.46,-0.04999999999999982,-2.0325,338022.81,81775.157
000709.SZ,20200122,2.45,2.47,2.42,2.46,2.46,0.0,0.0,254654.77,62169.685
000709.SZ,20200121,2.51,2.52,2.45,2.46,2.52,-0.06000000000000005,-2.381,316474.92,78371.248
000709.SZ,20200120,2.52,2.52,2.5,2.52,2.51,0.010000000000000231,0.3984,232282.95,58275.176
000709.SZ,20200117,2.51,2.53,2.5,2.51,2.51,0.0,0.0,211616.45,53208.988
000709.SZ,20200116,2.54,2.54,2.51,2.51,2.53,-0.020000000000000018,-0.7905,209968.13,52869.009
000709.SZ,20200115,2.57,2.57,2.53,2.53,2.57,-0.040000000000000036,-1.5564,207444.06,52738.815
000709.SZ,20200114,2.57,2.58,2.55,2.57,2.57,0.0,0.0,292281.25,75046.423
000709.SZ,20200113,2.56,2.57,2.53,2.57,2.56,0.009999999999999787,0.3906,238271.79,60782.319
000709.SZ,20200110,2.59,2.59,2.56,2.56,2.58,-0.020000000000000018,-0.7752,186371.95,47858.297
000709.SZ,20200109,2.59,2.6,2.57,2.58,2.58,0.0,0.0,248164.97,64076.879
000709.SZ,20200108,2.62,2.62,2.57,2.58,2.62,-0.040000000000000036,-1.5267,257366.38,66742.877
000709.SZ,20200107,2.59,2.64,2.59,2.62,2.59,0.03000000000000025,1.1583,312494.84,81803.578
000709.SZ,20200106,2.59,2.61,2.58,2.59,2.6,-0.010000000000000231,-0.3846,269364.76,69939.066
000709.SZ,20200103,2.61,2.62,2.59,2.6,2.61,-0.009999999999999787,-0.3831,282825.23,73561.947
000709.SZ,20200102,2.6,2.62,2.6,2.61,2.58,0.029999999999999805,1.1628,396188.58,103457.475
000709.SZ,20191231,2.57,2.59,2.56,2.58,2.57,0.010000000000000231,0.3891,401391.55,103404.535
