ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000890.SZ,20200225,4.86,4.93,4.62,4.86,5.02,-0.15999999999999925,-3.1873,197070.55,95207.169
000890.SZ,20200224,4.86,5.08,4.75,5.02,4.87,0.14999999999999947,3.0801,237531.18,116880.39
000890.SZ,20200221,4.97,4.97,4.8,4.87,4.94,-0.07000000000000028,-1.417,185155.46,90412.017
000890.SZ,20200220,4.75,4.95,4.7,4.94,4.82,0.1200000000000001,2.4896,220822.17,106762.765
000890.SZ,20200219,4.71,5.1,4.69,4.82,4.74,0.08000000000000007,1.6878,233306.81,113810.299
000890.SZ,20200218,4.72,4.76,4.66,4.74,4.73,0.009999999999999787,0.2114,157564.5,74045.787
000890.SZ,20200217,4.68,4.78,4.62,4.73,4.64,0.09000000000000075,1.9397,148956.52,69948.33
000890.SZ,20200214,4.71,4.76,4.59,4.64,4.71,-0.07000000000000028,-1.4862,135914.46,63319.328
000890.SZ,20200213,4.66,4.93,4.57,4.71,4.75,-0.040000000000000036,-0.8421,230428.79,108914.872
000890.SZ,20200212,4.66,4.86,4.6,4.75,4.86,-0.11000000000000032,-2.2634,286547.23,135403.135
000890.SZ,20200211,4.39,4.86,4.36,4.86,4.42,0.4400000000000004,9.9548,303792.94,145679.862
000890.SZ,20200210,4.3,4.45,4.24,4.42,4.3,0.1200000000000001,2.7907,138782.16,60229.722
000890.SZ,20200207,4.25,4.34,4.21,4.3,4.26,0.040000000000000036,0.939,129775.54,55487.089
000890.SZ,20200206,4.28,4.3,4.18,4.26,4.24,0.019999999999999574,0.4717,137643.15,58493.083
000890.SZ,20200205,4.25,4.36,4.15,4.24,4.2,0.040000000000000036,0.9524,177577.91,75736.882
000890.SZ,20200204,4.2,4.39,4.2,4.2,4.67,-0.46999999999999975,-10.0642,257402.9,108565.404
000890.SZ,20200203,4.67,4.67,4.67,4.67,5.19,-0.5200000000000005,-10.0193,11474.0,5358.358
000890.SZ,20200123,5.43,5.69,5.15,5.19,5.36,-0.16999999999999993,-3.1716,172564.43,91723.358
000890.SZ,20200122,5.47,5.47,5.3,5.36,5.47,-0.10999999999999943,-2.011,81635.31,43665.314
000890.SZ,20200121,5.55,5.57,5.42,5.47,5.6,-0.1299999999999999,-2.3214,78659.81,43161.081
000890.SZ,20200120,5.58,5.7,5.57,5.6,5.57,0.02999999999999936,0.5386,86946.79,48803.26
000890.SZ,20200117,5.46,5.62,5.46,5.57,5.46,0.11000000000000032,2.0147,113295.55,62878.228
000890.SZ,20200116,5.52,5.54,5.42,5.46,5.5,-0.040000000000000036,-0.7273,71079.08,39013.984
000890.SZ,20200115,5.53,5.55,5.45,5.5,5.55,-0.04999999999999982,-0.9009,63755.43,35018.635
000890.SZ,20200114,5.6,5.64,5.55,5.55,5.56,-0.009999999999999787,-0.1799,75063.69,41916.606
000890.SZ,20200113,5.56,5.56,5.43,5.56,5.57,-0.010000000000000675,-0.1795,81726.7,44968.6
000890.SZ,20200110,5.69,5.69,5.53,5.57,5.66,-0.08999999999999986,-1.5901,92608.88,51868.385
000890.SZ,20200109,5.59,5.74,5.59,5.66,5.58,0.08000000000000007,1.4337,104220.24,58973.357
000890.SZ,20200108,5.73,5.73,5.55,5.58,5.7,-0.1200000000000001,-2.1053,111902.1,62888.021
000890.SZ,20200107,5.7,5.75,5.62,5.7,5.65,0.04999999999999982,0.885,140254.54,79691.233
000890.SZ,20200106,5.63,5.72,5.52,5.65,5.64,0.010000000000000675,0.1773,127370.97,71695.856
000890.SZ,20200103,5.62,5.68,5.57,5.64,5.64,0.0,0.0,125439.14,70640.098
000890.SZ,20200102,5.54,5.8,5.52,5.64,5.48,0.15999999999999925,2.9197,170598.01,96466.494
000890.SZ,20191231,5.48,5.55,5.43,5.48,5.48,0.0,0.0,69181.0,37951.673
000890.SZ,20191230,5.46,5.54,5.3,5.48,5.52,-0.03999999999999915,-0.7246,93704.78,50881.661
000890.SZ,20191227,5.51,5.66,5.51,5.52,5.55,-0.03000000000000025,-0.5405,115707.5,64465.322
000890.SZ,20191226,5.5,5.6,5.48,5.55,5.49,0.05999999999999961,1.0929,86677.08,47918.863
000890.SZ,20191225,5.47,5.54,5.45,5.49,5.51,-0.019999999999999574,-0.363,82950.1,45636.654
000890.SZ,20191224,5.44,5.54,5.38,5.51,5.44,0.0699999999999994,1.2868,92367.4,50315.766
000890.SZ,20191223,5.6,5.6,5.44,5.44,5.62,-0.17999999999999972,-3.2028,114111.1,62715.622
000890.SZ,20191220,5.7,5.78,5.62,5.62,5.72,-0.09999999999999964,-1.7483,123321.02,70374.031
000890.SZ,20191219,5.7,5.78,5.63,5.72,5.77,-0.04999999999999982,-0.8666,178936.1,101817.627
000890.SZ,20191218,5.8,6.16,5.76,5.77,5.86,-0.09000000000000075,-1.5358,300698.83,177580.989
000890.SZ,20191217,5.67,5.93,5.62,5.86,5.72,0.14000000000000057,2.4476,341544.08,198066.164
000890.SZ,20191216,5.47,5.78,5.44,5.72,5.63,0.08999999999999986,1.5986,291393.46,162478.703
000890.SZ,20191213,5.4,5.86,5.36,5.63,5.33,0.2999999999999998,5.6285,385491.08,220484.173
000890.SZ,20191212,5.31,5.39,5.27,5.33,5.31,0.020000000000000462,0.3766,73537.01,39222.19
000890.SZ,20191211,5.34,5.35,5.28,5.31,5.34,-0.03000000000000025,-0.5618,58522.0,31058.797
000890.SZ,20191210,5.37,5.37,5.28,5.34,5.37,-0.03000000000000025,-0.5587,61412.0,32670.975
000890.SZ,20191209,5.41,5.45,5.36,5.37,5.42,-0.04999999999999982,-0.9225,64547.01,34759.241
000890.SZ,20191206,5.38,5.44,5.32,5.42,5.41,0.009999999999999787,0.1848,64300.01,34627.821
000890.SZ,20191205,5.32,5.44,5.3,5.41,5.29,0.1200000000000001,2.2684,109476.07,58894.351
000890.SZ,20191204,5.24,5.31,5.23,5.29,5.29,0.0,0.0,45001.0,23753.158
000890.SZ,20191203,5.24,5.31,5.17,5.29,5.25,0.040000000000000036,0.7619,47564.06,24867.335
000890.SZ,20191202,5.22,5.34,5.22,5.25,5.26,-0.009999999999999787,-0.1901,41105.0,21659.898
000890.SZ,20191129,5.18,5.45,5.18,5.26,5.2,0.05999999999999961,1.1538,74789.32,39748.834
