ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300801.SZ,20200225,39.9,42.44,39.69,41.87,40.45,1.4199999999999946,3.5105,66376.4,274104.68
300801.SZ,20200224,39.71,40.84,39.7,40.45,39.45,1.0,2.5349,43893.51,176952.319
300801.SZ,20200221,39.06,40.17,38.98,39.45,39.05,0.4000000000000057,1.0243,43773.91,173592.234
300801.SZ,20200220,39.11,39.59,38.72,39.05,39.19,-0.14000000000000057,-0.3572,36421.0,142399.232
300801.SZ,20200219,40.48,40.48,39.16,39.19,40.74,-1.5500000000000043,-3.8046,51342.15,203791.645
300801.SZ,20200218,39.61,40.91,39.61,40.74,39.91,0.8300000000000054,2.0797,54867.5,220884.442
300801.SZ,20200217,39.25,40.2,39.1,39.91,39.58,0.3299999999999983,0.8338,43685.06,173941.454
300801.SZ,20200214,39.3,40.23,39.03,39.58,39.56,0.01999999999999602,0.0506,45948.87,181974.645
300801.SZ,20200213,40.3,40.3,38.55,39.56,40.4,-0.8399999999999963,-2.0792,61113.01,240458.928
300801.SZ,20200212,39.65,40.68,39.31,40.4,40.0,0.3999999999999986,1.0,64865.49,259828.871
300801.SZ,20200211,41.82,42.55,39.65,40.0,44.06,-4.060000000000002,-9.2147,99771.01,404429.204
300801.SZ,20200210,51.99,51.99,43.43,44.06,47.83,-3.769999999999996,-7.8821,163729.34,776120.909
300801.SZ,20200207,47.83,47.83,47.83,47.83,43.48,4.350000000000001,10.0046,8580.24,41039.287
300801.SZ,20200206,43.48,43.48,42.62,43.48,39.53,3.9499999999999957,9.9924,60458.38,262247.952
300801.SZ,20200205,38.55,39.53,36.94,39.53,35.94,3.5900000000000034,9.9889,68225.69,261857.577
300801.SZ,20200204,32.73,35.94,32.73,35.94,32.67,3.269999999999996,10.0092,46068.46,159835.334
300801.SZ,20200203,33.51,33.51,32.67,32.67,36.3,-3.6299999999999955,-10.0,40825.63,134196.892
300801.SZ,20200123,37.16,37.6,36.06,36.3,37.35,-1.0500000000000043,-2.8112,19067.5,70004.872
300801.SZ,20200122,37.53,37.76,36.82,37.35,37.81,-0.46000000000000085,-1.2166,16912.08,63039.339
