ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000652.SZ,20200225,8.7,8.7,8.39,8.7,7.91,0.7899999999999991,9.9874,1334969.59,1157611.477
000652.SZ,20200224,7.78,7.91,7.62,7.91,7.19,0.7199999999999998,10.0139,1217363.01,954536.164
000652.SZ,20200221,7.01,7.37,6.96,7.19,6.84,0.35000000000000053,5.117,2309509.81,1657499.441
000652.SZ,20200220,7.01,7.1,6.8,6.84,7.24,-0.40000000000000036,-5.5249,2050472.65,1420151.299
000652.SZ,20200219,7.5,7.63,7.13,7.24,7.69,-0.4500000000000002,-5.8518,2194857.18,1618982.03
000652.SZ,20200218,7.44,7.98,7.33,7.69,7.46,0.23000000000000043,3.0831,2732241.88,2099709.239
000652.SZ,20200217,7.51,7.67,7.22,7.46,7.53,-0.07000000000000028,-0.9296,1950470.24,1454930.75
000652.SZ,20200214,7.98,8.09,7.38,7.53,8.2,-0.669999999999999,-8.1707,2822680.43,2153638.943
000652.SZ,20200213,9.08,9.08,8.08,8.2,8.8,-0.6000000000000014,-6.8182,3332504.59,2866801.662
000652.SZ,20200212,8.14,9.17,8.14,8.8,9.04,-0.23999999999999844,-2.6549,3947647.52,3339135.72
000652.SZ,20200211,9.5,9.92,8.34,9.04,9.02,0.019999999999999574,0.2217,5404669.31,5034247.937
000652.SZ,20200210,9.02,9.02,9.02,9.02,8.2,0.8200000000000003,10.0,148074.41,133563.117
000652.SZ,20200207,8.2,8.2,8.2,8.2,7.45,0.7499999999999991,10.0671,45051.06,36941.869
000652.SZ,20200206,7.45,7.45,7.45,7.45,6.77,0.6800000000000006,10.0443,24896.1,18547.594
000652.SZ,20200205,6.77,6.77,6.77,6.77,6.15,0.6199999999999992,10.0813,33397.23,22609.924
000652.SZ,20200204,6.15,6.15,6.15,6.15,5.59,0.5600000000000005,10.0179,274216.85,168643.362
