ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600759.SH,20200225,2.41,2.44,2.36,2.43,2.49,-0.06000000000000005,-2.4096,450858.35,108562.889
600759.SH,20200224,2.51,2.52,2.45,2.49,2.55,-0.05999999999999961,-2.3529,395479.01,98302.182
600759.SH,20200221,2.53,2.56,2.51,2.55,2.55,0.0,0.0,347172.67,87999.592
600759.SH,20200220,2.48,2.56,2.48,2.55,2.46,0.08999999999999986,3.6585,408799.12,103206.686
600759.SH,20200219,2.46,2.52,2.44,2.46,2.47,-0.010000000000000231,-0.4049,293744.56,72691.173
600759.SH,20200218,2.45,2.48,2.43,2.47,2.45,0.020000000000000018,0.8163,306713.42,75282.13
600759.SH,20200217,2.4,2.45,2.39,2.45,2.39,0.06000000000000005,2.5105,247094.97,60048.895
600759.SH,20200214,2.37,2.4,2.36,2.39,2.38,0.010000000000000231,0.4202,138295.5,32985.751
600759.SH,20200213,2.43,2.48,2.37,2.38,2.41,-0.03000000000000025,-1.2448,236412.91,57103.858
600759.SH,20200212,2.39,2.42,2.36,2.41,2.39,0.020000000000000018,0.8368,209961.03,50175.793
600759.SH,20200211,2.35,2.43,2.34,2.39,2.36,0.03000000000000025,1.2712,315397.32,75289.851
600759.SH,20200210,2.28,2.37,2.27,2.36,2.31,0.04999999999999982,2.1645,312174.06,72624.706
600759.SH,20200207,2.31,2.32,2.28,2.31,2.33,-0.020000000000000018,-0.8584,257038.34,59092.921
600759.SH,20200206,2.33,2.35,2.3,2.33,2.29,0.040000000000000036,1.7467,297974.92,69072.247
600759.SH,20200205,2.24,2.33,2.22,2.29,2.25,0.040000000000000036,1.7778,311166.35,71353.682
600759.SH,20200204,2.16,2.29,2.16,2.25,2.4,-0.1499999999999999,-6.25,527861.85,117571.568
600759.SH,20200203,2.4,2.4,2.4,2.4,2.67,-0.27,-10.1124,49438.0,11865.12
600759.SH,20200123,2.75,2.75,2.61,2.67,2.78,-0.10999999999999988,-3.9568,367316.25,98304.963
600759.SH,20200122,2.8,2.81,2.73,2.78,2.81,-0.03000000000000025,-1.0676,176175.6,48770.598
600759.SH,20200121,2.84,2.85,2.8,2.81,2.85,-0.040000000000000036,-1.4035,180838.4,50915.583
600759.SH,20200120,2.8,2.86,2.8,2.85,2.8,0.050000000000000266,1.7857,188982.51,53538.471
600759.SH,20200117,2.83,2.84,2.8,2.8,2.83,-0.03000000000000025,-1.0601,124944.56,35223.819
600759.SH,20200116,2.81,2.85,2.8,2.83,2.82,0.010000000000000231,0.3546,163721.55,46326.52
600759.SH,20200115,2.88,2.88,2.81,2.82,2.9,-0.08000000000000007,-2.7586,260846.49,73918.337
600759.SH,20200114,2.89,2.92,2.86,2.9,2.9,0.0,0.0,243261.39,70497.603
600759.SH,20200113,2.88,2.9,2.85,2.9,2.9,0.0,0.0,216106.75,62031.111
600759.SH,20200110,2.95,2.96,2.88,2.9,2.97,-0.07000000000000028,-2.3569,382016.87,110869.434
600759.SH,20200109,2.91,3.0,2.89,2.97,3.11,-0.13999999999999968,-4.5016,670941.87,198324.098
600759.SH,20200108,3.14,3.15,3.04,3.11,3.01,0.10000000000000009,3.3223,1000577.11,309679.447
600759.SH,20200107,3.01,3.03,2.97,3.01,3.09,-0.08000000000000007,-2.589,547708.98,164195.556
600759.SH,20200106,3.09,3.14,3.0,3.09,2.92,0.16999999999999993,5.8219,1048310.29,322018.349
600759.SH,20200103,2.8,3.0,2.79,2.92,2.81,0.10999999999999988,3.9146,721226.13,210458.125
600759.SH,20200102,2.79,2.82,2.77,2.81,2.77,0.040000000000000036,1.444,276279.9,77314.421
600759.SH,20191231,2.77,2.78,2.74,2.77,2.77,0.0,0.0,146475.25,40428.32
600759.SH,20191230,2.74,2.78,2.7,2.77,2.76,0.010000000000000231,0.3623,174448.64,47777.516
600759.SH,20191227,2.75,2.79,2.74,2.76,2.75,0.009999999999999787,0.3636,197301.82,54530.548
600759.SH,20191226,2.72,2.75,2.7,2.75,2.72,0.029999999999999805,1.1029,131925.2,35903.114
600759.SH,20191225,2.75,2.77,2.7,2.72,2.74,-0.020000000000000018,-0.7299,143676.4,39169.44
600759.SH,20191224,2.69,2.77,2.68,2.74,2.69,0.050000000000000266,1.8587,171727.74,46880.822
