ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000757.SZ,20200225,4.15,4.22,4.06,4.21,4.27,-0.05999999999999961,-1.4052,65005.8,27023.247
000757.SZ,20200224,4.27,4.32,4.21,4.27,4.31,-0.040000000000000036,-0.9281,61873.75,26325.281
000757.SZ,20200221,4.3,4.43,4.22,4.31,4.3,0.009999999999999787,0.2326,107442.62,46353.461
000757.SZ,20200220,4.2,4.36,4.14,4.3,4.18,0.1200000000000001,2.8708,107063.91,45495.631
000757.SZ,20200219,4.16,4.21,4.11,4.18,4.16,0.019999999999999574,0.4808,51514.97,21433.927
000757.SZ,20200218,4.09,4.17,4.06,4.16,4.08,0.08000000000000007,1.9608,82293.14,33836.279
000757.SZ,20200217,3.97,4.13,3.96,4.08,3.96,0.1200000000000001,3.0303,67258.41,27447.874
000757.SZ,20200214,3.96,3.99,3.93,3.96,3.96,0.0,0.0,23269.05,9219.444
000757.SZ,20200213,4.03,4.08,3.96,3.96,4.05,-0.08999999999999986,-2.2222,38176.0,15277.33
000757.SZ,20200212,4.04,4.06,4.0,4.05,4.02,0.03000000000000025,0.7463,34836.13,14035.398
000757.SZ,20200211,4.03,4.07,3.99,4.02,4.04,-0.020000000000000462,-0.495,39604.0,15943.704
000757.SZ,20200210,3.98,4.04,3.96,4.04,3.95,0.08999999999999986,2.2785,46870.48,18788.668
000757.SZ,20200207,3.93,3.96,3.89,3.95,3.94,0.010000000000000231,0.2538,34112.46,13401.143
000757.SZ,20200206,3.9,3.95,3.88,3.94,3.91,0.029999999999999805,0.7673,51461.89,20203.976
000757.SZ,20200205,3.85,3.95,3.84,3.91,3.85,0.06000000000000005,1.5584,40638.6,15889.455
000757.SZ,20200204,3.73,3.92,3.73,3.85,3.95,-0.10000000000000009,-2.5316,46981.13,18117.314
000757.SZ,20200203,3.95,4.0,3.95,3.95,4.39,-0.4399999999999995,-10.0228,39641.0,15666.408
000757.SZ,20200123,4.49,4.57,4.36,4.39,4.49,-0.10000000000000053,-2.2272,91094.89,40593.374
000757.SZ,20200122,4.6,4.67,4.45,4.49,4.63,-0.13999999999999968,-3.0238,116527.98,52245.074
000757.SZ,20200121,4.68,4.74,4.6,4.63,4.65,-0.020000000000000462,-0.4301,59636.83,27879.112
000757.SZ,20200120,4.61,4.67,4.58,4.65,4.67,-0.019999999999999574,-0.4283,43402.41,20086.379
000757.SZ,20200117,4.67,4.8,4.65,4.67,4.64,0.03000000000000025,0.6466,56747.0,26868.325
000757.SZ,20200116,4.68,4.72,4.63,4.64,4.71,-0.07000000000000028,-1.4862,45122.0,21107.236
000757.SZ,20200115,4.81,4.87,4.67,4.71,4.72,-0.009999999999999787,-0.2119,58300.0,27664.217
000757.SZ,20200114,4.7,4.75,4.69,4.72,4.7,0.019999999999999574,0.4255,30049.0,14185.113
000757.SZ,20200113,4.73,4.73,4.65,4.7,4.7,0.0,0.0,27354.75,12805.844
000757.SZ,20200110,4.74,4.77,4.66,4.7,4.75,-0.04999999999999982,-1.0526,31343.0,14741.999
000757.SZ,20200109,4.75,4.77,4.71,4.75,4.72,0.03000000000000025,0.6356,26883.19,12733.382
000757.SZ,20200108,4.8,4.92,4.71,4.72,4.8,-0.08000000000000007,-1.6667,64853.09,31318.903
000757.SZ,20200107,4.75,4.81,4.72,4.8,4.73,0.0699999999999994,1.4799,64120.9,30700.153
