ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000977.SZ,20200225,48.18,49.05,45.15,47.9,49.15,-1.25,-2.5432,1123955.77,5348273.921
000977.SZ,20200224,47.0,49.25,46.8,49.15,48.15,1.0,2.0768,1044177.84,5039987.81
000977.SZ,20200221,47.46,49.46,47.13,48.15,47.43,0.7199999999999989,1.518,809879.92,3931858.301
000977.SZ,20200220,46.78,48.1,45.7,47.43,46.9,0.5300000000000011,1.1301,707352.89,3328887.669
000977.SZ,20200219,48.31,48.68,46.78,46.9,49.02,-2.1200000000000045,-4.3248,740108.77,3521828.328
000977.SZ,20200218,47.95,49.49,47.11,49.02,48.16,0.8600000000000065,1.7857,821680.71,3964963.306
000977.SZ,20200217,47.39,48.47,46.78,48.16,47.39,0.769999999999996,1.6248,747036.41,3554718.6
000977.SZ,20200214,48.02,50.26,46.06,47.39,47.91,-0.519999999999996,-1.0854,909629.91,4379585.967
000977.SZ,20200213,48.2,49.57,46.28,47.91,47.52,0.38999999999999346,0.8207,936859.38,4513620.448
000977.SZ,20200212,42.8,47.52,42.55,47.52,43.2,4.32,10.0,955384.94,4353289.31
000977.SZ,20200211,43.5,43.64,41.8,43.2,42.91,0.29000000000000625,0.6758,660943.51,2819767.347
000977.SZ,20200210,44.78,44.78,41.0,42.91,43.77,-0.8600000000000065,-1.9648,1017773.41,4376007.396
000977.SZ,20200207,41.18,43.77,40.79,43.77,39.79,3.980000000000004,10.0025,1371648.24,5873370.34
000977.SZ,20200206,36.81,39.79,36.71,39.79,36.17,3.6199999999999974,10.0083,977689.79,3789524.655
000977.SZ,20200205,35.55,37.85,35.55,36.17,35.1,1.0700000000000003,3.0484,645517.55,2351146.739
000977.SZ,20200204,32.17,35.2,32.17,35.1,32.1,3.0,9.3458,608952.7,2081500.672
000977.SZ,20200203,30.72,32.7,30.72,32.1,34.13,-2.030000000000001,-5.9478,733880.18,2327075.298
000977.SZ,20200123,35.6,35.88,33.69,34.13,36.35,-2.219999999999999,-6.1073,501792.02,1742610.047
000977.SZ,20200122,34.9,36.66,34.47,36.35,35.1,1.25,3.5613,522039.67,1859040.22
000977.SZ,20200121,34.96,35.74,34.8,35.1,35.17,-0.07000000000000028,-0.199,399295.04,1405096.938
000977.SZ,20200120,33.5,36.08,33.21,35.17,33.5,1.6700000000000017,4.9851,635061.64,2201325.493
000977.SZ,20200117,33.5,33.92,32.79,33.5,32.06,1.4399999999999977,4.4916,752962.18,2515902.963
000977.SZ,20200116,32.19,32.65,31.53,32.06,32.23,-0.1699999999999946,-0.5275,329865.77,1057209.246
000977.SZ,20200115,32.05,32.33,31.75,32.23,32.1,0.12999999999999545,0.405,241383.31,773452.0
