ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600137.SH,20200225,14.7,14.7,14.08,14.47,14.77,-0.29999999999999893,-2.0311,6872.58,9884.292
600137.SH,20200224,14.58,14.8,14.48,14.77,14.65,0.11999999999999922,0.8191,6392.03,9355.422
600137.SH,20200221,14.55,14.8,14.43,14.65,14.53,0.120000000000001,0.8259,4780.0,6992.373
600137.SH,20200220,14.44,14.57,14.3,14.53,14.36,0.16999999999999993,1.1838,5592.0,8093.682
600137.SH,20200219,14.36,14.45,14.3,14.36,14.4,-0.040000000000000924,-0.2778,3779.0,5431.764
600137.SH,20200218,14.26,14.5,14.1,14.4,14.25,0.15000000000000036,1.0526,6912.22,9894.664
600137.SH,20200217,15.0,15.01,14.16,14.25,13.84,0.41000000000000014,2.9624,6476.21,9299.237
600137.SH,20200214,13.78,14.01,13.78,13.84,13.91,-0.07000000000000028,-0.5032,3901.0,5415.377
600137.SH,20200213,14.2,14.2,13.81,13.91,14.11,-0.1999999999999993,-1.4174,4447.09,6205.862
600137.SH,20200212,14.2,14.2,13.91,14.11,14.06,0.049999999999998934,0.3556,4949.01,6953.887
600137.SH,20200211,14.22,14.25,14.0,14.06,14.1,-0.03999999999999915,-0.2837,6982.02,9838.418
600137.SH,20200210,13.91,14.18,13.79,14.1,14.07,0.02999999999999936,0.2132,9743.23,13584.219
600137.SH,20200207,13.17,14.17,13.17,14.07,13.36,0.7100000000000009,5.3144,15226.4,20987.9
600137.SH,20200206,13.26,13.5,13.11,13.36,13.25,0.10999999999999943,0.8302,6535.0,8722.283
600137.SH,20200205,13.04,13.54,12.83,13.25,13.11,0.14000000000000057,1.0679,8688.01,11497.262
600137.SH,20200204,11.89,13.22,11.89,13.11,12.83,0.27999999999999936,2.1824,13134.48,16453.657
600137.SH,20200203,12.83,12.83,12.83,12.83,14.26,-1.4299999999999997,-10.0281,1947.0,2498.001
600137.SH,20200123,14.6,14.9,14.2,14.26,14.72,-0.46000000000000085,-3.125,7510.5,10850.698
600137.SH,20200122,14.8,14.83,14.3,14.72,15.01,-0.28999999999999915,-1.932,9583.13,13946.008
600137.SH,20200121,15.18,15.24,14.93,15.01,15.2,-0.1899999999999995,-1.25,6532.5,9821.766
600137.SH,20200120,15.3,15.36,15.04,15.2,15.3,-0.10000000000000142,-0.6536,6851.03,10367.957
600137.SH,20200117,15.36,15.65,15.3,15.3,15.39,-0.08999999999999986,-0.5848,7369.3,11343.285
600137.SH,20200116,15.75,15.82,15.38,15.39,15.7,-0.3099999999999987,-1.9745,9709.0,15125.758
600137.SH,20200115,15.54,15.8,15.4,15.7,15.52,0.17999999999999972,1.1598,10135.01,15779.969
600137.SH,20200114,15.66,15.67,15.42,15.52,15.67,-0.15000000000000036,-0.9572,9078.01,14107.395
600137.SH,20200113,15.7,15.7,15.37,15.67,15.73,-0.0600000000000005,-0.3814,10221.09,15894.476
600137.SH,20200110,15.54,15.89,15.4,15.73,15.46,0.2699999999999996,1.7464,16438.99,25810.184
