ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600851.SH,20200225,8.04,8.85,7.98,8.72,8.2,0.5200000000000014,6.3415,178324.96,151467.273
600851.SH,20200224,8.09,8.3,8.09,8.2,8.19,0.009999999999999787,0.1221,58211.2,47790.842
600851.SH,20200221,8.09,8.19,8.01,8.19,8.09,0.09999999999999964,1.2361,49213.56,40138.626
600851.SH,20200220,8.15,8.19,7.94,8.09,8.11,-0.019999999999999574,-0.2466,42844.02,34474.114
600851.SH,20200219,8.3,8.3,8.09,8.11,8.33,-0.22000000000000064,-2.6411,48178.29,39379.362
600851.SH,20200218,8.23,8.35,8.18,8.33,8.14,0.1899999999999995,2.3342,64373.03,53181.712
600851.SH,20200217,8.0,8.16,8.0,8.14,8.02,0.120000000000001,1.4963,45116.22,36534.279
600851.SH,20200214,8.26,8.28,7.98,8.02,8.29,-0.2699999999999996,-3.2569,61472.0,49786.158
600851.SH,20200213,8.29,8.44,7.95,8.29,8.33,-0.040000000000000924,-0.4802,93438.19,76273.791
600851.SH,20200212,8.29,8.43,8.19,8.33,8.3,0.02999999999999936,0.3614,58252.87,48329.637
600851.SH,20200211,8.48,8.48,8.16,8.3,8.49,-0.1899999999999995,-2.2379,50368.46,41648.584
600851.SH,20200210,8.85,8.86,8.41,8.49,8.92,-0.4299999999999997,-4.8206,81513.5,69523.308
600851.SH,20200207,9.18,9.35,8.72,8.92,9.35,-0.4299999999999997,-4.5989,113969.05,102998.587
600851.SH,20200206,8.51,9.45,8.51,9.35,8.72,0.629999999999999,7.2248,150621.75,137917.846
600851.SH,20200205,8.7,9.15,8.46,8.72,8.32,0.40000000000000036,4.8077,161736.07,142579.435
600851.SH,20200204,7.72,8.32,7.72,8.32,7.56,0.7600000000000007,10.0529,58830.02,48001.918
600851.SH,20200203,7.43,7.95,7.29,7.56,8.1,-0.54,-6.6667,69096.39,52517.512
600851.SH,20200123,8.55,8.67,8.0,8.1,8.58,-0.4800000000000004,-5.5944,58958.25,48516.571
600851.SH,20200122,8.72,8.72,8.5,8.58,8.66,-0.08000000000000007,-0.9238,40695.96,34976.045
600851.SH,20200121,9.14,9.19,8.51,8.66,8.97,-0.3100000000000005,-3.456,110084.09,96602.711
600851.SH,20200120,9.28,9.43,8.89,8.97,9.13,-0.16000000000000014,-1.7525,48885.83,44201.474
600851.SH,20200117,9.16,9.27,9.06,9.13,9.19,-0.05999999999999872,-0.6529,30516.66,27892.445
600851.SH,20200116,9.24,9.31,9.13,9.19,9.22,-0.030000000000001137,-0.3254,23772.15,21964.854
600851.SH,20200115,9.25,9.4,9.1,9.22,9.3,-0.08000000000000007,-0.8602,25213.59,23167.543
600851.SH,20200114,9.47,9.5,9.16,9.3,9.33,-0.02999999999999936,-0.3215,44940.3,41630.608
600851.SH,20200113,9.0,9.44,9.0,9.33,9.33,0.0,0.0,73305.45,68295.299
600851.SH,20200110,10.0,10.0,9.24,9.33,10.02,-0.6899999999999995,-6.8862,111342.99,106064.841
600851.SH,20200109,10.16,10.74,9.94,10.02,10.0,0.019999999999999574,0.2,147247.28,151519.726
600851.SH,20200108,9.57,10.04,9.47,10.0,9.55,0.4499999999999993,4.712,98471.5,96654.569
