ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000020.SZ,20200225,10.1,10.23,9.91,10.14,10.35,-0.20999999999999908,-2.029,32469.59,32774.46
000020.SZ,20200224,10.34,10.36,10.08,10.35,10.37,-0.019999999999999574,-0.1929,34942.73,35731.939
000020.SZ,20200221,10.14,10.42,10.05,10.37,10.14,0.22999999999999865,2.2682,38372.09,39331.062
000020.SZ,20200220,9.99,10.17,9.91,10.14,10.06,0.08000000000000007,0.7952,29281.0,29432.954
000020.SZ,20200219,10.2,10.2,10.06,10.06,10.21,-0.15000000000000036,-1.4691,26004.73,26283.051
000020.SZ,20200218,10.3,10.3,9.94,10.21,10.26,-0.049999999999998934,-0.4873,41247.71,41679.725
000020.SZ,20200217,10.07,10.3,9.98,10.26,10.08,0.17999999999999972,1.7857,38313.8,39066.435
000020.SZ,20200214,10.22,10.45,10.05,10.08,10.69,-0.6099999999999994,-5.7063,55147.43,56268.81
000020.SZ,20200213,11.41,11.49,10.5,10.69,11.46,-0.7700000000000014,-6.719,94505.74,102839.898
000020.SZ,20200212,12.66,12.66,11.0,11.46,11.51,-0.049999999999998934,-0.4344,117123.72,138769.0
000020.SZ,20200211,11.51,11.51,11.51,11.51,10.46,1.049999999999999,10.0382,6604.6,7601.894
000020.SZ,20200210,10.46,10.46,10.46,10.46,9.51,0.9500000000000011,9.9895,4547.79,4756.988
000020.SZ,20200207,9.16,9.56,9.12,9.51,9.2,0.3100000000000005,3.3696,19121.32,17812.045
000020.SZ,20200206,9.22,9.35,9.01,9.2,9.21,-0.010000000000001563,-0.1086,19975.02,18354.617
000020.SZ,20200205,8.86,9.24,8.69,9.21,8.63,0.5800000000000001,6.7207,27765.44,24851.221
000020.SZ,20200204,8.3,8.79,8.3,8.63,9.2,-0.5699999999999985,-6.1957,29172.61,25062.707
000020.SZ,20200203,9.2,9.2,9.2,9.2,10.22,-1.0200000000000014,-9.9804,2648.0,2436.16
000020.SZ,20200123,10.5,10.76,10.06,10.22,10.54,-0.3199999999999985,-3.0361,19964.09,20715.644
000020.SZ,20200122,10.48,10.64,10.35,10.54,10.56,-0.02000000000000135,-0.1894,10126.08,10601.631
000020.SZ,20200121,10.77,10.84,10.5,10.56,10.77,-0.20999999999999908,-1.9499,8224.21,8733.063
000020.SZ,20200120,10.56,10.81,10.4,10.77,10.58,0.1899999999999995,1.7958,12283.55,13066.825
000020.SZ,20200117,10.56,10.67,10.47,10.58,10.56,0.019999999999999574,0.1894,10130.06,10712.367
000020.SZ,20200116,10.85,10.88,10.56,10.56,10.78,-0.21999999999999886,-2.0408,11552.47,12316.419
000020.SZ,20200115,10.95,11.0,10.72,10.78,10.95,-0.16999999999999993,-1.5525,13191.12,14253.453
