ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000062.SZ,20200225,14.61,14.94,13.99,14.84,14.97,-0.13000000000000078,-0.8684,155838.96,227192.279
000062.SZ,20200224,14.55,15.15,14.38,14.97,14.51,0.46000000000000085,3.1702,154743.36,228374.325
000062.SZ,20200221,14.08,14.55,13.91,14.51,13.97,0.5399999999999991,3.8654,128326.95,183884.059
000062.SZ,20200220,13.67,14.08,13.38,13.97,13.58,0.39000000000000057,2.8719,109182.71,150301.7
000062.SZ,20200219,13.82,13.88,13.52,13.58,13.75,-0.16999999999999993,-1.2364,71898.39,98449.737
000062.SZ,20200218,13.43,13.8,13.28,13.75,13.4,0.34999999999999964,2.6119,104184.16,141201.466
000062.SZ,20200217,12.87,13.47,12.87,13.4,12.89,0.5099999999999998,3.9566,83997.03,111211.882
000062.SZ,20200214,12.83,13.11,12.78,12.89,12.85,0.040000000000000924,0.3113,63930.93,82931.861
000062.SZ,20200213,13.17,13.17,12.84,12.85,13.01,-0.16000000000000014,-1.2298,60640.06,78475.271
000062.SZ,20200212,12.68,13.13,12.64,13.01,12.68,0.33000000000000007,2.6025,79429.53,102272.837
000062.SZ,20200211,12.88,12.89,12.65,12.68,12.81,-0.13000000000000078,-1.0148,45716.94,58198.332
000062.SZ,20200210,12.6,12.87,12.5,12.81,12.6,0.21000000000000085,1.6667,70331.47,89156.752
000062.SZ,20200207,12.43,12.65,12.36,12.6,12.49,0.10999999999999943,0.8807,74382.99,92884.401
000062.SZ,20200206,12.1,12.6,12.0,12.49,12.08,0.41000000000000014,3.394,93260.3,115405.311
000062.SZ,20200205,11.99,12.43,11.93,12.08,11.82,0.2599999999999998,2.1997,88725.69,107869.3
000062.SZ,20200204,11.31,12.18,11.31,11.82,12.57,-0.75,-5.9666,115708.21,137462.808
000062.SZ,20200203,12.57,12.57,12.57,12.57,13.97,-1.4000000000000004,-10.0215,8168.0,10267.176
000062.SZ,20200123,14.6,14.8,13.78,13.97,14.81,-0.8399999999999999,-5.6718,77392.3,110350.614
000062.SZ,20200122,14.62,14.94,14.3,14.81,14.74,0.07000000000000028,0.4749,61233.1,89497.532
000062.SZ,20200121,15.28,15.28,14.74,14.74,15.29,-0.5499999999999989,-3.5971,84800.84,126647.577
000062.SZ,20200120,15.3,15.43,15.02,15.29,15.32,-0.030000000000001137,-0.1958,53458.08,81472.601
000062.SZ,20200117,15.5,15.59,15.28,15.32,15.58,-0.2599999999999998,-1.6688,84957.51,131175.388
000062.SZ,20200116,15.3,15.58,15.1,15.58,15.26,0.3200000000000003,2.097,114663.53,176981.587
000062.SZ,20200115,15.29,15.37,14.98,15.26,15.3,-0.040000000000000924,-0.2614,57696.55,87420.876
000062.SZ,20200114,15.4,15.54,15.17,15.3,15.42,-0.11999999999999922,-0.7782,70604.7,108209.43
000062.SZ,20200113,14.8,15.5,14.8,15.42,15.05,0.3699999999999992,2.4585,103811.12,158347.449
000062.SZ,20200110,15.1,15.33,15.01,15.05,15.03,0.02000000000000135,0.1331,63906.58,96809.168
000062.SZ,20200109,15.0,15.14,14.9,15.03,14.84,0.1899999999999995,1.2803,67728.02,101827.588
000062.SZ,20200108,15.26,15.26,14.83,14.84,15.29,-0.4499999999999993,-2.9431,83833.93,125622.428
000062.SZ,20200107,15.26,15.43,15.13,15.29,15.33,-0.040000000000000924,-0.2609,90516.42,137826.453
000062.SZ,20200106,15.08,15.56,14.97,15.33,15.39,-0.0600000000000005,-0.3899,174102.58,264833.881
000062.SZ,20200103,14.72,15.63,14.55,15.39,14.66,0.7300000000000004,4.9795,218697.9,329103.411
000062.SZ,20200102,14.3,14.7,14.28,14.66,14.24,0.41999999999999993,2.9494,83851.79,122213.776
000062.SZ,20191231,14.4,14.49,14.19,14.24,14.4,-0.16000000000000014,-1.1111,37197.67,53188.246
000062.SZ,20191230,14.25,14.4,14.0,14.4,14.28,0.120000000000001,0.8403,37076.88,52797.662
000062.SZ,20191227,14.7,14.71,14.28,14.28,14.6,-0.3200000000000003,-2.1918,53102.73,76664.875
000062.SZ,20191226,14.5,14.68,14.35,14.6,14.5,0.09999999999999964,0.6897,36805.16,53585.708
000062.SZ,20191225,14.35,14.58,14.25,14.5,14.38,0.11999999999999922,0.8345,37870.74,54742.968
000062.SZ,20191224,14.33,14.47,14.1,14.38,14.33,0.05000000000000071,0.3489,40471.83,57729.485
000062.SZ,20191223,14.5,14.69,14.31,14.33,14.76,-0.4299999999999997,-2.9133,56181.9,81348.916
000062.SZ,20191220,14.69,14.97,14.69,14.76,14.69,0.07000000000000028,0.4765,67208.73,99724.001
000062.SZ,20191219,14.61,14.82,14.45,14.69,14.66,0.02999999999999936,0.2046,59087.11,86535.631
000062.SZ,20191218,14.76,14.9,14.65,14.66,14.66,0.0,0.0,76960.12,113537.884
000062.SZ,20191217,14.6,14.77,14.48,14.66,14.58,0.08000000000000007,0.5487,93901.46,137260.673
000062.SZ,20191216,14.25,14.59,14.15,14.58,14.17,0.41000000000000014,2.8934,91227.45,131068.401
000062.SZ,20191213,14.17,14.33,13.94,14.17,14.13,0.03999999999999915,0.2831,78944.84,111219.945
000062.SZ,20191212,13.8,14.43,13.71,14.13,13.78,0.3500000000000014,2.5399,86826.53,122603.976
000062.SZ,20191211,13.85,13.95,13.7,13.78,13.87,-0.08999999999999986,-0.6489,43676.57,60302.737
000062.SZ,20191210,13.63,13.89,13.5,13.87,13.66,0.20999999999999908,1.5373,52946.43,72747.584
000062.SZ,20191209,13.55,13.82,13.51,13.66,13.63,0.02999999999999936,0.2201,47841.54,65305.068
000062.SZ,20191206,13.7,13.73,13.49,13.63,13.6,0.030000000000001137,0.2206,27860.25,37847.708
000062.SZ,20191205,13.48,13.65,13.48,13.6,13.48,0.11999999999999922,0.8902,36867.63,50087.805
000062.SZ,20191204,13.28,13.54,13.28,13.48,13.45,0.030000000000001137,0.223,21226.51,28527.287
000062.SZ,20191203,13.27,13.48,13.06,13.45,13.29,0.16000000000000014,1.2039,26012.47,34514.462
