ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000089.SZ,20200225,8.45,8.48,8.32,8.48,8.6,-0.11999999999999922,-1.3953,267338.74,224618.17
000089.SZ,20200224,8.76,8.77,8.51,8.6,8.91,-0.3100000000000005,-3.4792,410554.41,353647.934
000089.SZ,20200221,8.94,8.96,8.81,8.91,8.94,-0.02999999999999936,-0.3356,275519.12,244379.765
000089.SZ,20200220,8.62,8.96,8.62,8.94,8.62,0.3200000000000003,3.7123,446212.52,394498.568
000089.SZ,20200219,8.65,8.73,8.57,8.62,8.64,-0.02000000000000135,-0.2315,203717.62,176020.94
000089.SZ,20200218,8.49,8.77,8.44,8.64,8.5,0.14000000000000057,1.6471,280576.31,242198.344
000089.SZ,20200217,8.31,8.5,8.23,8.5,8.38,0.11999999999999922,1.432,313501.42,263776.901
000089.SZ,20200214,8.43,8.48,8.28,8.38,8.45,-0.06999999999999851,-0.8284,248750.08,208369.999
000089.SZ,20200213,8.65,8.68,8.4,8.45,8.64,-0.19000000000000128,-2.1991,177543.01,151414.37
000089.SZ,20200212,8.67,8.67,8.55,8.64,8.67,-0.02999999999999936,-0.346,155090.8,133440.728
000089.SZ,20200211,8.69,8.82,8.62,8.67,8.72,-0.05000000000000071,-0.5734,156137.89,135726.45
000089.SZ,20200210,8.7,8.75,8.6,8.72,8.78,-0.05999999999999872,-0.6834,163769.11,142266.409
000089.SZ,20200207,8.61,8.81,8.56,8.78,8.66,0.11999999999999922,1.3857,196233.01,171440.163
000089.SZ,20200206,8.38,8.74,8.32,8.66,8.37,0.2900000000000009,3.4648,236051.96,202485.265
000089.SZ,20200205,8.38,8.6,8.26,8.37,8.32,0.049999999999998934,0.601,230221.47,193788.524
000089.SZ,20200204,8.0,8.45,8.0,8.32,8.13,0.1899999999999995,2.337,387586.66,319689.893
000089.SZ,20200203,8.13,8.15,8.13,8.13,9.03,-0.8999999999999986,-9.9668,311912.07,253588.697
000089.SZ,20200123,9.16,9.21,8.98,9.03,9.28,-0.25,-2.694,251203.36,227540.873
000089.SZ,20200122,9.3,9.31,9.15,9.28,9.37,-0.08999999999999986,-0.9605,195691.55,180635.699
000089.SZ,20200121,9.6,9.6,9.36,9.37,9.68,-0.3100000000000005,-3.2025,275641.39,260345.574
000089.SZ,20200120,9.7,9.74,9.57,9.68,9.72,-0.040000000000000924,-0.4115,179105.92,172731.169
000089.SZ,20200117,9.83,9.86,9.68,9.72,9.83,-0.10999999999999943,-1.119,128404.2,125271.846
000089.SZ,20200116,9.88,9.89,9.81,9.83,9.89,-0.0600000000000005,-0.6067,106868.16,105097.647
000089.SZ,20200115,9.87,9.92,9.8,9.89,9.88,0.009999999999999787,0.1012,115760.68,114107.755
