ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000023.SZ,20200225,11.81,11.99,11.4,11.94,12.02,-0.08000000000000007,-0.6656,36211.52,42349.146
000023.SZ,20200224,12.0,12.07,11.81,12.02,11.99,0.02999999999999936,0.2502,30532.75,36475.307
000023.SZ,20200221,11.88,12.08,11.85,11.99,11.85,0.14000000000000057,1.1814,31793.55,37952.495
000023.SZ,20200220,11.75,11.94,11.66,11.85,11.75,0.09999999999999964,0.8511,24049.22,28411.063
000023.SZ,20200219,11.8,11.98,11.74,11.75,11.89,-0.14000000000000057,-1.1775,26345.56,31191.148
000023.SZ,20200218,11.65,11.92,11.55,11.89,11.72,0.16999999999999993,1.4505,41593.24,48821.624
000023.SZ,20200217,11.5,11.76,11.4,11.72,11.41,0.3100000000000005,2.7169,30017.62,34831.708
000023.SZ,20200214,11.33,11.53,11.26,11.41,11.39,0.019999999999999574,0.1756,22572.07,25754.865
000023.SZ,20200213,11.57,11.77,11.31,11.39,11.67,-0.27999999999999936,-2.3993,24977.79,28792.731
000023.SZ,20200212,11.4,11.71,11.39,11.67,11.43,0.2400000000000002,2.0997,27753.07,32043.359
000023.SZ,20200211,11.35,11.58,11.23,11.43,11.37,0.0600000000000005,0.5277,27843.5,31793.761
000023.SZ,20200210,11.0,11.43,10.91,11.37,11.06,0.3099999999999987,2.8029,28535.07,32008.633
000023.SZ,20200207,10.95,11.06,10.83,11.06,10.91,0.15000000000000036,1.3749,27768.45,30421.89
000023.SZ,20200206,10.79,10.91,10.66,10.91,10.67,0.2400000000000002,2.2493,26159.16,28315.953
000023.SZ,20200205,10.65,10.91,10.54,10.67,10.54,0.13000000000000078,1.2334,28650.68,30768.496
000023.SZ,20200204,10.01,10.68,10.01,10.54,11.12,-0.5800000000000001,-5.2158,36577.46,38116.822
000023.SZ,20200203,11.12,11.12,11.12,11.12,12.35,-1.2300000000000004,-9.9595,2990.0,3324.88
000023.SZ,20200123,12.75,12.77,12.24,12.35,12.78,-0.4299999999999997,-3.3646,19017.94,23824.813
000023.SZ,20200122,12.76,12.9,12.54,12.78,12.7,0.08000000000000007,0.6299,12783.74,16233.852
000023.SZ,20200121,12.94,12.95,12.67,12.7,12.9,-0.20000000000000107,-1.5504,17256.0,22064.113
000023.SZ,20200120,12.91,12.98,12.63,12.9,12.91,-0.009999999999999787,-0.0775,19145.78,24467.813
000023.SZ,20200117,13.07,13.09,12.87,12.91,12.97,-0.0600000000000005,-0.4626,11822.0,15328.55
000023.SZ,20200116,13.19,13.21,12.96,12.97,13.11,-0.1399999999999988,-1.0679,13798.03,18030.679
000023.SZ,20200115,13.33,13.38,13.03,13.11,13.33,-0.22000000000000064,-1.6504,19765.86,25951.489
000023.SZ,20200114,13.3,13.44,13.22,13.33,13.3,0.02999999999999936,0.2256,27442.36,36554.018
000023.SZ,20200113,13.2,13.32,13.12,13.3,13.2,0.10000000000000142,0.7576,17036.27,22563.081
000023.SZ,20200110,13.28,13.46,13.17,13.2,13.27,-0.07000000000000028,-0.5275,20437.79,27128.655
000023.SZ,20200109,13.28,13.33,13.17,13.27,13.19,0.08000000000000007,0.6065,18989.79,25147.707
000023.SZ,20200108,13.42,13.44,13.1,13.19,13.42,-0.23000000000000043,-1.7139,29706.75,39221.86
000023.SZ,20200107,13.32,13.58,13.24,13.42,13.22,0.1999999999999993,1.5129,29673.74,39786.666
000023.SZ,20200106,13.29,13.32,13.08,13.22,13.36,-0.1399999999999988,-1.0479,27143.09,35842.426
000023.SZ,20200103,13.15,13.48,13.12,13.36,13.19,0.16999999999999993,1.2889,35970.88,47862.819
000023.SZ,20200102,13.08,13.39,13.05,13.19,13.02,0.16999999999999993,1.3057,30468.0,40285.162
000023.SZ,20191231,12.82,13.04,12.78,13.02,12.82,0.1999999999999993,1.5601,30170.0,39050.693
000023.SZ,20191230,12.7,12.85,12.35,12.82,12.73,0.08999999999999986,0.707,19237.0,24351.895
000023.SZ,20191227,12.82,12.95,12.72,12.73,12.81,-0.08000000000000007,-0.6245,22212.0,28513.938
000023.SZ,20191226,12.72,12.83,12.64,12.81,12.69,0.120000000000001,0.9456,15934.63,20333.412
000023.SZ,20191225,12.88,12.88,12.63,12.69,12.72,-0.030000000000001137,-0.2358,10712.09,13615.305
000023.SZ,20191224,12.57,12.77,12.52,12.72,12.58,0.14000000000000057,1.1129,15641.26,19775.577
000023.SZ,20191223,12.91,12.95,12.56,12.58,12.9,-0.3200000000000003,-2.4806,14746.0,18767.345
000023.SZ,20191220,13.01,13.07,12.9,12.9,13.0,-0.09999999999999964,-0.7692,20088.0,26076.658
000023.SZ,20191219,12.76,13.05,12.76,13.0,12.78,0.22000000000000064,1.7214,28281.42,36639.36
000023.SZ,20191218,12.89,12.98,12.75,12.78,12.88,-0.10000000000000142,-0.7764,25621.48,32956.308
000023.SZ,20191217,12.74,12.98,12.73,12.88,12.73,0.15000000000000036,1.1783,23691.39,30463.367
000023.SZ,20191216,12.64,12.77,12.59,12.73,12.57,0.16000000000000014,1.2729,18882.66,23970.536
000023.SZ,20191213,12.55,12.66,12.52,12.57,12.51,0.0600000000000005,0.4796,14729.72,18537.824
000023.SZ,20191212,12.82,12.94,12.5,12.51,12.97,-0.46000000000000085,-3.5466,26557.02,33657.924
000023.SZ,20191211,12.61,13.19,12.46,12.97,12.56,0.41000000000000014,3.2643,28487.1,36578.14
000023.SZ,20191210,12.46,12.62,12.46,12.56,12.54,0.02000000000000135,0.1595,9714.3,12183.534
000023.SZ,20191209,12.45,12.68,12.44,12.54,12.48,0.05999999999999872,0.4808,13014.4,16365.139
