ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000032.SZ,20200225,19.75,21.32,18.8,20.68,20.38,0.3000000000000007,1.472,170189.55,340415.154
000032.SZ,20200224,18.65,20.42,18.28,20.38,18.56,1.8200000000000003,9.806,210519.77,407852.329
000032.SZ,20200221,18.75,19.18,18.52,18.56,19.0,-0.4400000000000013,-2.3158,161809.31,305431.35
000032.SZ,20200220,18.0,19.93,17.81,19.0,18.38,0.620000000000001,3.3732,215285.55,410501.029
000032.SZ,20200219,16.38,18.38,16.22,18.38,16.71,1.6699999999999982,9.994,237342.45,423475.207
000032.SZ,20200218,16.21,17.39,16.1,16.71,16.59,0.120000000000001,0.7233,139741.48,234891.35
000032.SZ,20200217,15.9,17.0,15.54,16.59,15.87,0.7200000000000006,4.5369,185223.02,300656.19
000032.SZ,20200214,14.5,15.87,14.22,15.87,14.43,1.4399999999999995,9.9792,151276.65,230460.989
000032.SZ,20200213,13.69,14.95,13.22,14.43,13.69,0.7400000000000002,5.4054,106137.57,149015.673
000032.SZ,20200212,13.26,13.86,13.26,13.69,13.6,0.08999999999999986,0.6618,50740.39,69249.811
000032.SZ,20200211,13.71,14.08,13.5,13.6,13.88,-0.28000000000000114,-2.0173,59973.96,82149.997
000032.SZ,20200210,13.44,14.43,13.24,13.88,13.44,0.4400000000000013,3.2738,134351.78,186881.68
000032.SZ,20200207,12.17,13.44,12.01,13.44,12.22,1.2199999999999989,9.9836,103134.08,131163.486
000032.SZ,20200206,12.02,12.39,11.91,12.22,12.08,0.14000000000000057,1.1589,75741.4,92060.345
000032.SZ,20200205,11.87,12.7,11.81,12.08,12.01,0.07000000000000028,0.5828,99245.36,121193.457
000032.SZ,20200204,11.73,12.44,11.73,12.01,13.03,-1.0199999999999996,-7.8281,171944.96,204612.402
000032.SZ,20200203,13.03,13.03,13.03,13.03,14.48,-1.450000000000001,-10.0138,3323.0,4329.869
000032.SZ,20200123,15.02,15.3,14.48,14.48,16.09,-1.6099999999999994,-10.0062,177213.06,262334.354
000032.SZ,20200122,17.4,17.4,15.88,16.09,15.82,0.2699999999999996,1.7067,343397.64,574413.467
000032.SZ,20200107,15.15,15.97,15.13,15.82,15.25,0.5700000000000003,3.7377,72086.41,113369.596
000032.SZ,20200106,14.91,15.4,14.58,15.25,14.81,0.4399999999999995,2.971,68951.66,103731.654
000032.SZ,20200103,14.72,14.9,14.53,14.81,14.7,0.11000000000000121,0.7483,41062.52,60482.803
000032.SZ,20200102,14.22,14.79,14.13,14.7,14.2,0.5,3.5211,62944.96,91500.438
000032.SZ,20191231,14.25,14.49,14.03,14.2,14.31,-0.11000000000000121,-0.7687,34416.86,48919.51
000032.SZ,20191230,14.01,14.59,13.92,14.31,14.14,0.16999999999999993,1.2023,50149.36,71783.346
000032.SZ,20191227,14.52,14.64,14.11,14.14,14.53,-0.3899999999999988,-2.6841,53070.65,75995.324
000032.SZ,20191226,14.0,14.53,13.92,14.53,13.99,0.5399999999999991,3.8599,67298.97,96160.051
000032.SZ,20191225,13.4,14.15,13.4,13.99,13.41,0.5800000000000001,4.3251,57894.82,80636.151
000032.SZ,20191224,13.3,13.57,13.21,13.41,13.37,0.040000000000000924,0.2992,23013.95,30755.393
000032.SZ,20191223,13.74,13.83,13.18,13.37,13.74,-0.370000000000001,-2.6929,31447.12,42186.427
