ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000045.SZ,20200225,8.11,8.82,7.91,8.7,8.4,0.29999999999999893,3.5714,288253.01,240782.324
000045.SZ,20200224,8.15,8.53,8.11,8.4,8.12,0.28000000000000114,3.4483,225132.53,187124.807
000045.SZ,20200221,8.2,8.32,8.07,8.12,8.4,-0.28000000000000114,-3.3333,222763.12,181739.824
000045.SZ,20200220,8.12,8.6,7.74,8.4,8.14,0.2599999999999998,3.1941,287858.48,235115.211
000045.SZ,20200219,7.73,8.27,7.67,8.14,7.82,0.3200000000000003,4.0921,281907.29,226411.533
000045.SZ,20200218,7.59,8.08,7.59,7.82,7.44,0.3799999999999999,5.1075,181212.65,141353.136
000045.SZ,20200217,7.15,7.55,7.11,7.44,7.07,0.3700000000000001,5.2334,123542.59,90719.526
000045.SZ,20200214,7.02,7.17,7.0,7.07,7.04,0.03000000000000025,0.4261,56568.57,40039.558
000045.SZ,20200213,7.2,7.23,7.02,7.04,7.23,-0.1900000000000004,-2.6279,75296.87,53455.654
000045.SZ,20200212,7.18,7.35,7.08,7.23,7.25,-0.019999999999999574,-0.2759,78561.09,56381.894
000045.SZ,20200211,7.02,7.43,6.93,7.25,7.02,0.23000000000000043,3.2764,108126.02,77499.703
000045.SZ,20200210,6.95,7.04,6.85,7.02,7.11,-0.09000000000000075,-1.2658,74659.83,51824.027
000045.SZ,20200207,6.71,7.33,6.65,7.11,6.71,0.40000000000000036,5.9613,122115.07,85111.244
000045.SZ,20200206,6.58,6.73,6.51,6.71,6.58,0.1299999999999999,1.9757,68062.0,45223.692
000045.SZ,20200205,6.53,6.7,6.51,6.58,6.49,0.08999999999999986,1.3867,69772.6,46158.5
000045.SZ,20200204,6.25,6.59,6.25,6.49,6.58,-0.08999999999999986,-1.3678,64145.62,41650.265
000045.SZ,20200203,6.58,6.59,6.58,6.58,7.31,-0.7299999999999995,-9.9863,44606.0,29352.116
000045.SZ,20200123,7.51,7.64,7.26,7.31,7.62,-0.3100000000000005,-4.0682,65312.0,48738.091
000045.SZ,20200122,7.6,7.66,7.44,7.62,7.64,-0.019999999999999574,-0.2618,65839.95,49822.3
000045.SZ,20200121,7.8,7.84,7.63,7.64,7.85,-0.20999999999999996,-2.6752,54001.5,41570.074
000045.SZ,20200120,7.81,7.85,7.7,7.85,7.81,0.040000000000000036,0.5122,47664.5,37113.767
000045.SZ,20200117,7.83,7.92,7.8,7.81,7.8,0.009999999999999787,0.1282,41956.0,32926.03
000045.SZ,20200116,7.94,7.94,7.78,7.8,7.91,-0.11000000000000032,-1.3906,44251.82,34622.169
000045.SZ,20200115,7.99,8.0,7.8,7.91,7.98,-0.07000000000000028,-0.8772,54822.51,43178.713
000045.SZ,20200114,8.17,8.22,7.95,7.98,8.16,-0.17999999999999972,-2.2059,100711.01,81057.575
000045.SZ,20200113,7.88,8.27,7.88,8.16,7.86,0.2999999999999998,3.8168,141556.29,114731.565
000045.SZ,20200110,7.86,8.02,7.81,7.86,7.84,0.020000000000000462,0.2551,67174.5,53143.237
000045.SZ,20200109,7.79,7.92,7.76,7.84,7.74,0.09999999999999964,1.292,50928.0,39902.797
000045.SZ,20200108,7.83,7.98,7.74,7.74,7.9,-0.16000000000000014,-2.0253,80759.9,63218.751
000045.SZ,20200107,7.84,7.91,7.78,7.9,7.88,0.020000000000000462,0.2538,74155.61,58131.457
000045.SZ,20200106,7.72,7.98,7.67,7.88,7.69,0.1899999999999995,2.4707,125373.92,98559.261
000045.SZ,20200103,7.63,7.71,7.59,7.69,7.62,0.07000000000000028,0.9186,48723.01,37264.227
000045.SZ,20200102,7.5,7.64,7.46,7.62,7.45,0.16999999999999993,2.2819,73682.19,55878.58
000045.SZ,20191231,7.54,7.6,7.39,7.45,7.54,-0.08999999999999986,-1.1936,35202.51,26269.165
000045.SZ,20191230,7.46,7.59,7.31,7.54,7.5,0.040000000000000036,0.5333,51839.83,38838.934
000045.SZ,20191227,7.65,7.75,7.5,7.5,7.65,-0.15000000000000036,-1.9608,51418.0,39291.172
000045.SZ,20191226,7.52,7.78,7.51,7.65,7.51,0.14000000000000057,1.8642,59450.03,45614.181
000045.SZ,20191225,7.51,7.57,7.44,7.51,7.51,0.0,0.0,29225.0,21947.646
000045.SZ,20191224,7.41,7.51,7.34,7.51,7.37,0.13999999999999968,1.8996,30098.25,22408.657
000045.SZ,20191223,7.62,7.71,7.3,7.37,7.55,-0.17999999999999972,-2.3841,53334.11,40077.385
000045.SZ,20191220,7.76,7.76,7.55,7.55,7.73,-0.1800000000000006,-2.3286,39359.0,30046.013
000045.SZ,20191219,7.72,7.82,7.65,7.73,7.71,0.020000000000000462,0.2594,40999.12,31684.328
000045.SZ,20191218,7.75,7.78,7.69,7.71,7.72,-0.009999999999999787,-0.1295,53736.0,41516.595
000045.SZ,20191217,7.67,7.8,7.6,7.72,7.62,0.09999999999999964,1.3123,61591.13,47582.199
000045.SZ,20191216,7.46,7.64,7.41,7.62,7.42,0.20000000000000018,2.6954,55870.0,42341.58
000045.SZ,20191213,7.4,7.5,7.34,7.42,7.32,0.09999999999999964,1.3661,28480.1,21155.314
000045.SZ,20191212,7.47,7.49,7.31,7.32,7.51,-0.1899999999999995,-2.53,36504.31,27023.794
000045.SZ,20191211,7.36,7.55,7.36,7.51,7.42,0.08999999999999986,1.2129,43129.0,32182.333
000045.SZ,20191210,7.43,7.45,7.34,7.42,7.4,0.019999999999999574,0.2703,25881.1,19150.709
000045.SZ,20191209,7.45,7.47,7.34,7.4,7.37,0.03000000000000025,0.4071,29878.9,22103.964
000045.SZ,20191206,7.25,7.42,7.25,7.37,7.26,0.11000000000000032,1.5152,30248.0,22244.537
000045.SZ,20191205,7.18,7.33,7.17,7.26,7.18,0.08000000000000007,1.1142,27855.5,20200.967
000045.SZ,20191204,7.08,7.24,7.08,7.18,7.18,0.0,0.0,21033.0,15100.803
000045.SZ,20191203,6.99,7.22,6.99,7.18,7.01,0.16999999999999993,2.4251,30794.18,21958.14
000045.SZ,20191202,7.08,7.14,7.0,7.01,7.1,-0.08999999999999986,-1.2676,22516.0,15913.617
