ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000058.SZ,20200225,7.1,7.26,6.93,7.19,7.35,-0.15999999999999925,-2.1769,262896.33,187212.341
000058.SZ,20200224,7.3,7.4,7.15,7.35,7.3,0.04999999999999982,0.6849,258086.0,187519.588
000058.SZ,20200221,7.11,7.5,7.07,7.3,7.11,0.1899999999999995,2.6723,315664.45,229909.023
000058.SZ,20200220,6.96,7.12,6.86,7.11,6.96,0.15000000000000036,2.1552,219216.47,153741.835
000058.SZ,20200219,7.16,7.16,6.94,6.96,7.11,-0.15000000000000036,-2.1097,199527.99,139845.347
000058.SZ,20200218,6.99,7.15,6.94,7.11,6.99,0.1200000000000001,1.7167,256052.95,180783.232
000058.SZ,20200217,6.77,7.08,6.75,6.99,6.77,0.22000000000000064,3.2496,246895.86,171358.701
000058.SZ,20200214,6.83,6.91,6.65,6.77,6.82,-0.05000000000000071,-0.7331,208034.0,140793.57
000058.SZ,20200213,7.15,7.17,6.82,6.82,7.19,-0.3700000000000001,-5.146,459777.59,319969.111
000058.SZ,20200212,6.54,7.19,6.54,7.19,6.54,0.6500000000000004,9.9388,446166.8,316767.847
000058.SZ,20200211,6.53,6.63,6.44,6.54,6.49,0.04999999999999982,0.7704,193756.01,126770.383
000058.SZ,20200210,6.3,6.49,6.24,6.49,6.35,0.14000000000000057,2.2047,184550.18,118284.044
000058.SZ,20200207,6.36,6.38,6.17,6.35,6.31,0.040000000000000036,0.6339,200352.3,125795.673
000058.SZ,20200206,6.16,6.37,6.1,6.31,6.2,0.10999999999999943,1.7742,192262.61,120347.568
000058.SZ,20200205,6.12,6.33,6.05,6.2,6.07,0.1299999999999999,2.1417,191192.34,118529.064
000058.SZ,20200204,5.88,6.22,5.88,6.07,6.53,-0.45999999999999996,-7.0444,253955.5,153972.679
000058.SZ,20200203,6.53,6.53,6.53,6.53,7.26,-0.7299999999999995,-10.0551,10580.0,6908.74
000058.SZ,20200123,7.5,7.66,7.15,7.26,7.6,-0.33999999999999986,-4.4737,159130.69,117374.397
000058.SZ,20200122,7.7,7.7,7.35,7.6,7.78,-0.1800000000000006,-2.3136,140978.0,106563.712
000058.SZ,20200121,7.87,7.89,7.76,7.78,7.93,-0.14999999999999947,-1.8916,111668.15,87283.45
000058.SZ,20200120,7.82,7.98,7.75,7.93,7.82,0.10999999999999943,1.4066,134047.37,105977.014
000058.SZ,20200117,7.98,8.05,7.8,7.82,7.99,-0.16999999999999993,-2.1277,137618.01,108864.269
000058.SZ,20200116,8.1,8.17,7.98,7.99,8.18,-0.1899999999999995,-2.3227,179109.0,144324.322
000058.SZ,20200115,8.01,8.18,7.85,8.18,8.06,0.11999999999999922,1.4888,286376.95,229007.971
000058.SZ,20200114,8.22,8.28,8.03,8.06,8.25,-0.1899999999999995,-2.303,348744.57,283288.115
000058.SZ,20200113,8.57,8.67,8.22,8.25,8.38,-0.13000000000000078,-1.5513,688005.52,578141.745
000058.SZ,20200110,7.78,8.38,7.78,8.38,7.62,0.7600000000000007,9.9738,329061.95,269971.176
000058.SZ,20200109,7.58,7.68,7.55,7.62,7.51,0.11000000000000032,1.4647,120820.17,91983.052
000058.SZ,20200108,7.77,7.85,7.49,7.51,7.87,-0.3600000000000003,-4.5743,215724.03,164824.911
000058.SZ,20200107,7.68,7.95,7.65,7.87,7.68,0.1900000000000004,2.474,238329.08,186403.526
000058.SZ,20200106,7.61,7.73,7.5,7.68,7.7,-0.020000000000000462,-0.2597,161806.38,123565.432
000058.SZ,20200103,7.59,7.7,7.52,7.7,7.54,0.16000000000000014,2.122,182023.55,138689.569
000058.SZ,20200102,7.42,7.56,7.37,7.54,7.35,0.1900000000000004,2.585,140753.42,105335.89
000058.SZ,20191231,7.37,7.44,7.32,7.35,7.36,-0.010000000000000675,-0.1359,89832.01,66156.167
000058.SZ,20191230,7.35,7.38,7.15,7.36,7.43,-0.0699999999999994,-0.9421,119781.33,87336.549
000058.SZ,20191227,7.47,7.65,7.42,7.43,7.46,-0.03000000000000025,-0.4021,160830.31,121034.68
000058.SZ,20191226,7.45,7.5,7.4,7.46,7.45,0.009999999999999787,0.1342,87270.13,64953.271
000058.SZ,20191225,7.38,7.48,7.35,7.45,7.42,0.03000000000000025,0.4043,83126.27,61808.396
000058.SZ,20191224,7.44,7.44,7.35,7.42,7.35,0.07000000000000028,0.9524,83021.07,61381.416
000058.SZ,20191223,7.69,7.69,7.33,7.35,7.7,-0.35000000000000053,-4.5455,162967.0,121321.484
000058.SZ,20191220,8.07,8.14,7.66,7.7,8.06,-0.3600000000000003,-4.4665,260621.53,205491.484
000058.SZ,20191219,7.93,8.15,7.85,8.06,7.91,0.15000000000000036,1.8963,255075.42,204289.268
000058.SZ,20191218,8.0,8.05,7.9,7.91,8.05,-0.14000000000000057,-1.7391,249326.31,198372.69
000058.SZ,20191217,8.08,8.29,8.03,8.05,8.0,0.05000000000000071,0.625,338224.97,274584.324
000058.SZ,20191216,7.9,8.06,7.9,8.0,7.91,0.08999999999999986,1.1378,211876.0,169013.117
000058.SZ,20191213,7.9,8.08,7.86,7.91,7.91,0.0,0.0,222782.0,177382.753
000058.SZ,20191212,7.8,8.19,7.74,7.91,7.99,-0.08000000000000007,-1.0013,342096.76,271517.391
000058.SZ,20191211,7.65,8.2,7.55,7.99,7.72,0.27000000000000046,3.4974,359205.87,280847.128
000058.SZ,20191210,7.45,7.91,7.44,7.72,7.47,0.25,3.3467,322347.61,249219.738
000058.SZ,20191209,7.46,7.56,7.42,7.47,7.49,-0.020000000000000462,-0.267,126868.1,94793.595
000058.SZ,20191206,7.52,7.55,7.38,7.49,7.48,0.009999999999999787,0.1337,156849.23,116928.475
000058.SZ,20191205,7.41,7.5,7.38,7.48,7.41,0.07000000000000028,0.9447,137280.87,102110.322
000058.SZ,20191204,7.4,7.47,7.32,7.41,7.5,-0.08999999999999986,-1.2,117166.52,86632.854
000058.SZ,20191203,7.3,7.67,7.26,7.5,7.36,0.13999999999999968,1.9022,187575.6,141128.98
000058.SZ,20191202,7.36,7.44,7.26,7.36,7.4,-0.040000000000000036,-0.5405,101490.61,74384.315
000058.SZ,20191129,7.18,7.47,7.15,7.4,7.2,0.20000000000000018,2.7778,165424.23,120983.241
000058.SZ,20191128,7.29,7.39,7.18,7.2,7.38,-0.17999999999999972,-2.439,148312.06,107626.857
000058.SZ,20191127,7.35,7.56,7.2,7.38,7.38,0.0,0.0,150141.04,111248.4
000058.SZ,20191126,7.41,7.46,7.31,7.38,7.4,-0.020000000000000462,-0.2703,136348.41,100523.182
000058.SZ,20191125,7.88,7.89,7.35,7.4,7.77,-0.3699999999999992,-4.7619,221366.46,165907.931
000058.SZ,20191122,8.17,8.24,7.68,7.77,8.24,-0.47000000000000064,-5.7039,346212.33,274592.798
000058.SZ,20191121,8.15,8.34,8.12,8.24,8.38,-0.14000000000000057,-1.6706,325147.21,266878.797
000058.SZ,20191120,8.0,8.69,7.81,8.38,8.07,0.3100000000000005,3.8414,595748.4,494724.65
000058.SZ,20191119,7.95,8.35,7.85,8.07,7.99,0.08000000000000007,1.0013,460558.7,373480.46
000058.SZ,20191118,7.56,8.15,7.5,7.99,7.68,0.3100000000000005,4.0365,447868.2,355878.958
000058.SZ,20191115,7.39,7.97,7.2,7.68,7.43,0.25,3.3647,368145.18,279162.591
000058.SZ,20191114,7.53,7.53,7.31,7.43,7.53,-0.10000000000000053,-1.328,164616.19,121871.805
