ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000514.SZ,20200225,3.95,4.0,3.87,3.98,4.04,-0.06000000000000005,-1.4851,90969.08,35849.688
000514.SZ,20200224,4.09,4.09,4.01,4.04,4.08,-0.040000000000000036,-0.9804,62802.46,25378.847
000514.SZ,20200221,4.09,4.11,4.06,4.08,4.08,0.0,0.0,62684.21,25591.711
000514.SZ,20200220,4.05,4.09,3.99,4.08,4.05,0.03000000000000025,0.7407,78651.21,31828.492
000514.SZ,20200219,4.05,4.1,4.03,4.05,4.07,-0.020000000000000462,-0.4914,51061.94,20750.802
000514.SZ,20200218,4.05,4.11,4.04,4.07,4.05,0.020000000000000462,0.4938,59104.28,24065.961
000514.SZ,20200217,4.02,4.06,3.94,4.05,3.94,0.10999999999999988,2.7919,73646.43,29522.511
000514.SZ,20200214,3.85,3.96,3.84,3.94,3.88,0.06000000000000005,1.5464,64307.85,25193.667
000514.SZ,20200213,3.9,4.05,3.87,3.88,3.91,-0.03000000000000025,-0.7673,70392.7,27755.653
000514.SZ,20200212,3.91,3.92,3.84,3.91,3.89,0.020000000000000018,0.5141,44509.93,17282.563
000514.SZ,20200211,3.9,3.95,3.85,3.89,3.89,0.0,0.0,53973.12,21080.39
000514.SZ,20200210,3.76,3.89,3.74,3.89,3.78,0.11000000000000032,2.9101,56025.61,21448.752
000514.SZ,20200207,3.77,3.79,3.72,3.78,3.77,0.009999999999999787,0.2653,57055.68,21406.577
000514.SZ,20200206,3.68,3.77,3.63,3.77,3.67,0.10000000000000009,2.7248,58111.54,21615.629
000514.SZ,20200205,3.62,3.72,3.6,3.67,3.61,0.06000000000000005,1.662,70078.47,25745.192
000514.SZ,20200204,3.41,3.67,3.41,3.61,3.74,-0.13000000000000034,-3.4759,107814.01,38602.751
000514.SZ,20200203,3.74,3.74,3.74,3.74,4.16,-0.41999999999999993,-10.0962,15323.0,5730.802
000514.SZ,20200123,4.3,4.32,4.1,4.16,4.32,-0.16000000000000014,-3.7037,67832.06,28522.743
000514.SZ,20200122,4.33,4.35,4.18,4.32,4.35,-0.02999999999999936,-0.6897,54684.7,23436.947
000514.SZ,20200121,4.38,4.44,4.32,4.35,4.35,0.0,0.0,71817.04,31487.821
000514.SZ,20200120,4.44,4.47,4.33,4.35,4.24,0.10999999999999943,2.5943,121320.05,53366.367
