ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000415.SZ,20200225,3.38,3.62,3.29,3.57,3.46,0.10999999999999988,3.1792,713583.83,245606.552
000415.SZ,20200224,3.52,3.52,3.44,3.46,3.55,-0.08999999999999986,-2.5352,408262.99,141552.676
000415.SZ,20200221,3.6,3.64,3.53,3.55,3.58,-0.03000000000000025,-0.838,453582.74,162481.334
000415.SZ,20200220,3.5,3.69,3.45,3.58,3.38,0.20000000000000018,5.9172,651633.88,231032.292
000415.SZ,20200219,3.39,3.44,3.34,3.38,3.38,0.0,0.0,263208.97,89498.123
000415.SZ,20200218,3.41,3.43,3.32,3.38,3.42,-0.040000000000000036,-1.1696,296819.57,100059.457
000415.SZ,20200217,3.31,3.43,3.31,3.42,3.31,0.10999999999999988,3.3233,374779.97,126754.661
000415.SZ,20200214,3.13,3.35,3.11,3.31,3.14,0.16999999999999993,5.414,554350.24,179855.334
000415.SZ,20200213,3.21,3.22,3.12,3.14,3.23,-0.08999999999999986,-2.7864,355063.17,112163.455
000415.SZ,20200212,3.22,3.24,3.17,3.23,3.22,0.009999999999999787,0.3106,206690.84,66300.158
000415.SZ,20200211,3.22,3.25,3.19,3.22,3.21,0.010000000000000231,0.3115,189796.82,61186.993
000415.SZ,20200210,3.17,3.24,3.14,3.21,3.18,0.029999999999999805,0.9434,207782.57,66229.696
000415.SZ,20200207,3.16,3.23,3.15,3.18,3.14,0.040000000000000036,1.2739,248944.19,79101.745
000415.SZ,20200206,3.12,3.16,3.07,3.14,3.09,0.050000000000000266,1.6181,211658.12,66053.88
000415.SZ,20200205,3.06,3.18,3.02,3.09,3.06,0.029999999999999805,0.9804,264528.63,82133.036
000415.SZ,20200204,2.82,3.13,2.82,3.06,3.11,-0.04999999999999982,-1.6077,472380.27,142086.381
000415.SZ,20200203,3.11,3.15,3.11,3.11,3.46,-0.3500000000000001,-10.1156,158872.0,49419.592
000415.SZ,20200123,3.56,3.56,3.44,3.46,3.59,-0.1299999999999999,-3.6212,223451.0,78139.37
000415.SZ,20200122,3.59,3.6,3.5,3.59,3.59,0.0,0.0,145159.2,51523.866
000415.SZ,20200121,3.67,3.67,3.59,3.59,3.68,-0.0900000000000003,-2.4457,151922.01,54997.213
000415.SZ,20200120,3.67,3.69,3.64,3.68,3.66,0.020000000000000018,0.5464,109804.49,40268.227
000415.SZ,20200117,3.7,3.71,3.65,3.66,3.68,-0.020000000000000018,-0.5435,95908.36,35265.148
000415.SZ,20200116,3.7,3.71,3.66,3.68,3.7,-0.020000000000000018,-0.5405,99795.64,36766.897
000415.SZ,20200115,3.76,3.76,3.69,3.7,3.75,-0.04999999999999982,-1.3333,129740.1,48139.922
000415.SZ,20200114,3.71,3.78,3.71,3.75,3.73,0.020000000000000018,0.5362,201159.11,75535.636
000415.SZ,20200113,3.68,3.73,3.63,3.73,3.68,0.04999999999999982,1.3587,178570.01,65768.089
000415.SZ,20200110,3.73,3.75,3.66,3.68,3.71,-0.029999999999999805,-0.8086,138192.5,50965.659
000415.SZ,20200109,3.72,3.74,3.68,3.71,3.68,0.029999999999999805,0.8152,149634.47,55539.676
000415.SZ,20200108,3.79,3.79,3.66,3.68,3.8,-0.11999999999999966,-3.1579,292505.31,108809.901
000415.SZ,20200107,3.78,3.81,3.76,3.8,3.8,0.0,0.0,217780.33,82421.713
000415.SZ,20200106,3.77,3.82,3.75,3.8,3.8,0.0,0.0,185528.53,70259.954
000415.SZ,20200103,3.82,3.84,3.78,3.8,3.82,-0.020000000000000018,-0.5236,164176.78,62359.942
000415.SZ,20200102,3.83,3.88,3.81,3.82,3.8,0.020000000000000018,0.5263,236901.0,91110.25
000415.SZ,20191231,3.78,3.82,3.76,3.8,3.79,0.009999999999999787,0.2639,148797.39,56405.694
000415.SZ,20191230,3.71,3.8,3.68,3.79,3.71,0.08000000000000007,2.1563,186928.47,70179.268
