ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000722.SZ,20200225,6.11,6.11,5.9,6.06,6.23,-0.17000000000000082,-2.7287,77430.05,46652.853
000722.SZ,20200224,6.25,6.25,6.16,6.23,6.27,-0.03999999999999915,-0.638,43161.69,26784.41
000722.SZ,20200221,6.24,6.32,6.23,6.27,6.28,-0.010000000000000675,-0.1592,39321.98,24666.035
000722.SZ,20200220,6.2,6.28,6.14,6.28,6.17,0.11000000000000032,1.7828,41854.42,26022.052
000722.SZ,20200219,6.26,6.27,6.16,6.17,6.2,-0.03000000000000025,-0.4839,39538.0,24574.224
000722.SZ,20200218,6.06,6.28,6.05,6.2,6.06,0.14000000000000057,2.3102,46962.2,29050.336
000722.SZ,20200217,5.92,6.07,5.9,6.06,5.92,0.13999999999999968,2.3649,35759.92,21529.175
000722.SZ,20200214,5.92,5.96,5.89,5.92,5.94,-0.020000000000000462,-0.3367,26444.91,15659.177
000722.SZ,20200213,6.04,6.04,5.92,5.94,6.04,-0.09999999999999964,-1.6556,33730.27,20133.156
000722.SZ,20200212,5.97,6.05,5.95,6.04,5.97,0.07000000000000028,1.1725,24147.05,14491.639
000722.SZ,20200211,6.02,6.02,5.95,5.97,6.0,-0.03000000000000025,-0.5,33948.25,20328.463
000722.SZ,20200210,5.85,6.05,5.81,6.0,5.85,0.15000000000000036,2.5641,36343.55,21607.614
000722.SZ,20200207,5.82,5.94,5.79,5.85,5.86,-0.010000000000000675,-0.1706,40167.0,23474.334
000722.SZ,20200206,5.78,5.87,5.73,5.86,5.76,0.10000000000000053,1.7361,37103.51,21631.487
000722.SZ,20200205,5.7,5.86,5.68,5.76,5.71,0.04999999999999982,0.8757,39066.82,22607.146
000722.SZ,20200204,5.35,5.77,5.35,5.71,5.92,-0.20999999999999996,-3.5473,55320.35,31270.83
000722.SZ,20200203,5.92,5.92,5.92,5.92,6.58,-0.6600000000000001,-10.0304,10449.0,6185.808
000722.SZ,20200123,6.72,6.72,6.48,6.58,6.75,-0.16999999999999993,-2.5185,44352.38,29198.843
000722.SZ,20200122,6.78,6.78,6.63,6.75,6.79,-0.040000000000000036,-0.5891,25193.02,16861.949
000722.SZ,20200121,6.84,6.87,6.72,6.79,6.87,-0.08000000000000007,-1.1645,31558.06,21404.152
000722.SZ,20200120,6.81,6.88,6.76,6.87,6.82,0.04999999999999982,0.7331,28498.57,19416.907
000722.SZ,20200117,6.76,6.82,6.73,6.82,6.76,0.0600000000000005,0.8876,24471.01,16569.914
000722.SZ,20200116,6.82,6.83,6.74,6.76,6.81,-0.04999999999999982,-0.7342,21030.37,14239.109
000722.SZ,20200115,6.87,6.88,6.77,6.81,6.87,-0.0600000000000005,-0.8734,24843.0,16902.568
000722.SZ,20200114,6.88,6.92,6.87,6.87,6.88,-0.009999999999999787,-0.1453,31666.01,21821.464
000722.SZ,20200113,6.86,6.88,6.81,6.88,6.87,0.009999999999999787,0.1456,19535.18,13377.439
000722.SZ,20200110,6.9,6.91,6.82,6.87,6.87,0.0,0.0,20660.0,14185.667
000722.SZ,20200109,6.83,6.88,6.83,6.87,6.81,0.0600000000000005,0.8811,27115.0,18607.488
000722.SZ,20200108,6.92,6.92,6.79,6.81,6.94,-0.13000000000000078,-1.8732,45159.0,30907.967
000722.SZ,20200107,6.88,6.96,6.86,6.94,6.9,0.040000000000000036,0.5797,31757.58,21960.036
000722.SZ,20200106,6.85,6.99,6.81,6.9,6.84,0.0600000000000005,0.8772,52136.11,35934.786
000722.SZ,20200103,6.85,6.85,6.8,6.84,6.83,0.009999999999999787,0.1464,28195.42,19253.625
000722.SZ,20200102,6.79,6.85,6.78,6.83,6.76,0.07000000000000028,1.0355,39730.8,27096.017
000722.SZ,20191231,6.71,6.76,6.7,6.76,6.71,0.04999999999999982,0.7452,19160.08,12879.204
000722.SZ,20191230,6.7,6.73,6.59,6.71,6.7,0.009999999999999787,0.1493,30473.01,20328.751
000722.SZ,20191227,6.77,6.78,6.7,6.7,6.76,-0.05999999999999961,-0.8876,24298.37,16401.125
