ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000695.SZ,20200225,7.65,7.69,7.31,7.62,7.78,-0.16000000000000014,-2.0566,18161.29,13685.116
000695.SZ,20200224,7.64,7.86,7.56,7.78,7.63,0.15000000000000036,1.9659,15549.14,11988.376
000695.SZ,20200221,7.68,7.75,7.62,7.63,7.68,-0.04999999999999982,-0.651,8593.34,6600.384
000695.SZ,20200220,7.61,7.76,7.57,7.68,7.61,0.0699999999999994,0.9198,11891.32,9086.924
000695.SZ,20200219,7.55,7.73,7.48,7.61,7.57,0.040000000000000036,0.5284,13262.67,10112.82
000695.SZ,20200218,7.25,7.57,7.25,7.57,7.3,0.27000000000000046,3.6986,13102.35,9754.502
000695.SZ,20200217,7.2,7.37,7.18,7.3,7.24,0.05999999999999961,0.8287,16596.34,12120.8
000695.SZ,20200214,7.35,7.35,7.14,7.24,7.2,0.040000000000000036,0.5556,11531.13,8332.057
000695.SZ,20200213,7.32,7.33,7.16,7.2,7.32,-0.1200000000000001,-1.6393,9471.22,6844.844
000695.SZ,20200212,7.17,7.35,7.14,7.32,7.27,0.05000000000000071,0.6878,11147.15,8105.858
000695.SZ,20200211,7.42,7.46,7.2,7.27,7.47,-0.20000000000000018,-2.6774,17465.48,12789.457
000695.SZ,20200210,7.2,7.5,6.9,7.47,7.25,0.21999999999999975,3.0345,20361.72,14861.1
000695.SZ,20200207,7.3,7.55,7.0,7.25,7.3,-0.04999999999999982,-0.6849,33119.03,23848.754
000695.SZ,20200206,6.6,7.3,6.6,7.3,6.64,0.6600000000000001,9.9398,56767.42,40832.363
000695.SZ,20200205,6.31,6.64,6.31,6.64,6.4,0.23999999999999932,3.75,26300.92,17223.047
000695.SZ,20200204,6.02,6.56,6.02,6.4,6.64,-0.23999999999999932,-3.6145,22527.02,14350.832
000695.SZ,20200203,6.64,6.64,6.64,6.64,7.38,-0.7400000000000002,-10.0271,3418.0,2269.552
000695.SZ,20200123,7.6,7.64,7.25,7.38,7.66,-0.28000000000000025,-3.6554,8987.82,6671.099
000695.SZ,20200122,7.6,7.74,7.53,7.66,7.67,-0.009999999999999787,-0.1304,8163.12,6228.287
000695.SZ,20200121,7.7,7.73,7.61,7.67,7.74,-0.07000000000000028,-0.9044,6643.52,5090.36
000695.SZ,20200120,7.69,7.79,7.55,7.74,7.77,-0.02999999999999936,-0.3861,15510.37,11899.432
000695.SZ,20200117,7.95,7.96,7.7,7.77,7.88,-0.11000000000000032,-1.3959,18636.56,14485.356
000695.SZ,20200116,7.91,8.39,7.86,7.88,7.94,-0.0600000000000005,-0.7557,22321.92,17760.27
000695.SZ,20200115,8.05,8.09,7.91,7.94,8.05,-0.11000000000000032,-1.3665,7797.39,6206.499
000695.SZ,20200114,8.1,8.16,7.97,8.05,8.09,-0.03999999999999915,-0.4944,15972.33,12898.035
000695.SZ,20200113,8.06,8.11,7.92,8.09,8.09,0.0,0.0,11724.0,9401.417
000695.SZ,20200110,8.05,8.1,7.92,8.09,8.0,0.08999999999999986,1.125,23617.02,18926.478
000695.SZ,20200109,7.75,8.03,7.7,8.0,7.76,0.2400000000000002,3.0928,24072.84,19006.82
000695.SZ,20200108,7.76,7.83,7.63,7.76,7.82,-0.0600000000000005,-0.7673,17523.0,13536.045
000695.SZ,20200107,7.62,7.83,7.62,7.82,7.7,0.1200000000000001,1.5584,13424.28,10445.256
000695.SZ,20200106,7.62,7.79,7.55,7.7,7.63,0.07000000000000028,0.9174,16181.21,12477.617
000695.SZ,20200103,7.58,7.66,7.53,7.63,7.58,0.04999999999999982,0.6596,10054.05,7640.467
000695.SZ,20200102,7.52,7.63,7.4,7.58,7.48,0.09999999999999964,1.3369,14834.4,11201.282
000695.SZ,20191231,7.48,7.51,7.4,7.48,7.46,0.020000000000000462,0.2681,6075.98,4535.19
000695.SZ,20191230,7.38,7.46,7.23,7.46,7.46,0.0,0.0,9952.03,7316.745
000695.SZ,20191227,7.51,7.55,7.43,7.46,7.51,-0.04999999999999982,-0.6658,6962.43,5219.683
000695.SZ,20191226,7.48,7.53,7.4,7.51,7.46,0.04999999999999982,0.6702,10468.01,7821.906
000695.SZ,20191225,7.48,7.54,7.36,7.46,7.5,-0.040000000000000036,-0.5333,7219.35,5382.825
000695.SZ,20191224,7.35,7.52,7.25,7.5,7.29,0.20999999999999996,2.8807,15321.01,11387.157
000695.SZ,20191223,7.55,7.55,7.24,7.29,7.57,-0.28000000000000025,-3.6988,12381.0,9110.538
000695.SZ,20191220,7.5,7.61,7.45,7.57,7.52,0.05000000000000071,0.6649,17876.28,13479.186
000695.SZ,20191219,7.44,7.55,7.41,7.52,7.45,0.0699999999999994,0.9396,23984.0,17974.226
000695.SZ,20191218,7.5,7.56,7.38,7.45,7.5,-0.04999999999999982,-0.6667,14904.0,11124.905
000695.SZ,20191217,7.48,7.52,7.4,7.5,7.48,0.019999999999999574,0.2674,14446.11,10791.838
000695.SZ,20191216,7.36,7.48,7.28,7.48,7.34,0.14000000000000057,1.9074,12299.1,9104.873
000695.SZ,20191213,7.29,7.37,7.26,7.34,7.24,0.09999999999999964,1.3812,9469.53,6933.315
000695.SZ,20191212,7.31,7.35,7.24,7.24,7.29,-0.04999999999999982,-0.6859,5595.99,4077.327
000695.SZ,20191211,7.34,7.36,7.25,7.29,7.32,-0.03000000000000025,-0.4098,9225.2,6747.481
