ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600226.SH,20200225,2.9,2.93,2.77,2.9,2.97,-0.07000000000000028,-2.3569,786497.54,226100.452
600226.SH,20200224,2.94,3.02,2.93,2.97,2.97,0.0,0.0,642341.84,190865.462
600226.SH,20200221,2.94,3.03,2.92,2.97,2.97,0.0,0.0,763461.48,227880.488
600226.SH,20200220,2.93,2.98,2.86,2.97,2.94,0.03000000000000025,1.0204,729890.99,213364.578
600226.SH,20200219,2.97,2.99,2.93,2.94,3.01,-0.06999999999999984,-2.3256,655538.46,193608.632
600226.SH,20200218,2.99,3.05,2.93,3.01,3.08,-0.07000000000000028,-2.2727,1382524.19,412503.953
600226.SH,20200217,2.87,3.08,2.83,3.08,2.8,0.28000000000000025,10.0,1717860.86,519350.048
600226.SH,20200214,2.78,2.85,2.74,2.8,2.87,-0.07000000000000028,-2.439,547338.18,152658.174
600226.SH,20200213,3.09,3.09,2.87,2.87,2.85,0.020000000000000018,0.7018,797489.64,236090.672
600226.SH,20200212,2.82,2.86,2.8,2.85,2.81,0.040000000000000036,1.4235,310261.93,87953.074
600226.SH,20200211,2.89,2.93,2.8,2.81,2.91,-0.10000000000000009,-3.4364,427899.83,121775.532
600226.SH,20200210,2.82,2.96,2.79,2.91,2.81,0.10000000000000009,3.5587,502623.61,145335.562
600226.SH,20200207,2.78,2.85,2.72,2.81,2.76,0.050000000000000266,1.8116,518818.36,145157.093
600226.SH,20200206,2.59,2.83,2.59,2.76,2.61,0.1499999999999999,5.7471,625463.55,170354.674
600226.SH,20200205,2.5,2.64,2.5,2.61,2.5,0.10999999999999988,4.4,522654.93,135304.626
600226.SH,20200204,2.31,2.54,2.31,2.5,2.57,-0.06999999999999984,-2.7237,672221.83,164694.877
600226.SH,20200203,2.57,2.57,2.57,2.57,2.85,-0.28000000000000025,-9.8246,87237.0,22419.909
600226.SH,20200123,3.08,3.08,2.8,2.85,3.11,-0.2599999999999998,-8.3601,818357.56,238519.475
600226.SH,20200122,3.3,3.32,3.1,3.11,3.28,-0.16999999999999993,-5.1829,612335.33,193778.364
600226.SH,20200121,3.1,3.31,3.03,3.28,3.2,0.07999999999999963,2.5,878557.15,283033.559
600226.SH,20200115,3.16,3.22,3.14,3.2,3.17,0.03000000000000025,0.9464,326894.01,104060.885
600226.SH,20200114,3.25,3.27,3.15,3.17,3.25,-0.08000000000000007,-2.4615,431070.16,138367.109
600226.SH,20200113,3.28,3.28,3.22,3.25,3.24,0.009999999999999787,0.3086,225774.78,73186.181
600226.SH,20200110,3.28,3.3,3.21,3.24,3.28,-0.03999999999999959,-1.2195,257259.17,83523.574
600226.SH,20200109,3.26,3.31,3.23,3.28,3.21,0.06999999999999984,2.1807,431165.13,141329.404
600226.SH,20200108,3.34,3.34,3.2,3.21,3.37,-0.16000000000000014,-4.7478,670187.43,218523.674
600226.SH,20200107,3.32,3.4,3.3,3.37,3.32,0.050000000000000266,1.506,815684.52,273838.076
600226.SH,20200106,3.28,3.37,3.26,3.32,3.42,-0.10000000000000009,-2.924,933764.19,310187.978
600226.SH,20200103,3.19,3.45,3.17,3.42,3.21,0.20999999999999996,6.5421,1261657.96,416004.233
600226.SH,20200102,3.16,3.27,3.12,3.21,3.14,0.06999999999999984,2.2293,770429.91,246427.691
600226.SH,20191231,3.11,3.2,3.05,3.14,3.09,0.050000000000000266,1.6181,555846.2,174026.013
600226.SH,20191230,3.07,3.1,2.95,3.09,3.09,0.0,0.0,409278.27,124483.71
600226.SH,20191227,3.16,3.21,3.08,3.09,3.16,-0.07000000000000028,-2.2152,316274.48,99701.364
600226.SH,20191226,3.17,3.18,3.12,3.16,3.18,-0.020000000000000018,-0.6289,265927.77,83747.653
600226.SH,20191225,3.12,3.23,3.12,3.18,3.13,0.050000000000000266,1.5974,529980.04,168546.695
600226.SH,20191224,3.04,3.19,3.01,3.13,3.01,0.1200000000000001,3.9867,458559.12,142161.458
600226.SH,20191223,3.1,3.11,3.0,3.01,3.11,-0.10000000000000009,-3.2154,382158.95,116420.437
600226.SH,20191220,3.17,3.2,3.11,3.11,3.16,-0.050000000000000266,-1.5823,291407.22,91905.877
600226.SH,20191219,3.14,3.2,3.14,3.16,3.16,0.0,0.0,325751.58,103001.186
600226.SH,20191218,3.17,3.21,3.14,3.16,3.15,0.010000000000000231,0.3175,414035.72,131316.87
600226.SH,20191217,3.11,3.18,3.08,3.15,3.11,0.040000000000000036,1.2862,427207.34,133657.183
600226.SH,20191216,3.07,3.13,3.06,3.11,3.06,0.04999999999999982,1.634,387251.03,119951.96
600226.SH,20191213,3.04,3.12,3.0,3.06,2.99,0.06999999999999984,2.3411,488991.07,149724.154
600226.SH,20191212,3.01,3.05,2.99,2.99,3.03,-0.03999999999999959,-1.3201,254744.43,76589.697
600226.SH,20191211,2.99,3.1,2.97,3.03,2.99,0.03999999999999959,1.3378,417913.95,126969.972
600226.SH,20191210,3.0,3.05,2.98,2.99,3.01,-0.019999999999999574,-0.6645,430024.15,129346.24
600226.SH,20191209,2.87,3.09,2.85,3.01,2.89,0.11999999999999966,4.1522,714347.65,212378.579
600226.SH,20191206,2.89,2.9,2.86,2.89,2.9,-0.009999999999999787,-0.3448,242325.61,69800.857
600226.SH,20191205,2.88,2.9,2.86,2.9,2.88,0.020000000000000018,0.6944,249577.56,71896.219
600226.SH,20191204,2.85,2.91,2.81,2.88,2.86,0.020000000000000018,0.6993,237689.38,68315.882
600226.SH,20191203,2.88,2.89,2.84,2.86,2.88,-0.020000000000000018,-0.6944,218247.95,62470.196
600226.SH,20191202,2.85,2.93,2.81,2.88,2.86,0.020000000000000018,0.6993,375725.57,108314.625
600226.SH,20191129,2.84,2.9,2.8,2.86,2.87,-0.010000000000000231,-0.3484,454908.43,129788.75
600226.SH,20191128,2.75,2.92,2.75,2.87,3.02,-0.1499999999999999,-4.9669,963033.37,274028.082
600226.SH,20191127,3.05,3.2,3.02,3.02,3.35,-0.33000000000000007,-9.8507,285594.78,86820.549
600226.SH,20191125,3.39,3.42,3.22,3.35,3.41,-0.06000000000000005,-1.7595,650844.58,214600.132
600226.SH,20191122,3.56,3.63,3.39,3.41,3.59,-0.17999999999999972,-5.0139,755237.36,264626.191
600226.SH,20191121,3.61,3.65,3.53,3.59,3.69,-0.10000000000000009,-2.71,492858.86,177445.315
600226.SH,20191120,3.7,3.78,3.62,3.69,3.71,-0.020000000000000018,-0.5391,842279.85,311019.516
600226.SH,20191119,3.76,3.95,3.66,3.71,3.8,-0.08999999999999986,-2.3684,1297552.9,492876.059
600226.SH,20191118,3.7,3.8,3.65,3.8,3.74,0.05999999999999961,1.6043,945749.52,353438.349
600226.SH,20191115,3.63,3.78,3.58,3.74,3.66,0.08000000000000007,2.1858,1033903.8,381324.83
600226.SH,20191114,3.67,3.75,3.62,3.66,3.67,-0.009999999999999787,-0.2725,785532.74,289172.856
600226.SH,20191113,3.59,3.75,3.56,3.67,3.64,0.029999999999999805,0.8242,1059687.53,386994.683
600226.SH,20191112,3.42,3.68,3.39,3.64,3.38,0.26000000000000023,7.6923,1213832.74,431868.563
600226.SH,20191111,3.39,3.47,3.31,3.38,3.4,-0.020000000000000018,-0.5882,519788.05,175952.133
600226.SH,20191108,3.54,3.56,3.4,3.4,3.55,-0.1499999999999999,-4.2254,616907.0,213978.238
600226.SH,20191107,3.49,3.6,3.43,3.55,3.53,0.020000000000000018,0.5666,801515.31,283001.774
600226.SH,20191106,3.64,3.65,3.37,3.53,3.64,-0.11000000000000032,-3.022,1058999.49,370071.331
600226.SH,20191105,3.62,3.69,3.54,3.64,3.57,0.07000000000000028,1.9608,823197.06,297515.829
600226.SH,20191104,3.64,3.8,3.54,3.57,3.63,-0.06000000000000005,-1.6529,1189629.53,436987.466
600226.SH,20191101,3.55,3.73,3.52,3.63,3.57,0.06000000000000005,1.6807,1070670.7,390259.411
600226.SH,20191031,3.7,3.77,3.53,3.57,3.92,-0.3500000000000001,-8.9286,1917738.23,699170.583
600226.SH,20191030,3.91,4.16,3.78,3.92,3.82,0.10000000000000009,2.6178,2894645.12,1143088.275
600226.SH,20191029,3.75,4.13,3.66,3.82,3.75,0.06999999999999984,1.8667,2454339.22,964036.713
600226.SH,20191028,3.71,3.75,3.56,3.75,3.41,0.33999999999999986,9.9707,1643530.53,608489.885
600226.SH,20191025,3.52,3.54,3.37,3.41,3.51,-0.09999999999999964,-2.849,1154851.33,395997.225
600226.SH,20191024,3.44,3.78,3.32,3.51,3.45,0.05999999999999961,1.7391,2338707.05,814398.655
600226.SH,20191023,3.16,3.45,3.16,3.45,3.14,0.31000000000000005,9.8726,1220450.61,417306.629
600226.SH,20191022,3.1,3.15,3.06,3.14,3.09,0.050000000000000266,1.6181,209941.84,65181.642
600226.SH,20191021,3.18,3.18,3.06,3.09,3.2,-0.11000000000000032,-3.4375,346712.9,107511.889
600226.SH,20191018,3.17,3.33,3.13,3.2,3.15,0.050000000000000266,1.5873,462606.31,148464.611
600226.SH,20191017,3.26,3.26,3.14,3.15,3.26,-0.10999999999999988,-3.3742,391407.35,124892.652
600226.SH,20191016,3.36,3.38,3.24,3.26,3.35,-0.0900000000000003,-2.6866,366323.01,120738.39
600226.SH,20191015,3.33,3.5,3.24,3.35,3.34,0.010000000000000231,0.2994,822838.72,276153.076
600226.SH,20191014,3.14,3.39,3.11,3.34,3.08,0.2599999999999998,8.4416,916604.36,300954.38
600226.SH,20191011,3.16,3.16,3.07,3.08,3.11,-0.029999999999999805,-0.9646,195443.76,60680.185
600226.SH,20191010,3.04,3.14,3.04,3.11,3.05,0.06000000000000005,1.9672,205936.46,63947.311
600226.SH,20191009,3.01,3.06,3.0,3.05,3.05,0.0,0.0,161749.69,49116.741
600226.SH,20191008,2.98,3.13,2.96,3.05,2.98,0.06999999999999984,2.349,294502.86,89915.497
600226.SH,20190930,2.96,3.0,2.96,2.98,2.95,0.029999999999999805,1.0169,140913.89,42011.488
600226.SH,20190927,2.94,2.97,2.93,2.95,2.93,0.020000000000000018,0.6826,181646.28,53626.006
600226.SH,20190926,3.06,3.1,2.89,2.93,3.05,-0.11999999999999966,-3.9344,289068.93,86032.328
600226.SH,20190925,3.09,3.11,3.05,3.05,3.13,-0.08000000000000007,-2.5559,208850.2,64314.918
600226.SH,20190924,3.18,3.18,3.12,3.13,3.18,-0.050000000000000266,-1.5723,279154.1,87846.39
600226.SH,20190923,3.13,3.19,3.05,3.18,3.16,0.020000000000000018,0.6329,376481.21,118384.558
600226.SH,20190920,3.22,3.24,3.14,3.16,3.2,-0.040000000000000036,-1.25,276846.32,87871.211
600226.SH,20190919,3.21,3.23,3.11,3.2,3.2,0.0,0.0,515798.47,163200.444
600226.SH,20190918,3.23,3.3,3.16,3.2,3.24,-0.040000000000000036,-1.2346,525400.17,169269.261
