ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000561.SZ,20200225,6.95,7.06,6.68,7.01,7.12,-0.11000000000000032,-1.5449,141774.63,98440.602
000561.SZ,20200224,6.9,7.17,6.78,7.12,6.84,0.28000000000000025,4.0936,178089.62,124873.064
000561.SZ,20200221,6.76,6.92,6.73,6.84,6.73,0.10999999999999943,1.6345,132073.29,90186.877
000561.SZ,20200220,6.66,6.77,6.59,6.73,6.73,0.0,0.0,92468.19,61841.881
000561.SZ,20200219,6.7,6.85,6.62,6.73,6.77,-0.03999999999999915,-0.5908,114609.39,77042.533
000561.SZ,20200218,6.65,6.9,6.62,6.77,6.7,0.0699999999999994,1.0448,130841.99,88516.325
000561.SZ,20200217,6.36,6.75,6.34,6.7,6.37,0.33000000000000007,5.1805,165561.99,108320.596
000561.SZ,20200214,6.21,6.43,6.21,6.37,6.28,0.08999999999999986,1.4331,92906.94,58872.963
000561.SZ,20200213,6.34,6.39,6.2,6.28,6.35,-0.0699999999999994,-1.1024,64908.26,40674.325
000561.SZ,20200212,6.08,6.4,6.04,6.35,6.08,0.2699999999999996,4.4408,118837.34,74113.275
000561.SZ,20200211,6.13,6.17,6.06,6.08,6.13,-0.04999999999999982,-0.8157,47769.0,29176.815
000561.SZ,20200210,5.98,6.15,5.98,6.13,6.02,0.11000000000000032,1.8272,60395.0,36720.039
000561.SZ,20200207,5.93,6.06,5.87,6.02,5.93,0.08999999999999986,1.5177,69193.63,41312.964
000561.SZ,20200206,5.77,5.98,5.71,5.93,5.8,0.1299999999999999,2.2414,73660.17,43537.95
000561.SZ,20200205,5.68,5.87,5.62,5.8,5.62,0.17999999999999972,3.2028,72722.05,41919.595
000561.SZ,20200204,5.34,5.76,5.34,5.62,5.93,-0.3099999999999996,-5.2277,106954.83,59340.029
000561.SZ,20200203,5.93,5.93,5.93,5.93,6.59,-0.6600000000000001,-10.0152,12902.0,7650.886
000561.SZ,20200123,6.88,6.98,6.48,6.59,6.94,-0.35000000000000053,-5.0432,65616.91,44239.977
000561.SZ,20200122,7.05,7.05,6.87,6.94,7.07,-0.1299999999999999,-1.8388,63797.93,44263.406
000561.SZ,20200121,7.22,7.37,7.06,7.07,7.16,-0.08999999999999986,-1.257,76013.16,54444.797
000561.SZ,20200120,6.98,7.24,6.98,7.16,7.0,0.16000000000000014,2.2857,75953.24,54046.691
000561.SZ,20200117,7.21,7.23,7.0,7.0,7.2,-0.20000000000000018,-2.7778,56668.37,40160.272
000561.SZ,20200116,7.25,7.36,7.12,7.2,7.26,-0.05999999999999961,-0.8264,73429.05,52991.324
000561.SZ,20200115,7.42,7.46,7.2,7.26,7.42,-0.16000000000000014,-2.1563,80449.49,58679.623
000561.SZ,20200114,7.42,7.48,7.35,7.42,7.41,0.009999999999999787,0.135,98071.86,72620.828
000561.SZ,20200113,7.31,7.44,7.26,7.41,7.32,0.08999999999999986,1.2295,89902.05,66320.179
000561.SZ,20200110,7.35,7.41,7.23,7.32,7.34,-0.019999999999999574,-0.2725,62321.0,45557.188
000561.SZ,20200109,7.4,7.47,7.23,7.34,7.42,-0.08000000000000007,-1.0782,126385.91,92593.139
000561.SZ,20200108,7.44,7.57,7.35,7.42,7.42,0.0,0.0,144969.94,108231.527
000561.SZ,20200107,7.37,7.46,7.28,7.42,7.38,0.040000000000000036,0.542,131060.41,96660.986
000561.SZ,20200106,7.32,7.42,7.28,7.38,7.25,0.1299999999999999,1.7931,114788.13,84490.404
