ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002315.SZ,20200225,28.0,28.62,26.8,28.19,28.88,-0.6899999999999977,-2.3892,126420.71,353099.062
002315.SZ,20200224,28.1,28.98,27.96,28.88,28.51,0.36999999999999744,1.2978,98251.05,281614.815
002315.SZ,20200221,28.52,29.36,28.11,28.51,28.81,-0.29999999999999716,-1.0413,110054.03,316184.674
002315.SZ,20200220,28.69,28.99,27.66,28.81,28.57,0.23999999999999844,0.84,109231.6,310642.303
002315.SZ,20200219,29.18,29.4,28.49,28.57,29.68,-1.1099999999999994,-3.7399,129716.26,375497.372
002315.SZ,20200218,27.8,30.16,27.8,29.68,27.6,2.0799999999999983,7.5362,182420.9,531938.427
002315.SZ,20200217,26.98,27.64,26.7,27.6,26.92,0.6799999999999997,2.526,130378.5,355623.377
002315.SZ,20200214,27.19,27.91,26.6,26.92,27.49,-0.5699999999999967,-2.0735,134562.13,365903.712
002315.SZ,20200213,26.85,29.88,25.81,27.49,27.23,0.259999999999998,0.9548,207825.96,568574.528
002315.SZ,20200212,25.63,27.58,25.6,27.23,26.82,0.41000000000000014,1.5287,130879.59,353358.111
002315.SZ,20200211,26.34,27.86,26.34,26.82,26.29,0.5300000000000011,2.016,157905.77,429033.248
002315.SZ,20200210,28.97,28.97,26.2,26.29,26.57,-0.28000000000000114,-1.0538,233842.39,641309.249
002315.SZ,20200207,24.25,26.57,24.25,26.57,24.15,2.4200000000000017,10.0207,181043.91,463967.327
002315.SZ,20200206,21.86,24.15,21.86,24.15,21.95,2.1999999999999993,10.0228,119070.44,280872.143
002315.SZ,20200205,21.34,22.39,21.26,21.95,21.49,0.46000000000000085,2.1405,93866.64,205761.539
002315.SZ,20200204,18.55,21.71,18.55,21.49,20.53,0.9599999999999973,4.6761,112144.66,232289.008
002315.SZ,20200203,20.53,20.53,20.53,20.53,22.81,-2.2799999999999976,-9.9956,7825.0,16064.725
002315.SZ,20200123,24.2,24.21,22.15,22.81,24.61,-1.8000000000000007,-7.3141,104616.3,242156.689
002315.SZ,20200122,24.78,25.05,24.16,24.61,24.92,-0.3100000000000023,-1.244,62890.96,154807.178
002315.SZ,20200121,25.58,25.77,24.89,24.92,25.84,-0.9199999999999982,-3.5604,68693.77,173022.98
002315.SZ,20200120,25.0,25.84,24.57,25.84,25.43,0.41000000000000014,1.6123,95564.83,239767.514
002315.SZ,20200117,25.1,26.83,24.87,25.43,24.7,0.7300000000000004,2.9555,106867.13,275387.116
002315.SZ,20200116,24.6,25.38,24.08,24.7,24.88,-0.17999999999999972,-0.7235,91327.1,224429.417
002315.SZ,20200115,23.57,25.28,23.34,24.88,23.43,1.4499999999999993,6.1886,115310.13,280978.594
002315.SZ,20200114,24.0,24.18,23.41,23.43,24.2,-0.7699999999999996,-3.1818,87354.9,207436.953
002315.SZ,20200113,23.04,24.4,22.83,24.2,23.42,0.7799999999999976,3.3305,108687.06,258608.188
002315.SZ,20200110,23.24,24.35,23.17,23.42,22.88,0.5400000000000027,2.3601,107202.36,252444.917
002315.SZ,20200109,23.03,23.23,22.36,22.88,22.64,0.23999999999999844,1.0601,97272.7,222189.969
002315.SZ,20200108,23.55,23.88,22.58,22.64,24.06,-1.4199999999999982,-5.9019,141270.79,327552.578
002315.SZ,20200107,22.82,25.38,22.5,24.06,23.16,0.8999999999999986,3.886,212325.16,505581.542
002315.SZ,20200106,24.0,24.45,22.06,23.16,23.13,0.030000000000001137,0.1297,222322.9,508939.901
002315.SZ,20200103,22.12,23.13,22.1,23.13,21.03,2.099999999999998,9.9857,133637.81,306108.308
002315.SZ,20200102,19.77,21.03,19.76,21.03,19.12,1.9100000000000001,9.9895,60042.88,123451.09
002315.SZ,20191231,19.0,19.29,18.92,19.12,19.12,0.0,0.0,24381.25,46603.234
002315.SZ,20191230,18.87,19.14,18.25,19.12,18.88,0.240000000000002,1.2712,30786.35,57882.286
002315.SZ,20191227,19.27,19.42,18.87,18.88,19.18,-0.3000000000000007,-1.5641,30940.0,59149.632
002315.SZ,20191226,19.0,19.22,18.85,19.18,19.11,0.07000000000000028,0.3663,30119.59,57314.503
002315.SZ,20191225,18.6,19.26,18.53,19.11,18.5,0.6099999999999994,3.2973,41981.04,79549.849
002315.SZ,20191224,18.18,18.56,18.18,18.5,18.17,0.3299999999999983,1.8162,30458.48,56104.291
002315.SZ,20191223,18.91,19.1,18.12,18.17,19.15,-0.9799999999999969,-5.1175,37774.0,69857.109
002315.SZ,20191220,19.15,19.43,19.06,19.15,19.15,0.0,0.0,34313.73,65998.26
002315.SZ,20191219,19.25,19.27,18.86,19.15,19.27,-0.120000000000001,-0.6227,35213.02,67251.478
