ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300815.SZ,20200225,82.5,90.2,82.35,89.0,84.94,4.060000000000002,4.7798,53213.16,460294.226
300815.SZ,20200224,85.7,89.59,81.22,84.94,86.2,-1.2600000000000051,-1.4617,40725.33,349504.799
300815.SZ,20200221,85.0,87.76,84.01,86.2,85.98,0.21999999999999886,0.2559,41901.65,359929.803
300815.SZ,20200220,83.2,91.9,83.2,85.98,85.38,0.6000000000000085,0.7027,70045.64,609882.267
300815.SZ,20200219,80.92,89.77,79.12,85.38,81.62,3.759999999999991,4.6067,120005.4,1006775.273
300815.SZ,20200218,73.8,81.62,73.4,81.62,74.2,7.420000000000002,10.0,103643.61,808908.307
300815.SZ,20200217,74.94,74.94,72.5,74.2,75.58,-1.3799999999999955,-1.8259,93514.86,690799.459
300815.SZ,20200214,76.98,78.8,75.5,75.58,77.7,-2.1200000000000045,-2.7284,96574.74,740337.231
300815.SZ,20200213,74.99,80.91,73.38,77.7,75.69,2.010000000000005,2.6556,134804.6,1042115.195
300815.SZ,20200212,72.97,78.1,68.98,75.69,71.0,4.689999999999998,6.6056,151877.26,1112088.527
300815.SZ,20200211,72.99,74.18,68.86,71.0,70.63,0.37000000000000455,0.5239,140016.35,1004378.8
300815.SZ,20200210,75.38,75.38,61.87,70.63,68.53,2.0999999999999943,3.0644,194752.33,1360547.977
300815.SZ,20200207,68.53,68.53,68.53,68.53,62.3,6.230000000000004,10.0,7410.28,50782.648
300815.SZ,20200206,62.3,62.3,61.18,62.3,56.64,5.659999999999997,9.9929,43928.89,273541.621
300815.SZ,20200205,56.64,56.64,51.58,56.64,51.49,5.149999999999999,10.0019,166205.52,909058.075
300815.SZ,20200204,51.49,51.49,48.88,51.49,46.81,4.68,9.9979,30022.39,154135.051
300815.SZ,20200203,46.81,46.81,46.81,46.81,42.55,4.260000000000005,10.0118,12009.68,56217.312
300815.SZ,20200123,35.46,42.55,35.46,42.55,29.55,12.999999999999996,43.9932,3041.97,12929.944
