ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600859.SH,20200225,12.21,12.61,12.0,12.58,12.44,0.14000000000000057,1.1254,131155.87,160538.971
600859.SH,20200224,12.72,12.73,12.38,12.44,12.73,-0.2900000000000009,-2.2781,128635.85,160537.199
600859.SH,20200221,12.85,12.9,12.68,12.73,12.85,-0.11999999999999922,-0.9339,96876.26,123453.12
600859.SH,20200220,12.55,12.87,12.51,12.85,12.53,0.3200000000000003,2.5539,85896.59,109507.486
600859.SH,20200219,12.63,12.68,12.53,12.53,12.63,-0.10000000000000142,-0.7918,57433.66,72383.387
600859.SH,20200218,12.66,12.72,12.5,12.63,12.66,-0.02999999999999936,-0.237,59351.84,74857.258
600859.SH,20200217,12.42,12.68,12.41,12.66,12.41,0.25,2.0145,58092.25,73172.156
600859.SH,20200214,12.61,12.69,12.38,12.41,12.61,-0.1999999999999993,-1.586,46795.23,58406.538
600859.SH,20200213,12.79,12.86,12.59,12.61,12.82,-0.21000000000000085,-1.6381,28663.79,36387.141
600859.SH,20200212,12.6,12.84,12.55,12.82,12.71,0.10999999999999943,0.8655,36781.16,46885.552
600859.SH,20200211,12.81,13.07,12.6,12.71,12.49,0.22000000000000064,1.7614,53805.5,68794.696
600859.SH,20200210,12.23,12.55,12.15,12.49,12.28,0.21000000000000085,1.7101,39692.35,49178.593
600859.SH,20200207,12.38,12.38,12.14,12.28,12.36,-0.08000000000000007,-0.6472,41488.16,50776.949
600859.SH,20200206,12.2,12.39,12.15,12.36,12.22,0.1399999999999988,1.1457,39895.75,49010.29
600859.SH,20200205,12.05,12.37,12.02,12.22,12.09,0.13000000000000078,1.0753,49161.41,60004.348
600859.SH,20200204,11.58,12.11,11.58,12.09,12.17,-0.08000000000000007,-0.6574,71629.28,85612.716
600859.SH,20200203,12.17,12.17,12.17,12.17,13.52,-1.3499999999999996,-9.9852,18940.0,23049.98
600859.SH,20200123,13.9,14.17,13.41,13.52,13.96,-0.4400000000000013,-3.1519,63787.12,87879.984
600859.SH,20200122,14.01,14.1,13.61,13.96,14.17,-0.20999999999999908,-1.482,62046.15,85975.694
600859.SH,20200121,14.26,14.26,14.05,14.17,14.27,-0.09999999999999964,-0.7008,46036.1,65136.391
600859.SH,20200120,14.22,14.29,14.13,14.27,14.22,0.049999999999998934,0.3516,31747.4,45148.571
600859.SH,20200117,14.27,14.27,14.17,14.22,14.21,0.009999999999999787,0.0704,24247.56,34473.23
600859.SH,20200116,14.27,14.29,14.17,14.21,14.29,-0.0799999999999983,-0.5598,24535.02,34891.231
600859.SH,20200115,14.38,14.39,14.16,14.29,14.36,-0.07000000000000028,-0.4875,39011.15,55599.89
600859.SH,20200114,14.42,14.48,14.33,14.36,14.43,-0.07000000000000028,-0.4851,41792.87,60171.843
600859.SH,20200113,14.38,14.48,14.26,14.43,14.42,0.009999999999999787,0.0693,48823.02,70320.98
600859.SH,20200110,14.37,14.56,14.19,14.42,14.22,0.1999999999999993,1.4065,71746.07,102912.237
600859.SH,20200109,14.14,14.34,14.13,14.22,14.1,0.120000000000001,0.8511,42647.18,60690.024
600859.SH,20200108,14.25,14.25,14.05,14.1,14.25,-0.15000000000000036,-1.0526,47884.9,67664.252
600859.SH,20200107,14.14,14.28,14.09,14.25,14.11,0.14000000000000057,0.9922,43927.66,62332.664
600859.SH,20200106,14.12,14.26,14.03,14.11,14.16,-0.05000000000000071,-0.3531,52162.58,73814.681
600859.SH,20200103,14.16,14.16,14.01,14.16,14.11,0.05000000000000071,0.3544,44408.24,62549.251
600859.SH,20200102,14.12,14.17,13.99,14.11,13.99,0.11999999999999922,0.8578,46182.88,65103.998
600859.SH,20191231,14.01,14.04,13.9,13.99,14.03,-0.03999999999999915,-0.2851,34116.94,47631.289
600859.SH,20191230,13.69,14.14,13.54,14.03,13.69,0.33999999999999986,2.4836,74531.47,103555.291
600859.SH,20191227,13.82,13.89,13.67,13.69,13.82,-0.13000000000000078,-0.9407,40798.92,56211.809
600859.SH,20191226,13.79,13.83,13.72,13.82,13.8,0.019999999999999574,0.1449,23532.46,32413.52
600859.SH,20191225,13.8,13.89,13.71,13.8,13.81,-0.009999999999999787,-0.0724,27847.98,38371.981
600859.SH,20191224,13.56,13.84,13.56,13.81,13.57,0.2400000000000002,1.7686,34649.74,47621.126
600859.SH,20191223,13.92,13.98,13.54,13.57,14.01,-0.4399999999999995,-3.1406,61403.79,84355.73
600859.SH,20191220,14.1,14.15,13.91,14.01,14.09,-0.08000000000000007,-0.5678,52599.74,73604.586
600859.SH,20191219,14.06,14.18,13.93,14.09,14.05,0.03999999999999915,0.2847,72185.81,101518.843
600859.SH,20191218,14.2,14.57,14.03,14.05,13.8,0.25,1.8116,163857.47,233652.565
600859.SH,20191217,13.79,13.87,13.68,13.8,13.76,0.040000000000000924,0.2907,63063.98,87011.573
600859.SH,20191216,13.98,13.98,13.7,13.76,13.95,-0.1899999999999995,-1.362,72649.63,100139.721
600859.SH,20191213,13.8,14.0,13.76,13.95,13.78,0.16999999999999993,1.2337,79932.22,111291.706
600859.SH,20191212,13.77,13.87,13.62,13.78,13.75,0.02999999999999936,0.2182,71925.53,99011.177
600859.SH,20191211,13.61,13.99,13.5,13.75,13.61,0.14000000000000057,1.0287,115261.52,158881.262
600859.SH,20191210,13.42,13.63,13.34,13.61,13.42,0.1899999999999995,1.4158,103155.53,139273.799
600859.SH,20191209,13.08,13.45,13.06,13.42,13.06,0.35999999999999943,2.7565,144637.75,191998.767
600859.SH,20191206,12.63,13.08,12.6,13.06,12.64,0.41999999999999993,3.3228,87600.91,112948.045
600859.SH,20191205,12.63,12.7,12.53,12.64,12.63,0.009999999999999787,0.0792,44837.81,56527.724
600859.SH,20191204,12.72,12.81,12.54,12.63,12.78,-0.14999999999999858,-1.1737,42125.7,53259.555
600859.SH,20191203,12.9,12.94,12.65,12.78,12.97,-0.19000000000000128,-1.4649,33858.68,43146.364
600859.SH,20191202,12.96,13.07,12.89,12.97,12.96,0.009999999999999787,0.0772,22697.56,29458.174
600859.SH,20191129,12.98,12.98,12.9,12.96,12.92,0.040000000000000924,0.3096,20909.48,27029.56
600859.SH,20191128,12.95,12.95,12.86,12.92,12.91,0.009999999999999787,0.0775,14261.78,18425.145
600859.SH,20191127,12.88,12.99,12.82,12.91,12.91,0.0,0.0,25486.32,32945.837
600859.SH,20191126,12.92,12.98,12.89,12.91,12.9,0.009999999999999787,0.0775,28480.21,36813.192
600859.SH,20191125,12.78,12.9,12.69,12.9,12.73,0.16999999999999993,1.3354,31666.76,40650.889
600859.SH,20191122,12.78,12.89,12.68,12.73,12.76,-0.02999999999999936,-0.2351,25918.22,33114.3
600859.SH,20191121,12.7,12.78,12.67,12.76,12.77,-0.009999999999999787,-0.0783,20310.05,25823.387
600859.SH,20191120,12.78,12.84,12.72,12.77,12.79,-0.019999999999999574,-0.1564,30664.98,39230.761
600859.SH,20191119,12.63,12.8,12.58,12.79,12.58,0.20999999999999908,1.6693,32466.93,41161.993
600859.SH,20191118,12.55,12.58,12.44,12.58,12.55,0.02999999999999936,0.239,29825.87,37336.768
600859.SH,20191115,12.75,12.76,12.51,12.55,12.76,-0.20999999999999908,-1.6458,46718.8,58730.342
