ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300805.SZ,20200225,28.99,32.95,28.68,31.91,30.19,1.7199999999999989,5.6973,147298.67,445634.671
300805.SZ,20200224,29.44,30.64,29.44,30.19,29.45,0.740000000000002,2.5127,121718.92,366472.657
300805.SZ,20200221,29.0,30.29,28.5,29.45,29.96,-0.5100000000000016,-1.7023,143015.18,422508.767
300805.SZ,20200220,30.11,31.12,29.87,29.96,33.19,-3.229999999999997,-9.7318,257724.74,777780.217
300805.SZ,20200219,33.19,33.26,33.19,33.19,36.88,-3.690000000000005,-10.0054,69487.66,230640.628
300805.SZ,20200218,42.0,44.07,36.88,36.88,40.98,-4.099999999999994,-10.0049,286490.03,1146581.954
300805.SZ,20200217,38.5,40.98,36.96,40.98,37.25,3.729999999999997,10.0134,103552.8,403263.239
300805.SZ,20200214,35.19,37.25,32.59,37.25,33.86,3.3900000000000006,10.0118,135129.15,476914.084
300805.SZ,20200213,32.01,33.86,31.99,33.86,30.78,3.0799999999999983,10.0065,81843.76,271727.819
300805.SZ,20200212,27.8,30.78,27.65,30.78,27.98,2.8000000000000007,10.0071,80767.15,240194.634
300805.SZ,20200211,26.0,28.9,25.05,27.98,26.27,1.7100000000000009,6.5093,116809.05,320298.403
300805.SZ,20200210,23.69,26.27,22.5,26.27,23.88,2.3900000000000006,10.0084,95415.74,238162.162
300805.SZ,20200207,23.02,24.66,22.95,23.88,23.33,0.5500000000000007,2.3575,59773.11,142800.638
300805.SZ,20200206,21.04,23.33,21.02,23.33,21.21,2.1199999999999974,9.9953,71721.76,159247.419
300805.SZ,20200205,20.7,22.15,20.57,21.21,20.78,0.4299999999999997,2.0693,50404.53,107831.053
300805.SZ,20200204,19.7,20.92,19.7,20.78,21.89,-1.1099999999999994,-5.0708,62620.34,127933.214
300805.SZ,20200203,21.89,21.89,21.89,21.89,24.32,-2.4299999999999997,-9.9918,4390.0,9609.71
300805.SZ,20200123,24.9,25.54,23.88,24.32,25.06,-0.7399999999999984,-2.9529,46120.15,113970.231
300805.SZ,20200122,24.82,25.57,24.82,25.06,25.39,-0.33000000000000185,-1.2997,46474.21,117372.987
300805.SZ,20200121,26.08,26.18,25.21,25.39,25.96,-0.5700000000000003,-2.1957,57022.72,146686.607
300805.SZ,20200120,25.3,26.18,23.82,25.96,26.23,-0.2699999999999996,-1.0294,84347.35,212944.382
300805.SZ,20200117,26.43,27.47,26.01,26.23,26.43,-0.1999999999999993,-0.7567,97878.55,263320.689
300805.SZ,20200116,26.24,26.43,25.3,26.43,26.28,0.14999999999999858,0.5708,79426.13,206052.248
300805.SZ,20200115,26.01,26.87,25.88,26.28,25.82,0.46000000000000085,1.7816,94320.42,249418.136
300805.SZ,20200114,25.75,26.55,25.4,25.82,25.73,0.08999999999999986,0.3498,109981.37,285669.211
300805.SZ,20200113,24.85,25.98,24.43,25.73,24.35,1.379999999999999,5.6674,108397.37,275517.551
300805.SZ,20200110,25.21,25.21,24.2,24.35,24.79,-0.4399999999999977,-1.7749,58301.08,143287.274
300805.SZ,20200109,24.85,25.07,24.42,24.79,24.36,0.4299999999999997,1.7652,67763.33,167930.982
300805.SZ,20200108,25.0,25.41,24.01,24.36,26.1,-1.740000000000002,-6.6667,120799.88,299679.411
300805.SZ,20200107,25.71,26.77,25.6,26.1,25.84,0.26000000000000156,1.0062,126084.89,331202.33
300805.SZ,20200106,25.35,26.15,25.24,25.84,27.1,-1.2600000000000016,-4.6494,144162.88,370253.03
300805.SZ,20200103,30.94,30.95,27.1,27.1,30.11,-3.009999999999998,-9.9967,264504.52,749967.252
300805.SZ,20200102,27.3,30.11,26.81,30.11,27.37,2.7399999999999984,10.011,235089.28,683701.151
300805.SZ,20191231,24.17,27.37,24.17,27.37,24.88,2.490000000000002,10.008,219711.27,574548.079
300805.SZ,20191230,26.5,26.51,24.76,24.88,26.93,-2.0500000000000007,-7.6123,182266.16,465262.237
300805.SZ,20191227,25.8,26.93,25.1,26.93,24.48,2.4499999999999993,10.0082,234608.09,612977.504
300805.SZ,20191226,22.35,24.48,22.05,24.48,22.25,2.2300000000000004,10.0225,114432.76,266473.779
300805.SZ,20191225,22.35,22.88,22.21,22.25,22.25,0.0,0.0,50341.78,113135.412
300805.SZ,20191224,22.02,22.29,21.8,22.25,22.1,0.14999999999999858,0.6787,46214.12,101974.298
300805.SZ,20191223,22.21,22.64,22.08,22.1,23.1,-1.0,-4.329,64566.92,144178.389
300805.SZ,20191220,24.44,24.67,23.03,23.1,24.6,-1.5,-6.0976,110154.38,260386.979
300805.SZ,20191219,25.25,25.86,24.28,24.6,24.99,-0.389999999999997,-1.5606,112634.66,282619.57
300805.SZ,20191218,25.41,26.0,24.88,24.99,25.59,-0.6000000000000014,-2.3447,122510.11,311277.609
300805.SZ,20191217,25.31,25.68,24.92,25.59,25.6,-0.010000000000001563,-0.0391,127802.99,322647.731
300805.SZ,20191216,24.08,25.75,24.08,25.6,24.45,1.1500000000000021,4.7035,149606.81,374202.324
300805.SZ,20191213,23.8,25.14,23.6,24.45,23.5,0.9499999999999993,4.0426,132624.84,324018.857
300805.SZ,20191212,24.64,24.91,23.4,23.5,24.6,-1.1000000000000014,-4.4715,113380.92,269732.613
300805.SZ,20191211,24.38,25.67,24.22,24.6,24.6,0.0,0.0,149744.87,373725.923
300805.SZ,20191210,23.68,24.95,23.56,24.6,24.0,0.6000000000000014,2.5,131691.01,320540.83
300805.SZ,20191209,23.36,24.1,22.89,24.0,23.68,0.3200000000000003,1.3514,132105.11,309927.521
300805.SZ,20191206,25.01,25.15,23.68,23.68,25.58,-1.8999999999999986,-7.4277,173935.97,421918.047
300805.SZ,20191205,25.9,26.19,25.4,25.58,25.89,-0.3100000000000023,-1.1974,160322.24,412849.387
300805.SZ,20191204,25.02,26.7,24.5,25.89,26.76,-0.870000000000001,-3.2511,191221.97,485837.398
300805.SZ,20191203,28.07,30.0,26.66,26.76,28.64,-1.879999999999999,-6.5642,286972.94,814302.9
300805.SZ,20191202,28.64,28.64,28.64,28.64,26.04,2.6000000000000014,9.9846,62652.67,179437.246
300805.SZ,20191129,26.04,26.04,26.04,26.04,23.67,2.3699999999999974,10.0127,2911.17,7580.686
