ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600836.SH,20200225,4.45,4.51,4.28,4.48,4.54,-0.05999999999999961,-1.3216,121021.34,53436.258
600836.SH,20200224,4.52,4.57,4.47,4.54,4.51,0.03000000000000025,0.6652,76660.08,34591.057
600836.SH,20200221,4.53,4.63,4.47,4.51,4.5,0.009999999999999787,0.2222,101952.06,46067.661
600836.SH,20200220,4.37,4.58,4.32,4.5,4.32,0.17999999999999972,4.1667,125671.08,55975.998
600836.SH,20200219,4.3,4.37,4.24,4.32,4.31,0.010000000000000675,0.232,69308.66,29932.928
600836.SH,20200218,4.19,4.38,4.17,4.31,4.2,0.10999999999999943,2.619,80273.62,34522.753
600836.SH,20200217,4.08,4.22,4.08,4.2,4.13,0.07000000000000028,1.6949,65419.72,27300.424
600836.SH,20200214,4.15,4.17,4.09,4.13,4.16,-0.03000000000000025,-0.7212,52068.38,21473.562
600836.SH,20200213,4.19,4.24,4.12,4.16,4.17,-0.009999999999999787,-0.2398,64935.89,27147.014
600836.SH,20200212,4.2,4.2,4.11,4.17,4.11,0.05999999999999961,1.4599,49951.34,20741.135
600836.SH,20200211,4.1,4.19,4.08,4.11,4.15,-0.040000000000000036,-0.9639,45135.16,18635.305
600836.SH,20200210,4.03,4.19,4.02,4.15,4.06,0.09000000000000075,2.2167,79450.86,32711.943
600836.SH,20200207,4.1,4.15,4.03,4.06,4.06,0.0,0.0,77491.77,31462.128
600836.SH,20200206,3.84,4.14,3.75,4.06,3.86,0.19999999999999973,5.1813,153009.84,61691.384
600836.SH,20200205,3.58,3.87,3.57,3.86,3.52,0.33999999999999986,9.6591,141796.38,53150.338
600836.SH,20200204,3.43,3.62,3.43,3.52,3.81,-0.29000000000000004,-7.6115,185795.9,65300.121
600836.SH,20200203,3.81,3.81,3.81,3.81,4.23,-0.4200000000000004,-9.9291,11844.0,4512.564
600836.SH,20200123,4.23,4.47,4.23,4.23,4.7,-0.46999999999999975,-10.0,242635.46,104530.904
600836.SH,20200122,4.62,4.75,4.55,4.7,4.61,0.08999999999999986,1.9523,73741.77,34448.882
600836.SH,20200121,4.58,4.85,4.52,4.61,4.58,0.03000000000000025,0.655,115620.02,54250.346
600836.SH,20200120,4.67,4.67,4.51,4.58,4.65,-0.07000000000000028,-1.5054,78163.56,35676.072
600836.SH,20200117,4.76,4.76,4.62,4.65,4.69,-0.040000000000000036,-0.8529,69670.22,32593.61
600836.SH,20200116,4.81,4.87,4.69,4.69,4.82,-0.1299999999999999,-2.6971,87527.0,41509.861
600836.SH,20200115,4.89,4.89,4.78,4.82,4.89,-0.0699999999999994,-1.4315,65158.35,31351.69
600836.SH,20200114,4.87,4.97,4.8,4.89,4.84,0.04999999999999982,1.0331,98637.0,48349.441
600836.SH,20200113,4.93,4.93,4.76,4.84,4.9,-0.0600000000000005,-1.2245,85205.32,41026.562
600836.SH,20200110,4.89,4.92,4.81,4.9,4.85,0.05000000000000071,1.0309,72291.25,35322.348
600836.SH,20200109,4.8,4.92,4.8,4.85,4.78,0.0699999999999994,1.4644,90597.12,44049.76
600836.SH,20200108,4.97,4.98,4.77,4.78,4.97,-0.1899999999999995,-3.8229,160830.04,77804.454
600836.SH,20200107,4.91,5.0,4.88,4.97,4.91,0.05999999999999961,1.222,70674.1,35039.876
600836.SH,20200106,4.95,4.97,4.86,4.91,4.98,-0.07000000000000028,-1.4056,101301.12,49682.327
600836.SH,20200103,5.07,5.07,4.95,4.98,5.01,-0.02999999999999936,-0.5988,89545.8,44724.984
600836.SH,20200102,5.01,5.11,4.99,5.01,4.97,0.040000000000000036,0.8048,97710.04,49112.06
600836.SH,20191231,4.98,5.06,4.95,4.97,5.03,-0.0600000000000005,-1.1928,70203.8,35034.858
600836.SH,20191230,5.0,5.1,4.89,5.03,5.14,-0.10999999999999943,-2.1401,126332.0,63236.703
600836.SH,20191227,4.92,5.29,4.88,5.14,4.92,0.21999999999999975,4.4715,261712.88,133724.776
600836.SH,20191226,4.9,4.93,4.82,4.92,4.86,0.05999999999999961,1.2346,98126.28,47830.092
600836.SH,20191225,4.92,5.0,4.84,4.86,4.96,-0.09999999999999964,-2.0161,121965.12,59781.905
600836.SH,20191224,5.04,5.08,4.76,4.96,4.95,0.009999999999999787,0.202,185295.19,90269.604
600836.SH,20191223,5.14,5.14,4.94,4.95,5.18,-0.22999999999999954,-4.4402,165156.18,82911.105
600836.SH,20191220,5.14,5.33,5.14,5.18,5.19,-0.010000000000000675,-0.1927,180051.22,93815.248
600836.SH,20191219,5.56,5.56,5.16,5.19,5.42,-0.22999999999999954,-4.2435,319238.0,170038.607
600836.SH,20191218,5.35,5.56,5.23,5.42,5.38,0.040000000000000036,0.7435,293841.84,158371.932
600836.SH,20191217,5.51,5.63,5.36,5.38,5.51,-0.1299999999999999,-2.3593,316312.44,172817.063
