ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600681.SH,20200225,5.87,5.87,5.6,5.8,5.97,-0.16999999999999993,-2.8476,113505.47,65216.525
600681.SH,20200224,6.03,6.03,5.95,5.97,6.06,-0.08999999999999986,-1.4851,70838.44,42335.346
600681.SH,20200221,6.02,6.09,6.0,6.06,6.02,0.040000000000000036,0.6645,78097.36,47170.37
600681.SH,20200220,6.0,6.03,5.89,6.02,5.96,0.05999999999999961,1.0067,61522.88,36772.308
600681.SH,20200219,6.02,6.04,5.94,5.96,6.01,-0.04999999999999982,-0.8319,38688.43,23173.88
600681.SH,20200218,5.93,6.07,5.93,6.01,5.93,0.08000000000000007,1.3491,58370.56,35074.202
600681.SH,20200217,5.82,5.94,5.82,5.93,5.82,0.10999999999999943,1.89,65963.6,38871.083
600681.SH,20200214,5.82,5.87,5.81,5.82,5.86,-0.040000000000000036,-0.6826,27419.88,15989.148
600681.SH,20200213,5.91,5.92,5.84,5.86,5.91,-0.04999999999999982,-0.846,37409.12,21968.753
600681.SH,20200212,5.89,5.92,5.83,5.91,5.9,0.009999999999999787,0.1695,38214.83,22463.37
600681.SH,20200211,5.89,5.96,5.85,5.9,5.9,0.0,0.0,46596.61,27524.018
600681.SH,20200210,5.86,5.9,5.75,5.9,5.87,0.03000000000000025,0.5111,38297.04,22421.349
600681.SH,20200207,5.87,5.88,5.75,5.87,5.85,0.020000000000000462,0.3419,50265.64,29220.761
600681.SH,20200206,5.77,5.93,5.66,5.85,5.76,0.08999999999999986,1.5625,73868.74,43029.498
600681.SH,20200205,5.5,5.77,5.5,5.76,5.42,0.33999999999999986,6.2731,102162.11,57884.252
600681.SH,20200204,5.2,5.55,5.2,5.42,5.52,-0.09999999999999964,-1.8116,78580.63,42489.889
600681.SH,20200203,5.52,5.56,5.52,5.52,6.13,-0.6100000000000003,-9.9511,44701.0,24678.169
600681.SH,20200123,6.36,6.36,6.06,6.13,6.37,-0.2400000000000002,-3.7677,61731.86,38331.946
600681.SH,20200122,6.44,6.48,6.32,6.37,6.46,-0.08999999999999986,-1.3932,50648.57,32279.289
600681.SH,20200121,6.6,6.6,6.45,6.46,6.56,-0.09999999999999964,-1.5244,62812.83,40777.761
600681.SH,20200120,6.53,6.63,6.49,6.56,6.53,0.02999999999999936,0.4594,52395.84,34435.519
600681.SH,20200117,6.7,6.72,6.48,6.53,6.67,-0.13999999999999968,-2.099,123188.91,81159.802
600681.SH,20200116,6.83,6.83,6.66,6.67,6.81,-0.13999999999999968,-2.0558,93473.16,62935.519
600681.SH,20200115,6.9,6.9,6.75,6.81,6.9,-0.09000000000000075,-1.3043,54405.98,37104.897
600681.SH,20200114,6.88,6.92,6.85,6.9,6.89,0.010000000000000675,0.1451,71104.1,48936.626
600681.SH,20200113,6.84,6.89,6.82,6.89,6.87,0.019999999999999574,0.2911,34125.04,23391.556
600681.SH,20200110,6.9,6.92,6.86,6.87,6.92,-0.04999999999999982,-0.7225,33849.76,23277.009
600681.SH,20200109,6.93,6.95,6.86,6.92,6.89,0.03000000000000025,0.4354,54285.13,37430.571
600681.SH,20200108,6.99,7.02,6.89,6.89,6.99,-0.10000000000000053,-1.4306,49569.4,34445.102
600681.SH,20200107,6.94,7.01,6.9,6.99,6.95,0.040000000000000036,0.5755,70090.21,48735.075
600681.SH,20200106,6.88,7.03,6.86,6.95,6.86,0.08999999999999986,1.312,85684.04,59479.144
600681.SH,20200103,6.88,6.88,6.82,6.86,6.86,0.0,0.0,36862.97,25260.533
600681.SH,20200102,6.83,6.87,6.82,6.86,6.8,0.0600000000000005,0.8824,43793.24,30002.475
600681.SH,20191231,6.77,6.83,6.76,6.8,6.79,0.009999999999999787,0.1473,34499.26,23458.402
600681.SH,20191230,6.74,6.79,6.73,6.79,6.76,0.03000000000000025,0.4438,24061.92,16264.598
600681.SH,20191227,6.76,6.8,6.72,6.76,6.77,-0.009999999999999787,-0.1477,38615.39,26110.567
600681.SH,20191226,6.76,6.77,6.72,6.77,6.74,0.02999999999999936,0.4451,20272.39,13684.428
600681.SH,20191225,6.77,6.78,6.72,6.74,6.79,-0.04999999999999982,-0.7364,21686.18,14634.825
600681.SH,20191224,6.74,6.8,6.73,6.79,6.74,0.04999999999999982,0.7418,21154.83,14284.987
600681.SH,20191223,6.85,6.85,6.72,6.74,6.84,-0.09999999999999964,-1.462,37166.62,25151.961
600681.SH,20191220,6.93,6.94,6.83,6.84,6.92,-0.08000000000000007,-1.1561,36832.95,25325.869
600681.SH,20191219,6.84,6.93,6.81,6.92,6.84,0.08000000000000007,1.1696,39943.21,27471.169
600681.SH,20191218,6.86,6.89,6.8,6.84,6.86,-0.020000000000000462,-0.2915,38806.24,26507.469
600681.SH,20191217,6.76,6.87,6.76,6.86,6.76,0.10000000000000053,1.4793,55941.75,38161.804
600681.SH,20191216,6.74,6.76,6.71,6.76,6.73,0.02999999999999936,0.4458,38408.43,25879.308
600681.SH,20191213,6.76,6.77,6.71,6.73,6.72,0.010000000000000675,0.1488,37137.9,24988.474
600681.SH,20191212,6.75,6.76,6.71,6.72,6.74,-0.020000000000000462,-0.2967,20843.37,14025.927
600681.SH,20191211,6.78,6.81,6.73,6.74,6.79,-0.04999999999999982,-0.7364,21585.43,14577.619
600681.SH,20191210,6.82,6.82,6.78,6.79,6.84,-0.04999999999999982,-0.731,20122.26,13675.388
600681.SH,20191209,6.83,6.85,6.78,6.84,6.83,0.009999999999999787,0.1464,23552.95,16024.926
600681.SH,20191206,6.83,6.86,6.79,6.83,6.83,0.0,0.0,19750.02,13459.142
600681.SH,20191205,6.79,6.86,6.78,6.83,6.79,0.040000000000000036,0.5891,31590.5,21542.531
600681.SH,20191204,6.75,6.81,6.73,6.79,6.75,0.040000000000000036,0.5926,18255.14,12372.793
600681.SH,20191203,6.75,6.76,6.71,6.75,6.75,0.0,0.0,18077.79,12180.013
600681.SH,20191202,6.81,6.84,6.75,6.75,6.81,-0.05999999999999961,-0.8811,15655.8,10623.995
600681.SH,20191129,6.71,6.85,6.71,6.81,6.79,0.019999999999999574,0.2946,21268.8,14496.82
600681.SH,20191128,6.86,6.87,6.79,6.79,6.84,-0.04999999999999982,-0.731,14270.33,9721.491
600681.SH,20191127,6.81,6.88,6.81,6.84,6.85,-0.009999999999999787,-0.146,13916.0,9525.994
600681.SH,20191126,6.86,6.87,6.8,6.85,6.85,0.0,0.0,15557.22,10630.956
600681.SH,20191125,6.82,6.86,6.74,6.85,6.77,0.08000000000000007,1.1817,25813.77,17602.83
600681.SH,20191122,6.74,6.87,6.74,6.77,6.79,-0.020000000000000462,-0.2946,25992.8,17691.061
600681.SH,20191121,6.7,6.82,6.7,6.79,6.77,0.020000000000000462,0.2954,36569.57,24696.441
600681.SH,20191120,6.88,6.92,6.74,6.77,6.9,-0.13000000000000078,-1.8841,33465.3,22838.991
600681.SH,20191119,6.85,6.92,6.82,6.9,6.86,0.040000000000000036,0.5831,34593.18,23785.45
600681.SH,20191118,6.85,6.92,6.82,6.86,6.92,-0.05999999999999961,-0.8671,34487.44,23630.24
600681.SH,20191115,7.03,7.05,6.76,6.92,7.06,-0.13999999999999968,-1.983,101604.17,70074.047
600681.SH,20191114,7.06,7.1,7.03,7.06,7.05,0.009999999999999787,0.1418,24914.03,17593.948
600681.SH,20191113,7.04,7.07,7.0,7.05,7.07,-0.020000000000000462,-0.2829,28770.24,20221.495
600681.SH,20191112,7.04,7.09,7.0,7.07,7.05,0.020000000000000462,0.2837,36482.72,25674.213
600681.SH,20191111,7.22,7.3,7.02,7.05,7.3,-0.25,-3.4247,69602.79,49513.357
600681.SH,20191108,7.34,7.38,7.21,7.3,7.31,-0.009999999999999787,-0.1368,80213.37,58497.738
600681.SH,20191107,7.21,7.33,7.21,7.31,7.21,0.09999999999999964,1.387,57742.11,42022.893
600681.SH,20191106,7.31,7.34,7.2,7.21,7.3,-0.08999999999999986,-1.2329,73861.22,53644.829
600681.SH,20191105,7.24,7.49,7.2,7.3,7.19,0.10999999999999943,1.5299,162566.2,119566.797
600681.SH,20191104,7.08,7.21,7.03,7.19,7.08,0.11000000000000032,1.5537,62987.71,44977.093
600681.SH,20191101,7.06,7.1,7.0,7.08,7.04,0.040000000000000036,0.5682,40155.25,28344.809
600681.SH,20191031,7.08,7.14,6.94,7.04,7.07,-0.03000000000000025,-0.4243,63451.23,44623.646
600681.SH,20191030,7.2,7.2,7.05,7.07,7.28,-0.20999999999999996,-2.8846,105841.98,75264.972
600681.SH,20191029,7.17,7.38,7.16,7.28,7.2,0.08000000000000007,1.1111,101666.6,73989.8
600681.SH,20191028,7.18,7.23,7.14,7.2,7.21,-0.009999999999999787,-0.1387,58749.83,42173.322
600681.SH,20191025,7.28,7.28,7.11,7.21,7.25,-0.040000000000000036,-0.5517,67962.14,48813.359
600681.SH,20191024,7.05,7.27,7.03,7.25,7.05,0.20000000000000018,2.8369,94748.36,68046.648
600681.SH,20191023,7.14,7.14,7.03,7.05,7.1,-0.04999999999999982,-0.7042,32396.91,22882.316
600681.SH,20191022,7.05,7.11,7.04,7.1,7.05,0.04999999999999982,0.7092,46852.95,33128.421
600681.SH,20191021,7.21,7.22,7.01,7.05,7.24,-0.1900000000000004,-2.6243,85736.67,60637.673
600681.SH,20191018,7.34,7.42,7.21,7.24,7.38,-0.13999999999999968,-1.897,91482.89,66745.559
600681.SH,20191017,7.44,7.61,7.37,7.38,7.29,0.08999999999999986,1.2346,182155.93,136050.28
600681.SH,20191016,7.36,7.39,7.22,7.29,7.36,-0.07000000000000028,-0.9511,122940.59,89778.868
600681.SH,20191015,7.23,7.37,7.18,7.36,7.26,0.10000000000000053,1.3774,130303.61,95345.784
600681.SH,20191014,7.1,7.28,7.07,7.26,7.09,0.16999999999999993,2.3977,99538.64,71302.127
600681.SH,20191011,7.03,7.12,6.99,7.09,7.02,0.07000000000000028,0.9972,49402.64,34827.393
600681.SH,20191010,6.99,7.03,6.96,7.02,6.98,0.03999999999999915,0.5731,23616.31,16537.578
600681.SH,20191009,7.02,7.02,6.94,6.98,7.01,-0.02999999999999936,-0.428,34374.6,23958.091
600681.SH,20191008,7.06,7.07,6.99,7.01,7.02,-0.009999999999999787,-0.1425,28214.35,19786.889
600681.SH,20190930,7.0,7.07,6.98,7.02,7.0,0.019999999999999574,0.2857,20170.09,14177.183
600681.SH,20190927,7.0,7.04,6.96,7.0,6.99,0.009999999999999787,0.1431,28551.53,19976.287
600681.SH,20190926,7.08,7.13,6.97,6.99,7.05,-0.05999999999999961,-0.8511,59416.86,41797.572
600681.SH,20190925,7.11,7.18,7.05,7.05,7.14,-0.08999999999999986,-1.2605,63728.76,45306.731
600681.SH,20190924,7.16,7.19,7.12,7.14,7.16,-0.020000000000000462,-0.2793,27054.52,19382.162
