ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000056.SZ,20200225,3.78,3.78,3.63,3.75,3.85,-0.10000000000000009,-2.5974,116933.0,43484.339
000056.SZ,20200224,3.88,3.92,3.78,3.85,3.86,-0.009999999999999787,-0.2591,86961.26,33373.348
000056.SZ,20200221,3.84,3.9,3.83,3.86,3.83,0.029999999999999805,0.7833,70868.63,27410.218
000056.SZ,20200220,3.74,3.85,3.71,3.83,3.72,0.10999999999999988,2.957,101847.0,38580.144
000056.SZ,20200219,3.73,3.8,3.72,3.72,3.78,-0.05999999999999961,-1.5873,71716.0,26976.528
000056.SZ,20200218,3.73,3.8,3.71,3.78,3.74,0.03999999999999959,1.0695,76948.0,28894.496
000056.SZ,20200217,3.63,3.74,3.62,3.74,3.62,0.1200000000000001,3.3149,72141.44,26677.241
000056.SZ,20200214,3.58,3.65,3.56,3.62,3.58,0.040000000000000036,1.1173,62113.0,22435.432
000056.SZ,20200213,3.69,3.74,3.51,3.58,3.7,-0.1200000000000001,-3.2432,99469.84,36128.915
000056.SZ,20200212,3.64,3.71,3.61,3.7,3.64,0.06000000000000005,1.6484,56314.1,20672.703
000056.SZ,20200211,3.65,3.71,3.61,3.64,3.65,-0.009999999999999787,-0.274,70250.12,25655.652
000056.SZ,20200210,3.56,3.67,3.54,3.65,3.59,0.06000000000000005,1.6713,68172.87,24721.968
000056.SZ,20200207,3.55,3.6,3.5,3.59,3.51,0.08000000000000007,2.2792,68663.65,24339.549
000056.SZ,20200206,3.47,3.54,3.42,3.51,3.47,0.03999999999999959,1.1527,88169.11,30878.315
000056.SZ,20200205,3.4,3.55,3.36,3.47,3.41,0.06000000000000005,1.7595,91436.87,31801.699
000056.SZ,20200204,3.2,3.43,3.2,3.41,3.56,-0.1499999999999999,-4.2135,132349.45,44054.302
000056.SZ,20200203,3.56,3.56,3.56,3.56,3.96,-0.3999999999999999,-10.101,12157.0,4327.892
000056.SZ,20200123,4.09,4.1,3.9,3.96,4.08,-0.1200000000000001,-2.9412,97920.82,39075.537
000056.SZ,20200122,4.06,4.11,3.97,4.08,4.09,-0.009999999999999787,-0.2445,69157.87,27926.986
000056.SZ,20200121,4.14,4.15,4.08,4.09,4.14,-0.04999999999999982,-1.2077,50332.0,20693.761
000056.SZ,20200120,4.1,4.16,4.05,4.14,4.1,0.040000000000000036,0.9756,51427.11,21145.128
000056.SZ,20200117,4.16,4.17,4.09,4.1,4.14,-0.040000000000000036,-0.9662,54958.48,22704.84
000056.SZ,20200116,4.22,4.23,4.13,4.14,4.21,-0.07000000000000028,-1.6627,59958.0,24976.11
000056.SZ,20200115,4.28,4.29,4.17,4.21,4.28,-0.07000000000000028,-1.6355,95380.96,40168.211
000056.SZ,20200114,4.28,4.34,4.28,4.28,4.31,-0.02999999999999936,-0.6961,94710.99,40751.195
000056.SZ,20200113,4.32,4.35,4.24,4.31,4.29,0.019999999999999574,0.4662,115494.55,49492.855
000056.SZ,20200110,4.35,4.49,4.27,4.29,4.32,-0.03000000000000025,-0.6944,238296.11,104008.029
000056.SZ,20200109,4.3,4.36,4.28,4.32,4.28,0.040000000000000036,0.9346,95017.01,40975.567
000056.SZ,20200108,4.32,4.37,4.25,4.28,4.36,-0.08000000000000007,-1.8349,113728.0,49029.004
000056.SZ,20200107,4.29,4.37,4.27,4.36,4.3,0.0600000000000005,1.3953,122196.16,52971.138
000056.SZ,20200106,4.26,4.35,4.22,4.3,4.29,0.009999999999999787,0.2331,126326.99,53942.523
000056.SZ,20200103,4.24,4.31,4.22,4.29,4.24,0.04999999999999982,1.1792,109413.38,46711.271
000056.SZ,20200102,4.16,4.24,4.16,4.24,4.14,0.10000000000000053,2.4155,94135.04,39640.884
000056.SZ,20191231,4.16,4.19,4.1,4.14,4.17,-0.03000000000000025,-0.7194,65784.0,27266.016
000056.SZ,20191230,4.2,4.23,4.12,4.17,4.21,-0.040000000000000036,-0.9501,84540.0,35121.026
000056.SZ,20191227,4.27,4.31,4.2,4.21,4.27,-0.05999999999999961,-1.4052,81337.4,34649.14
000056.SZ,20191226,4.2,4.28,4.17,4.27,4.18,0.08999999999999986,2.1531,79546.2,33612.083
000056.SZ,20191225,4.2,4.23,4.14,4.18,4.2,-0.020000000000000462,-0.4762,75506.27,31642.944
