ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600063.SH,20200225,4.2,4.6,4.12,4.6,4.18,0.41999999999999993,10.0478,1242788.45,560335.725
600063.SH,20200224,4.03,4.18,3.95,4.18,3.8,0.3799999999999999,10.0,1087764.58,447791.811
600063.SH,20200221,3.8,3.84,3.73,3.8,3.79,0.009999999999999787,0.2639,284984.01,108004.423
600063.SH,20200220,3.75,3.82,3.71,3.79,3.72,0.06999999999999984,1.8817,217654.64,82028.675
600063.SH,20200219,3.77,3.85,3.71,3.72,3.75,-0.029999999999999805,-0.8,255331.05,96417.099
600063.SH,20200218,3.68,3.76,3.63,3.75,3.65,0.10000000000000009,2.7397,247823.89,91777.902
600063.SH,20200217,3.52,3.65,3.52,3.65,3.54,0.10999999999999988,3.1073,188353.58,68171.086
600063.SH,20200214,3.58,3.59,3.5,3.54,3.55,-0.009999999999999787,-0.2817,129056.99,45826.336
600063.SH,20200213,3.65,3.65,3.55,3.55,3.65,-0.10000000000000009,-2.7397,197411.24,70705.651
600063.SH,20200212,3.62,3.66,3.61,3.65,3.64,0.009999999999999787,0.2747,167759.65,60863.373
600063.SH,20200211,3.66,3.67,3.62,3.64,3.65,-0.009999999999999787,-0.274,204408.3,74536.949
600063.SH,20200210,3.64,3.7,3.58,3.65,3.65,0.0,0.0,226515.33,82347.466
600063.SH,20200207,3.71,3.78,3.58,3.65,3.72,-0.07000000000000028,-1.8817,366818.36,134574.445
600063.SH,20200206,3.49,3.74,3.38,3.72,3.4,0.3200000000000003,9.4118,458086.06,166456.603
600063.SH,20200205,3.23,3.43,3.21,3.4,3.22,0.17999999999999972,5.5901,273706.18,91555.479
600063.SH,20200204,2.97,3.32,2.97,3.22,3.24,-0.020000000000000018,-0.6173,300843.98,96261.001
600063.SH,20200203,3.24,3.24,3.24,3.24,3.6,-0.3599999999999999,-10.0,40992.0,13281.408
600063.SH,20200123,3.77,3.78,3.58,3.6,3.77,-0.16999999999999993,-4.5093,225543.32,82786.833
600063.SH,20200122,3.71,3.8,3.66,3.77,3.78,-0.009999999999999787,-0.2646,172388.8,64406.209
