ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000967.SZ,20200225,6.61,6.85,6.47,6.77,6.78,-0.010000000000000675,-0.1475,267570.19,178379.638
000967.SZ,20200224,6.61,6.86,6.53,6.78,6.47,0.3100000000000005,4.7913,329845.83,221002.666
000967.SZ,20200221,6.41,6.54,6.36,6.47,6.39,0.08000000000000007,1.252,143616.12,92822.693
000967.SZ,20200220,6.39,6.46,6.27,6.39,6.38,0.009999999999999787,0.1567,160458.32,102072.88
000967.SZ,20200219,6.54,6.63,6.38,6.38,6.54,-0.16000000000000014,-2.4465,223254.6,144997.19
000967.SZ,20200218,6.55,6.59,6.45,6.54,6.54,0.0,0.0,151926.12,99131.594
000967.SZ,20200217,6.48,6.56,6.43,6.54,6.45,0.08999999999999986,1.3953,129998.56,84729.252
000967.SZ,20200214,6.48,6.54,6.36,6.45,6.49,-0.040000000000000036,-0.6163,118324.45,76313.221
000967.SZ,20200213,6.5,6.62,6.34,6.49,6.49,0.0,0.0,195349.44,125845.381
000967.SZ,20200212,6.51,6.57,6.4,6.49,6.5,-0.009999999999999787,-0.1538,181863.86,117710.351
000967.SZ,20200211,6.8,6.8,6.5,6.5,6.76,-0.2599999999999998,-3.8462,184785.32,121688.265
000967.SZ,20200210,7.14,7.15,6.63,6.76,6.96,-0.20000000000000018,-2.8736,382468.33,261653.466
000967.SZ,20200207,6.89,6.97,6.51,6.96,6.45,0.5099999999999998,7.907,567934.68,383310.424
000967.SZ,20200206,5.96,6.47,5.92,6.45,5.89,0.5600000000000005,9.5076,282029.68,176263.229
000967.SZ,20200205,5.72,5.96,5.67,5.89,5.68,0.20999999999999996,3.6972,127936.87,74619.721
000967.SZ,20200204,5.43,5.81,5.43,5.68,5.51,0.16999999999999993,3.0853,156330.04,88431.015
000967.SZ,20200203,5.51,5.62,5.51,5.51,6.12,-0.6100000000000003,-9.9673,125434.82,69399.348
000967.SZ,20200123,6.24,6.3,6.03,6.12,6.3,-0.17999999999999972,-2.8571,99721.28,61480.589
000967.SZ,20200122,6.39,6.39,6.15,6.3,6.32,-0.020000000000000462,-0.3165,98874.79,61573.544
000967.SZ,20200121,6.4,6.41,6.27,6.32,6.4,-0.08000000000000007,-1.25,89497.56,56751.544
000967.SZ,20200120,6.4,6.46,6.38,6.4,6.42,-0.019999999999999574,-0.3115,70589.33,45240.812
