ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600711.SH,20200225,4.9,4.99,4.85,4.96,4.99,-0.03000000000000025,-0.6012,540938.12,266239.484
600711.SH,20200224,5.07,5.09,4.91,4.99,5.02,-0.02999999999999936,-0.5976,502974.45,250525.325
600711.SH,20200221,4.97,5.04,4.94,5.02,4.98,0.03999999999999915,0.8032,550392.31,275522.61
600711.SH,20200220,4.96,5.01,4.86,4.98,4.9,0.08000000000000007,1.6327,539800.89,266383.212
600711.SH,20200219,4.96,5.04,4.8,4.9,5.25,-0.34999999999999964,-6.6667,1274343.13,629379.023
600711.SH,20200218,5.23,5.32,5.18,5.25,5.23,0.019999999999999574,0.3824,619134.78,324348.563
600711.SH,20200217,5.15,5.25,5.1,5.23,5.19,0.040000000000000036,0.7707,735469.84,381130.828
600711.SH,20200214,5.1,5.35,5.08,5.19,5.05,0.14000000000000057,2.7723,1071349.11,557854.626
600711.SH,20200213,5.06,5.27,4.98,5.05,5.07,-0.020000000000000462,-0.3945,1064775.6,544083.572
600711.SH,20200212,4.68,5.14,4.65,5.07,4.68,0.39000000000000057,8.3333,1061506.89,526876.803
600711.SH,20200211,4.66,4.76,4.62,4.68,4.67,0.009999999999999787,0.2141,481296.93,225917.585
600711.SH,20200210,4.5,4.7,4.45,4.67,4.52,0.15000000000000036,3.3186,483420.51,222518.01
600711.SH,20200207,4.51,4.55,4.46,4.52,4.56,-0.040000000000000036,-0.8772,323268.77,145455.774
600711.SH,20200206,4.45,4.57,4.43,4.56,4.52,0.040000000000000036,0.885,453715.28,204339.445
600711.SH,20200205,4.53,4.65,4.47,4.52,4.43,0.08999999999999986,2.0316,543753.67,247389.831
600711.SH,20200204,4.27,4.54,4.27,4.43,4.44,-0.010000000000000675,-0.2252,475035.87,211665.152
600711.SH,20200203,4.44,4.53,4.44,4.44,4.93,-0.4899999999999993,-9.9391,386224.65,171721.474
600711.SH,20200123,5.14,5.21,4.88,4.93,5.18,-0.25,-4.8263,427318.08,215231.218
600711.SH,20200122,5.11,5.23,5.03,5.18,5.09,0.08999999999999986,1.7682,347944.6,179371.235
600711.SH,20200121,5.22,5.23,5.08,5.09,5.25,-0.16000000000000014,-3.0476,305301.24,157091.189
600711.SH,20200120,5.18,5.28,5.11,5.25,5.2,0.04999999999999982,0.9615,305246.57,158761.161
600711.SH,20200117,5.26,5.3,5.17,5.2,5.24,-0.040000000000000036,-0.7634,308055.64,161184.086
600711.SH,20200116,5.29,5.4,5.24,5.24,5.3,-0.05999999999999961,-1.1321,374665.9,198692.209
600711.SH,20200115,5.4,5.5,5.27,5.3,5.45,-0.15000000000000036,-2.7523,565745.52,302976.221
600711.SH,20200114,5.34,5.73,5.33,5.45,5.26,0.1900000000000004,3.6122,1105114.93,614146.542
600711.SH,20200113,5.24,5.29,5.2,5.26,5.2,0.05999999999999961,1.1538,257503.19,135131.091
600711.SH,20200110,5.32,5.34,5.17,5.2,5.31,-0.10999999999999943,-2.0716,421957.91,220751.77
600711.SH,20200109,5.29,5.4,5.29,5.31,5.35,-0.040000000000000036,-0.7477,503232.02,268525.724
600711.SH,20200108,5.48,5.52,5.28,5.35,5.37,-0.020000000000000462,-0.3724,659315.02,354238.159
600711.SH,20200107,5.44,5.46,5.32,5.37,5.52,-0.14999999999999947,-2.7174,645063.0,347714.248
600711.SH,20200106,5.44,5.56,5.36,5.52,5.39,0.1299999999999999,2.4119,1056144.5,578139.384
600711.SH,20200103,5.32,5.52,5.26,5.39,5.31,0.08000000000000007,1.5066,864856.63,466164.281
600711.SH,20200102,5.3,5.38,5.26,5.31,5.29,0.019999999999999574,0.3781,692167.38,368018.679
600711.SH,20191231,5.24,5.42,5.16,5.29,5.28,0.009999999999999787,0.1894,657931.71,347189.083
600711.SH,20191230,5.35,5.36,5.1,5.28,5.27,0.010000000000000675,0.1898,931992.57,488838.559
600711.SH,20191227,4.96,5.46,4.92,5.27,4.96,0.3099999999999996,6.25,1603871.46,848585.424
600711.SH,20191226,4.92,4.98,4.88,4.96,4.95,0.009999999999999787,0.202,329625.58,162735.972
600711.SH,20191225,5.07,5.08,4.91,4.95,5.12,-0.16999999999999993,-3.3203,637210.55,316856.363
600711.SH,20191224,4.78,5.16,4.78,5.12,4.82,0.2999999999999998,6.2241,883244.27,442749.519
600711.SH,20191223,4.78,4.93,4.73,4.82,4.78,0.040000000000000036,0.8368,526134.92,255376.755
600711.SH,20191220,4.84,4.87,4.77,4.78,4.83,-0.04999999999999982,-1.0352,198277.99,95763.584
600711.SH,20191219,4.85,4.87,4.78,4.83,4.82,0.009999999999999787,0.2075,175821.6,84595.12
600711.SH,20191218,4.8,4.87,4.77,4.82,4.8,0.020000000000000462,0.4167,285288.75,137239.411
600711.SH,20191217,4.69,4.83,4.68,4.8,4.7,0.09999999999999964,2.1277,364210.34,174338.278
600711.SH,20191216,4.66,4.72,4.59,4.7,4.66,0.040000000000000036,0.8584,238678.0,110992.238
600711.SH,20191213,4.63,4.67,4.62,4.66,4.62,0.040000000000000036,0.8658,179594.7,83401.544
600711.SH,20191212,4.7,4.71,4.62,4.62,4.67,-0.04999999999999982,-1.0707,124836.0,58177.711
600711.SH,20191211,4.73,4.77,4.65,4.67,4.74,-0.07000000000000028,-1.4768,172506.4,80938.802
600711.SH,20191210,4.73,4.8,4.72,4.74,4.74,0.0,0.0,165618.29,78763.727
600711.SH,20191209,4.77,4.8,4.72,4.74,4.77,-0.02999999999999936,-0.6289,141623.04,67269.733
600711.SH,20191206,4.73,4.82,4.7,4.77,4.73,0.03999999999999915,0.8457,220815.04,105495.247
600711.SH,20191205,4.7,4.76,4.7,4.73,4.72,0.010000000000000675,0.2119,157187.26,74339.971
600711.SH,20191204,4.65,4.76,4.63,4.72,4.65,0.0699999999999994,1.5054,236659.49,111699.206
600711.SH,20191203,4.57,4.68,4.56,4.65,4.6,0.05000000000000071,1.087,117582.21,54530.826
600711.SH,20191202,4.66,4.67,4.59,4.6,4.66,-0.0600000000000005,-1.2876,118995.0,55020.436
600711.SH,20191129,4.72,4.72,4.62,4.66,4.72,-0.05999999999999961,-1.2712,138199.31,64273.118
600711.SH,20191128,4.79,4.8,4.69,4.72,4.84,-0.1200000000000001,-2.4793,260457.66,123463.302
600711.SH,20191127,4.72,4.92,4.68,4.84,4.7,0.13999999999999968,2.9787,456009.98,219770.912
