ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000555.SZ,20200225,18.68,19.7,18.05,19.55,19.39,0.16000000000000014,0.8252,630823.47,1200186.767
000555.SZ,20200224,18.26,19.88,18.18,19.39,18.81,0.5800000000000018,3.0835,547639.46,1054519.681
000555.SZ,20200221,19.25,19.99,18.72,18.81,18.43,0.379999999999999,2.0619,575199.46,1109930.423
000555.SZ,20200220,18.01,18.59,17.78,18.43,18.42,0.00999999999999801,0.0543,411100.18,748990.604
000555.SZ,20200219,17.73,19.08,17.68,18.42,18.0,0.4200000000000017,2.3333,517185.52,954901.647
000555.SZ,20200218,17.35,18.88,16.88,18.0,17.29,0.7100000000000009,4.1064,521655.08,918227.978
000555.SZ,20200217,16.6,17.45,16.41,17.29,16.54,0.75,4.5345,389300.95,658440.077
000555.SZ,20200214,16.16,16.96,16.02,16.54,16.06,0.4800000000000004,2.9888,392808.32,647720.608
000555.SZ,20200213,16.12,16.42,15.77,16.06,16.2,-0.14000000000000057,-0.8642,306870.98,492513.955
000555.SZ,20200212,15.51,16.28,15.44,16.2,15.58,0.6199999999999992,3.9795,367847.82,585690.181
000555.SZ,20200211,16.01,16.28,15.41,15.58,15.8,-0.22000000000000064,-1.3924,306734.17,482918.538
000555.SZ,20200210,15.23,16.05,15.2,15.8,15.38,0.41999999999999993,2.7308,311547.77,490489.874
000555.SZ,20200207,14.79,15.6,14.66,15.38,14.91,0.47000000000000064,3.1522,387981.2,587954.658
000555.SZ,20200206,14.5,15.08,14.29,14.91,14.19,0.7200000000000006,5.074,355196.68,522309.509
000555.SZ,20200205,13.93,14.65,13.93,14.19,13.91,0.27999999999999936,2.0129,341429.62,487029.447
000555.SZ,20200204,13.16,14.2,13.16,13.91,14.62,-0.7099999999999991,-4.8564,443627.54,611083.885
000555.SZ,20200203,14.62,14.62,14.62,14.62,16.24,-1.6199999999999992,-9.9754,13428.0,19631.736
000555.SZ,20200123,16.57,16.83,15.75,16.24,16.59,-0.3500000000000014,-2.1097,308991.5,503914.225
000555.SZ,20200122,16.2,16.9,15.71,16.59,16.53,0.05999999999999872,0.363,345575.52,562992.591
000555.SZ,20200121,16.81,17.13,16.46,16.53,16.92,-0.39000000000000057,-2.305,232280.49,387472.688
000555.SZ,20200120,16.48,17.17,16.46,16.92,16.36,0.5600000000000023,3.423,299631.26,503805.649
000555.SZ,20200117,16.67,17.08,16.35,16.36,16.69,-0.33000000000000185,-1.9772,313461.99,522794.943
000555.SZ,20200116,17.02,17.22,16.49,16.69,16.99,-0.29999999999999716,-1.7657,351205.7,589480.115
000555.SZ,20200115,16.74,17.65,16.69,16.99,16.89,0.09999999999999787,0.5921,452961.19,777842.056
000555.SZ,20200114,16.89,17.07,16.51,16.89,16.88,0.010000000000001563,0.0592,335798.74,562888.102
000555.SZ,20200113,15.88,17.3,15.88,16.88,15.91,0.9699999999999989,6.0968,470325.19,774811.703
000555.SZ,20200110,16.28,16.45,15.76,15.91,16.47,-0.5599999999999987,-3.4001,384791.88,617260.867
000555.SZ,20200109,15.54,16.75,15.34,16.47,15.24,1.2299999999999986,8.0709,602480.41,963726.784
000555.SZ,20200108,15.08,16.1,14.91,15.24,15.26,-0.019999999999999574,-0.1311,519051.19,802661.503
000555.SZ,20200107,14.52,15.29,14.52,15.26,14.47,0.7899999999999991,5.4596,431143.98,643278.642
000555.SZ,20200106,14.53,14.8,14.38,14.47,14.72,-0.25,-1.6984,296781.26,432857.619
000555.SZ,20200103,14.65,14.91,14.4,14.72,14.81,-0.08999999999999986,-0.6077,299037.94,438183.457
000555.SZ,20200102,15.0,15.05,14.6,14.81,14.81,0.0,0.0,343230.93,508218.955
000555.SZ,20191231,14.35,14.97,14.19,14.81,14.29,0.5200000000000014,3.6389,363527.55,533628.961
000555.SZ,20191230,14.08,14.65,13.93,14.29,13.98,0.3099999999999987,2.2175,350460.94,501427.948
000555.SZ,20191227,14.12,14.61,13.85,13.98,14.17,-0.1899999999999995,-1.3409,376987.63,535378.246
000555.SZ,20191226,14.0,14.35,13.73,14.17,13.99,0.17999999999999972,1.2866,446180.6,625610.699
000555.SZ,20191225,12.71,13.99,12.56,13.99,12.72,1.2699999999999996,9.9843,387772.56,519167.022
000555.SZ,20191224,12.7,12.78,12.51,12.72,12.58,0.14000000000000057,1.1129,109791.82,138829.246
000555.SZ,20191223,13.05,13.23,12.56,12.58,13.13,-0.5500000000000007,-4.1889,180366.9,233142.654
000555.SZ,20191220,13.64,13.66,13.1,13.13,13.6,-0.46999999999999886,-3.4559,192458.78,256461.853
000555.SZ,20191219,13.6,13.77,13.45,13.6,13.5,0.09999999999999964,0.7407,219888.0,299099.222
000555.SZ,20191218,13.64,13.73,13.34,13.5,13.62,-0.11999999999999922,-0.8811,230404.79,311495.241
000555.SZ,20191217,13.69,13.82,13.46,13.62,13.63,-0.010000000000001563,-0.0734,250629.9,341146.511
000555.SZ,20191216,13.43,13.73,13.37,13.63,13.38,0.25,1.8685,252804.07,343263.236
000555.SZ,20191213,13.39,13.48,13.15,13.38,13.28,0.10000000000000142,0.753,191228.75,254660.249
000555.SZ,20191212,13.26,13.56,13.18,13.28,13.25,0.02999999999999936,0.2264,220521.98,294629.683
000555.SZ,20191211,13.26,13.44,13.15,13.25,13.29,-0.03999999999999915,-0.301,185467.9,246735.395
000555.SZ,20191210,13.15,13.37,13.07,13.29,13.25,0.03999999999999915,0.3019,206977.62,274018.264
000555.SZ,20191209,12.9,13.36,12.8,13.25,12.9,0.34999999999999964,2.7132,243708.47,321777.789
000555.SZ,20191206,12.72,12.95,12.63,12.9,12.6,0.3000000000000007,2.381,196230.99,251540.185
000555.SZ,20191205,12.5,12.67,12.37,12.6,12.43,0.16999999999999993,1.3677,138837.84,174252.648
000555.SZ,20191204,12.45,12.54,12.35,12.43,12.59,-0.16000000000000014,-1.2708,100261.58,124669.818
000555.SZ,20191203,12.3,12.6,12.25,12.59,12.43,0.16000000000000014,1.2872,122559.0,152025.462
000555.SZ,20191202,12.2,12.55,12.14,12.43,12.12,0.3100000000000005,2.5578,156043.08,192676.715
000555.SZ,20191129,12.04,12.19,11.95,12.12,12.05,0.06999999999999851,0.5809,87806.76,106028.245
000555.SZ,20191128,12.15,12.22,11.99,12.05,12.14,-0.08999999999999986,-0.7414,85475.7,103118.848
000555.SZ,20191127,12.1,12.25,12.04,12.14,12.04,0.10000000000000142,0.8306,100906.88,122580.881
000555.SZ,20191126,12.06,12.24,12.02,12.04,12.08,-0.040000000000000924,-0.3311,91787.13,111222.435
000555.SZ,20191125,12.48,12.55,11.93,12.08,12.47,-0.39000000000000057,-3.1275,153431.73,185840.131
000555.SZ,20191122,12.89,12.96,12.36,12.47,12.91,-0.4399999999999995,-3.4082,223680.37,282845.847
000555.SZ,20191121,12.65,13.01,12.59,12.91,12.75,0.16000000000000014,1.2549,153544.13,197083.866
000555.SZ,20191120,12.91,13.08,12.71,12.75,13.0,-0.25,-1.9231,203309.31,262009.408
000555.SZ,20191119,12.52,13.08,12.41,13.0,12.44,0.5600000000000005,4.5016,285588.26,365619.984
000555.SZ,20191118,12.4,12.75,12.35,12.44,12.36,0.08000000000000007,0.6472,207706.9,260358.024
000555.SZ,20191115,12.66,12.72,12.35,12.36,12.75,-0.39000000000000057,-3.0588,176791.14,221653.085
000555.SZ,20191114,12.72,12.88,12.49,12.75,12.7,0.05000000000000071,0.3937,167838.49,213674.522
000555.SZ,20191113,12.81,12.85,12.5,12.7,12.8,-0.10000000000000142,-0.7813,136210.74,172548.437
000555.SZ,20191112,12.71,12.81,12.39,12.8,12.68,0.120000000000001,0.9464,174270.45,219477.682
000555.SZ,20191111,13.12,13.12,12.57,12.68,13.1,-0.41999999999999993,-3.2061,226238.84,288760.191
000555.SZ,20191108,13.6,13.72,13.09,13.1,13.48,-0.3800000000000008,-2.819,275266.62,368108.473
000555.SZ,20191107,13.16,13.54,13.02,13.48,13.06,0.41999999999999993,3.2159,277657.72,371528.711
000555.SZ,20191106,13.32,13.52,12.93,13.06,13.46,-0.40000000000000036,-2.9718,284802.17,375656.506
000555.SZ,20191105,13.56,13.86,13.38,13.46,13.33,0.13000000000000078,0.9752,366609.12,498074.459
000555.SZ,20191104,13.33,13.65,13.17,13.33,13.33,0.0,0.0,316812.73,424717.971
000555.SZ,20191101,13.41,13.65,13.14,13.33,13.51,-0.17999999999999972,-1.3323,367033.98,491981.561
000555.SZ,20191031,14.11,14.37,13.47,13.51,14.11,-0.5999999999999996,-4.2523,574406.79,797930.233
000555.SZ,20191030,16.06,16.28,13.77,14.11,15.3,-1.1900000000000013,-7.7778,989991.23,1476881.329
000555.SZ,20191029,15.3,16.24,15.06,15.3,14.76,0.5400000000000009,3.6585,704855.69,1108931.754
