ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000034.SZ,20200225,29.0,31.0,27.51,30.65,28.4,2.25,7.9225,530416.62,1555542.39
000034.SZ,20200224,26.0,28.4,25.82,28.4,25.82,2.5799999999999983,9.9923,448574.26,1239615.595
000034.SZ,20200221,24.98,26.4,24.86,25.82,24.97,0.8500000000000014,3.4041,276914.46,712288.196
000034.SZ,20200220,24.96,25.28,23.91,24.97,25.16,-0.19000000000000128,-0.7552,282030.31,696392.703
000034.SZ,20200219,26.02,26.45,25.0,25.16,25.87,-0.7100000000000009,-2.7445,239386.37,616718.097
000034.SZ,20200218,25.58,26.2,25.24,25.87,25.9,-0.029999999999997584,-0.1158,247775.32,637005.938
000034.SZ,20200217,25.02,25.98,24.49,25.9,24.82,1.0799999999999983,4.3513,269695.18,678266.961
000034.SZ,20200214,23.64,25.0,23.51,24.82,23.77,1.0500000000000007,4.4173,295449.65,721718.996
000034.SZ,20200213,24.33,24.73,23.59,23.77,24.52,-0.75,-3.0587,230538.76,553627.332
000034.SZ,20200212,23.45,24.63,23.26,24.52,23.25,1.2699999999999996,5.4624,287093.3,690189.608
000034.SZ,20200211,23.82,23.96,23.25,23.25,23.96,-0.7100000000000009,-2.9633,198756.37,469284.9
000034.SZ,20200210,23.3,24.59,23.01,23.96,23.42,0.5399999999999991,2.3057,307178.65,731588.112
000034.SZ,20200207,22.23,23.59,21.91,23.42,21.93,1.490000000000002,6.7943,331418.84,757683.415
000034.SZ,20200206,20.75,22.3,20.49,21.93,20.69,1.2399999999999984,5.9932,272205.12,587668.67
000034.SZ,20200205,20.47,21.52,20.38,20.69,20.21,0.4800000000000004,2.3751,255311.85,534119.977
000034.SZ,20200204,18.7,20.8,18.7,20.21,20.48,-0.2699999999999996,-1.3184,272438.06,544024.631
000034.SZ,20200203,20.48,20.48,20.48,20.48,22.76,-2.280000000000001,-10.0176,20423.0,41826.304
000034.SZ,20200123,24.28,24.28,22.15,22.76,24.6,-1.8399999999999999,-7.4797,292569.91,684041.096
000034.SZ,20200122,24.08,24.75,23.35,24.6,24.33,0.2700000000000031,1.1097,186440.43,450269.576
000034.SZ,20200121,24.43,25.0,23.91,24.33,24.62,-0.2900000000000027,-1.1779,171715.63,418130.677
000034.SZ,20200120,23.52,25.39,23.33,24.62,23.88,0.740000000000002,3.0988,253810.77,618616.839
000034.SZ,20200117,23.76,24.9,23.19,23.88,23.35,0.5299999999999976,2.2698,294209.38,709006.571
000034.SZ,20200116,23.4,23.75,23.05,23.35,23.71,-0.35999999999999943,-1.5183,245808.55,573370.619
000034.SZ,20200115,21.5,23.75,21.22,23.71,21.62,2.09,9.667,412985.51,934916.165
000034.SZ,20200114,21.52,22.27,21.25,21.62,21.56,0.060000000000002274,0.2783,231466.13,501952.837
000034.SZ,20200113,21.07,21.57,20.89,21.56,20.91,0.6499999999999986,3.1086,223263.66,474882.921
000034.SZ,20200110,21.87,21.87,20.91,20.91,21.58,-0.6699999999999982,-3.1047,315784.56,670431.066
000034.SZ,20200109,20.27,21.86,20.26,21.58,19.87,1.7099999999999973,8.6059,488939.81,1039515.654
000034.SZ,20200108,20.55,20.63,19.81,19.87,20.83,-0.9599999999999973,-4.6087,217164.28,438876.615
000034.SZ,20200107,20.0,20.84,19.97,20.83,20.13,0.6999999999999993,3.4774,218148.89,444985.751
000034.SZ,20200106,20.55,20.71,19.9,20.13,20.6,-0.4700000000000024,-2.2816,228467.19,464841.484
000034.SZ,20200103,20.64,21.24,20.33,20.6,20.59,0.010000000000001563,0.0486,217441.99,450649.246
000034.SZ,20200102,19.95,20.76,19.87,20.59,19.85,0.7399999999999984,3.728,173218.95,353160.869
000034.SZ,20191231,20.12,20.25,19.62,19.85,20.14,-0.28999999999999915,-1.4399,131451.0,260929.867
000034.SZ,20191230,20.0,20.17,19.28,20.14,20.4,-0.259999999999998,-1.2745,194645.21,384626.477
000034.SZ,20191227,20.73,21.48,20.35,20.4,20.6,-0.20000000000000284,-0.9709,245890.59,514965.003
000034.SZ,20191226,20.6,20.85,20.3,20.6,20.78,-0.17999999999999972,-0.8662,130056.34,266966.265
000034.SZ,20191225,20.68,21.09,20.48,20.78,20.66,0.120000000000001,0.5808,170455.44,354651.08
000034.SZ,20191224,20.33,20.75,20.11,20.66,20.11,0.5500000000000007,2.735,137459.36,281764.584
000034.SZ,20191223,20.31,20.9,20.01,20.11,20.58,-0.46999999999999886,-2.2838,191452.47,390525.588
000034.SZ,20191220,21.62,21.8,20.58,20.58,21.61,-1.0300000000000011,-4.7663,237407.45,497876.825
000034.SZ,20191219,21.51,21.99,21.26,21.61,21.74,-0.129999999999999,-0.598,167375.13,362296.895
000034.SZ,20191218,21.51,22.45,21.47,21.74,21.6,0.13999999999999702,0.6481,274524.72,601749.769
000034.SZ,20191217,22.02,22.84,21.55,21.6,21.91,-0.3099999999999987,-1.4149,320156.82,704762.607
000034.SZ,20191216,20.7,22.39,20.65,21.91,20.79,1.120000000000001,5.3872,349774.73,747506.477
000034.SZ,20191213,20.5,21.15,20.32,20.79,20.77,0.019999999999999574,0.0963,263239.14,546284.483
000034.SZ,20191212,19.5,21.44,19.5,20.77,19.55,1.2199999999999989,6.2404,367404.88,751793.219
000034.SZ,20191211,19.96,20.4,19.55,19.55,19.97,-0.41999999999999815,-2.1032,204669.95,405985.217
000034.SZ,20191210,20.01,20.11,19.55,19.97,20.21,-0.240000000000002,-1.1875,222900.8,442759.59
000034.SZ,20191209,19.74,20.7,19.6,20.21,19.79,0.4200000000000017,2.1223,353611.12,712211.832
000034.SZ,20191206,18.95,20.15,18.9,19.79,19.07,0.7199999999999989,3.7756,340676.07,665505.479
000034.SZ,20191205,19.05,19.59,18.82,19.07,18.97,0.10000000000000142,0.5271,343085.39,658300.084
000034.SZ,20191204,19.15,19.25,18.75,18.97,19.32,-0.3500000000000014,-1.8116,312079.49,591203.682
000034.SZ,20191203,18.95,19.58,18.62,19.32,18.27,1.0500000000000007,5.7471,564714.97,1074267.518
000034.SZ,20191202,16.9,18.27,16.9,18.27,16.61,1.6600000000000001,9.994,300232.04,528898.88
000034.SZ,20191129,17.07,17.07,16.32,16.61,17.09,-0.4800000000000004,-2.8087,180742.58,299379.863
000034.SZ,20191128,16.87,17.3,16.85,17.09,16.97,0.120000000000001,0.7071,131329.81,223866.606
000034.SZ,20191127,16.7,17.27,16.64,16.97,16.79,0.17999999999999972,1.0721,150066.14,254822.141
000034.SZ,20191126,16.8,17.12,16.63,16.79,16.91,-0.120000000000001,-0.7096,121066.9,203873.734
000034.SZ,20191125,16.89,17.19,16.44,16.91,16.9,0.010000000000001563,0.0592,171751.29,289805.218
000034.SZ,20191122,17.25,17.48,16.66,16.9,17.2,-0.3000000000000007,-1.7442,233320.57,398034.901
000034.SZ,20191121,17.31,17.66,17.06,17.2,17.52,-0.3200000000000003,-1.8265,267529.09,463092.067
000034.SZ,20191120,16.91,18.15,16.78,17.52,16.74,0.7800000000000011,4.6595,475374.32,826377.514
000034.SZ,20191119,15.7,16.74,15.6,16.74,15.22,1.5199999999999978,9.9869,395408.79,649009.646
000034.SZ,20191118,14.9,15.36,14.9,15.22,14.8,0.41999999999999993,2.8378,98913.08,150307.537
000034.SZ,20191115,15.26,15.26,14.8,14.8,15.21,-0.41000000000000014,-2.6956,69416.48,104144.975
000034.SZ,20191114,15.22,15.35,15.01,15.21,15.18,0.030000000000001137,0.1976,72338.84,109910.619
