ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000008.SZ,20200225,3.25,3.26,3.15,3.22,3.31,-0.08999999999999986,-2.719,416061.58,133678.576
000008.SZ,20200224,3.34,3.35,3.26,3.31,3.33,-0.020000000000000018,-0.6006,297425.6,98112.029
000008.SZ,20200221,3.32,3.36,3.29,3.33,3.3,0.03000000000000025,0.9091,290861.09,96757.536
000008.SZ,20200220,3.28,3.32,3.22,3.3,3.31,-0.010000000000000231,-0.3021,374317.68,122613.542
000008.SZ,20200219,3.29,3.39,3.26,3.31,3.3,0.010000000000000231,0.303,408359.21,135516.506
000008.SZ,20200218,3.25,3.34,3.23,3.3,3.23,0.06999999999999984,2.1672,356851.1,117321.654
000008.SZ,20200217,3.1,3.25,3.09,3.23,3.07,0.16000000000000014,5.2117,484404.16,154229.141
000008.SZ,20200214,3.1,3.12,3.05,3.07,3.11,-0.040000000000000036,-1.2862,226426.43,69870.233
000008.SZ,20200213,3.14,3.17,3.1,3.11,3.14,-0.03000000000000025,-0.9554,209356.99,65548.105
000008.SZ,20200212,3.12,3.14,3.1,3.14,3.12,0.020000000000000018,0.641,201407.21,62897.031
000008.SZ,20200211,3.13,3.15,3.11,3.12,3.13,-0.009999999999999787,-0.3195,191646.16,59934.373
000008.SZ,20200210,3.05,3.15,3.04,3.13,3.05,0.08000000000000007,2.623,284092.23,88055.731
000008.SZ,20200207,3.04,3.07,3.01,3.05,3.05,0.0,0.0,249163.67,75691.456
000008.SZ,20200206,3.04,3.07,3.0,3.05,3.04,0.009999999999999787,0.3289,269263.65,82028.982
000008.SZ,20200205,2.95,3.09,2.93,3.04,2.95,0.08999999999999986,3.0508,384704.81,116688.305
000008.SZ,20200204,2.77,2.97,2.77,2.95,3.08,-0.1299999999999999,-4.2208,549886.89,159442.282
000008.SZ,20200203,3.08,3.08,3.08,3.08,3.42,-0.33999999999999986,-9.9415,74616.0,22981.728
000008.SZ,20200123,3.49,3.5,3.38,3.42,3.5,-0.08000000000000007,-2.2857,254384.97,87416.087
000008.SZ,20200122,3.52,3.53,3.42,3.5,3.53,-0.029999999999999805,-0.8499,235127.46,81689.654
000008.SZ,20200121,3.6,3.6,3.52,3.53,3.61,-0.08000000000000007,-2.2161,260821.77,92543.715
000008.SZ,20200120,3.57,3.63,3.55,3.61,3.58,0.029999999999999805,0.838,206043.87,74142.317
000008.SZ,20200117,3.6,3.64,3.58,3.58,3.61,-0.029999999999999805,-0.831,239403.58,86180.829
000008.SZ,20200116,3.73,3.74,3.6,3.61,3.71,-0.10000000000000009,-2.6954,418172.34,152223.741
000008.SZ,20200115,3.79,3.79,3.7,3.71,3.78,-0.06999999999999984,-1.8519,258067.33,96258.8
000008.SZ,20200114,3.75,3.84,3.75,3.78,3.74,0.03999999999999959,1.0695,353841.48,134547.133
000008.SZ,20200113,3.75,3.76,3.7,3.74,3.76,-0.019999999999999574,-0.5319,242298.36,90190.782
000008.SZ,20200110,3.8,3.81,3.75,3.76,3.77,-0.010000000000000231,-0.2653,208852.22,78736.455
000008.SZ,20200109,3.75,3.81,3.74,3.77,3.72,0.04999999999999982,1.3441,304919.63,114905.266
000008.SZ,20200108,3.77,3.83,3.71,3.72,3.79,-0.06999999999999984,-1.847,375007.93,141309.034
000008.SZ,20200107,3.75,3.79,3.73,3.79,3.73,0.06000000000000005,1.6086,317230.07,119491.96
000008.SZ,20200106,3.76,3.79,3.71,3.73,3.75,-0.020000000000000018,-0.5333,349983.44,131147.836
000008.SZ,20200103,3.72,3.75,3.7,3.75,3.71,0.040000000000000036,1.0782,310728.28,115673.79
000008.SZ,20200102,3.66,3.71,3.64,3.71,3.63,0.08000000000000007,2.2039,377467.9,139208.169
000008.SZ,20191231,3.62,3.64,3.61,3.63,3.61,0.020000000000000018,0.554,156918.49,56890.089
000008.SZ,20191230,3.62,3.64,3.57,3.61,3.63,-0.020000000000000018,-0.551,247484.54,89265.707
000008.SZ,20191227,3.65,3.68,3.62,3.63,3.63,0.0,0.0,248982.17,90836.378
000008.SZ,20191226,3.63,3.64,3.6,3.63,3.62,0.009999999999999787,0.2762,177466.33,64175.724
000008.SZ,20191225,3.62,3.64,3.6,3.62,3.62,0.0,0.0,189553.42,68618.739
000008.SZ,20191224,3.63,3.65,3.56,3.62,3.63,-0.009999999999999787,-0.2755,343008.08,123670.06
000008.SZ,20191223,3.66,3.74,3.61,3.63,3.65,-0.020000000000000018,-0.5479,395794.78,145245.656
000008.SZ,20191220,3.7,3.71,3.65,3.65,3.71,-0.06000000000000005,-1.6173,284383.56,104464.425
000008.SZ,20191219,3.68,3.72,3.66,3.71,3.67,0.040000000000000036,1.0899,253090.6,93467.897
000008.SZ,20191218,3.67,3.73,3.66,3.67,3.69,-0.020000000000000018,-0.542,345409.73,127455.737
000008.SZ,20191217,3.61,3.69,3.59,3.69,3.62,0.06999999999999984,1.9337,480272.5,175048.088
000008.SZ,20191216,3.64,3.64,3.56,3.62,3.61,0.010000000000000231,0.277,406839.74,146257.539
000008.SZ,20191213,3.58,3.62,3.58,3.61,3.57,0.040000000000000036,1.1204,311548.71,112181.966
000008.SZ,20191212,3.64,3.66,3.57,3.57,3.64,-0.07000000000000028,-1.9231,287827.27,103918.154
000008.SZ,20191211,3.66,3.67,3.6,3.64,3.68,-0.040000000000000036,-1.087,234679.23,85255.475
000008.SZ,20191210,3.67,3.73,3.62,3.68,3.67,0.010000000000000231,0.2725,394747.05,144545.809
000008.SZ,20191209,3.87,3.9,3.66,3.67,3.82,-0.1499999999999999,-3.9267,638867.77,239214.134
000008.SZ,20191206,3.73,3.85,3.69,3.82,3.69,0.1299999999999999,3.523,611924.7,232450.669
000008.SZ,20191205,3.58,3.77,3.55,3.69,3.57,0.1200000000000001,3.3613,559154.86,205343.4
000008.SZ,20191204,3.53,3.59,3.51,3.57,3.52,0.04999999999999982,1.4205,227273.9,80552.974
000008.SZ,20191203,3.52,3.52,3.48,3.52,3.52,0.0,0.0,98012.09,34269.86
000008.SZ,20191202,3.52,3.54,3.49,3.52,3.51,0.010000000000000231,0.2849,129144.22,45453.765
000008.SZ,20191129,3.49,3.51,3.47,3.51,3.48,0.029999999999999805,0.8621,147890.03,51626.363
000008.SZ,20191128,3.5,3.51,3.47,3.48,3.49,-0.010000000000000231,-0.2865,162783.09,56813.293
000008.SZ,20191127,3.51,3.53,3.47,3.49,3.51,-0.019999999999999574,-0.5698,227859.31,79627.932
000008.SZ,20191126,3.49,3.52,3.46,3.51,3.5,0.009999999999999787,0.2857,191236.6,66798.253
000008.SZ,20191125,3.44,3.53,3.44,3.5,3.42,0.08000000000000007,2.3392,237752.63,82806.798
000008.SZ,20191122,3.41,3.46,3.4,3.42,3.39,0.029999999999999805,0.885,186423.54,64040.562
000008.SZ,20191121,3.42,3.42,3.37,3.39,3.42,-0.029999999999999805,-0.8772,89789.78,30448.519
000008.SZ,20191120,3.43,3.44,3.4,3.42,3.43,-0.010000000000000231,-0.2915,131683.7,45066.613
000008.SZ,20191119,3.36,3.49,3.35,3.43,3.33,0.10000000000000009,3.003,219959.79,75367.072
000008.SZ,20191118,3.32,3.34,3.31,3.33,3.32,0.010000000000000231,0.3012,106925.57,35549.462
000008.SZ,20191115,3.36,3.36,3.32,3.32,3.35,-0.03000000000000025,-0.8955,115501.99,38539.017
000008.SZ,20191114,3.34,3.37,3.34,3.35,3.33,0.020000000000000018,0.6006,102709.21,34436.708
000008.SZ,20191113,3.34,3.36,3.31,3.33,3.36,-0.029999999999999805,-0.8929,114989.0,38328.152
000008.SZ,20191112,3.37,3.39,3.31,3.36,3.37,-0.010000000000000231,-0.2967,170797.57,57208.882
000008.SZ,20191111,3.43,3.43,3.37,3.37,3.43,-0.06000000000000005,-1.7493,171450.81,58101.931
000008.SZ,20191108,3.45,3.46,3.42,3.43,3.43,0.0,0.0,113217.37,38883.498
000008.SZ,20191107,3.41,3.45,3.41,3.43,3.43,0.0,0.0,109677.37,37642.123
000008.SZ,20191106,3.44,3.46,3.4,3.43,3.45,-0.020000000000000018,-0.5797,152337.16,52261.625
000008.SZ,20191105,3.46,3.48,3.43,3.45,3.46,-0.009999999999999787,-0.289,137577.03,47515.245
000008.SZ,20191104,3.48,3.5,3.44,3.46,3.48,-0.020000000000000018,-0.5747,149694.89,51961.277
000008.SZ,20191101,3.43,3.48,3.42,3.48,3.43,0.04999999999999982,1.4577,140835.63,48705.057
000008.SZ,20191031,3.44,3.47,3.42,3.43,3.45,-0.020000000000000018,-0.5797,164355.59,56478.327
000008.SZ,20191030,3.51,3.52,3.44,3.45,3.52,-0.06999999999999984,-1.9886,218204.21,75770.931
000008.SZ,20191029,3.58,3.58,3.52,3.52,3.58,-0.06000000000000005,-1.676,211305.2,74901.536
000008.SZ,20191028,3.54,3.59,3.54,3.58,3.56,0.020000000000000018,0.5618,238839.35,85136.423
000008.SZ,20191025,3.55,3.56,3.5,3.56,3.53,0.03000000000000025,0.8499,174074.92,61465.164
000008.SZ,20191024,3.51,3.56,3.47,3.53,3.52,0.009999999999999787,0.2841,212353.05,74939.848
000008.SZ,20191023,3.6,3.61,3.49,3.52,3.59,-0.06999999999999984,-1.9499,310228.43,109625.963
000008.SZ,20191022,3.56,3.61,3.54,3.59,3.55,0.040000000000000036,1.1268,224326.1,80314.494
000008.SZ,20191021,3.5,3.58,3.47,3.55,3.54,0.009999999999999787,0.2825,227450.71,80151.945
000008.SZ,20191018,3.58,3.6,3.53,3.54,3.59,-0.04999999999999982,-1.3928,215458.81,76652.36
000008.SZ,20191017,3.56,3.59,3.52,3.59,3.56,0.029999999999999805,0.8427,248367.34,88380.984
000008.SZ,20191016,3.6,3.62,3.54,3.56,3.59,-0.029999999999999805,-0.8357,289510.4,103429.782
000008.SZ,20191015,3.6,3.64,3.55,3.59,3.58,0.009999999999999787,0.2793,394369.72,141556.099
000008.SZ,20191014,3.55,3.59,3.54,3.58,3.51,0.07000000000000028,1.9943,386196.3,137670.591
000008.SZ,20191011,3.49,3.52,3.45,3.51,3.48,0.029999999999999805,0.8621,257118.07,89482.591
