ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300564.SZ,20200225,31.1,31.7,30.12,31.04,31.97,-0.9299999999999997,-2.909,25972.86,80591.912
300564.SZ,20200224,31.63,32.09,31.0,31.97,31.77,0.1999999999999993,0.6295,23784.37,74838.875
300564.SZ,20200221,31.56,32.19,31.5,31.77,31.61,0.16000000000000014,0.5062,20794.26,66115.219
300564.SZ,20200220,31.22,31.65,30.88,31.61,31.22,0.39000000000000057,1.2492,19155.48,60067.443
300564.SZ,20200219,31.6,31.77,31.11,31.22,31.72,-0.5,-1.5763,18981.63,59696.445
300564.SZ,20200218,31.01,31.8,30.83,31.72,31.02,0.6999999999999993,2.2566,26436.95,82641.886
300564.SZ,20200217,30.03,31.29,30.01,31.02,30.09,0.9299999999999997,3.0907,23827.92,73313.211
300564.SZ,20200214,29.75,30.24,29.52,30.09,29.93,0.16000000000000014,0.5346,15648.36,46843.463
300564.SZ,20200213,30.42,30.63,29.88,29.93,30.55,-0.620000000000001,-2.0295,18721.15,56517.492
300564.SZ,20200212,30.01,30.65,29.87,30.55,30.15,0.40000000000000213,1.3267,18311.94,55566.527
300564.SZ,20200211,30.2,30.7,29.81,30.15,30.4,-0.25,-0.8224,18147.45,54852.563
300564.SZ,20200210,29.5,30.58,29.31,30.4,29.47,0.9299999999999997,3.1558,23856.97,71735.546
300564.SZ,20200207,29.43,29.64,29.09,29.47,29.36,0.10999999999999943,0.3747,21475.54,63040.55
300564.SZ,20200206,29.0,29.45,28.65,29.36,28.92,0.4399999999999977,1.5214,21099.22,61457.86
300564.SZ,20200205,28.4,29.47,28.4,28.92,28.5,0.4200000000000017,1.4737,20695.6,59992.732
300564.SZ,20200204,27.55,29.1,27.55,28.5,30.6,-2.1000000000000014,-6.8627,31560.86,89796.092
300564.SZ,20200203,30.6,30.6,30.6,30.6,34.0,-3.3999999999999986,-10.0,3472.0,10624.32
300564.SZ,20200123,35.79,35.98,33.64,34.0,36.14,-2.1400000000000006,-5.9214,23501.53,81914.661
300564.SZ,20200122,36.69,36.79,36.06,36.14,36.7,-0.5600000000000023,-1.5259,22518.58,82052.284
300564.SZ,20200121,36.76,37.0,36.3,36.7,36.87,-0.1699999999999946,-0.4611,20478.36,74955.771
300564.SZ,20200120,36.56,37.12,36.28,36.87,36.85,0.01999999999999602,0.0543,19984.57,73428.489
300564.SZ,20200117,37.38,37.76,36.81,36.85,37.36,-0.509999999999998,-1.3651,19941.12,74374.766
300564.SZ,20200116,38.0,38.19,37.32,37.36,38.13,-0.7700000000000031,-2.0194,26619.95,100268.291
300564.SZ,20200115,38.49,38.76,38.0,38.13,38.39,-0.259999999999998,-0.6773,34294.63,131654.426
300564.SZ,20200114,37.94,38.39,37.37,38.39,37.91,0.480000000000004,1.2662,34955.42,132245.634
300564.SZ,20200113,37.5,38.56,37.49,37.91,37.3,0.6099999999999994,1.6354,35883.68,136367.399
300564.SZ,20200110,37.07,37.5,36.82,37.3,36.8,0.5,1.3587,29039.63,108048.943
