ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600210.SH,20200225,4.98,4.99,4.78,4.99,4.54,0.4500000000000002,9.9119,2099998.59,1037424.797
600210.SH,20200224,4.54,4.54,4.54,4.54,4.13,0.41000000000000014,9.9274,62074.06,28181.623
600210.SH,20200221,4.13,4.13,4.13,4.13,3.75,0.3799999999999999,10.1333,109440.82,45199.059
600210.SH,20200220,3.66,3.76,3.64,3.75,3.64,0.10999999999999988,3.022,145488.89,53782.577
600210.SH,20200219,3.68,3.76,3.62,3.64,3.7,-0.06000000000000005,-1.6216,180963.48,66860.105
600210.SH,20200218,3.63,3.72,3.6,3.7,3.59,0.11000000000000032,3.0641,168237.91,61725.189
600210.SH,20200217,3.48,3.61,3.46,3.59,3.46,0.1299999999999999,3.7572,153823.82,54717.292
600210.SH,20200214,3.45,3.48,3.43,3.46,3.46,0.0,0.0,79771.24,27520.506
600210.SH,20200213,3.52,3.56,3.44,3.46,3.52,-0.06000000000000005,-1.7045,97794.23,34142.946
600210.SH,20200212,3.51,3.53,3.48,3.52,3.5,0.020000000000000018,0.5714,75143.53,26303.422
600210.SH,20200211,3.5,3.54,3.48,3.5,3.51,-0.009999999999999787,-0.2849,83668.28,29365.295
600210.SH,20200210,3.43,3.51,3.41,3.51,3.44,0.06999999999999984,2.0349,98551.82,34217.117
600210.SH,20200207,3.46,3.48,3.39,3.44,3.46,-0.020000000000000018,-0.578,92669.53,31767.529
600210.SH,20200206,3.4,3.48,3.35,3.46,3.4,0.06000000000000005,1.7647,116354.93,39861.254
600210.SH,20200205,3.35,3.45,3.34,3.4,3.35,0.04999999999999982,1.4925,117781.44,40061.291
600210.SH,20200204,3.17,3.4,3.17,3.35,3.36,-0.009999999999999787,-0.2976,172379.87,57311.314
600210.SH,20200203,3.36,3.36,3.36,3.36,3.73,-0.3700000000000001,-9.9196,81293.0,27314.448
600210.SH,20200123,3.83,3.84,3.7,3.73,3.87,-0.14000000000000012,-3.6176,91646.9,34535.477
600210.SH,20200122,3.85,3.88,3.76,3.87,3.86,0.010000000000000231,0.2591,90387.78,34530.752
