ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600152.SH,20200225,7.83,8.38,7.79,8.34,8.2,0.14000000000000057,1.7073,261775.84,213312.652
600152.SH,20200224,8.08,8.33,7.76,8.2,8.04,0.16000000000000014,1.99,289380.55,233255.549
600152.SH,20200221,7.4,8.15,7.37,8.04,7.42,0.6199999999999992,8.3558,296852.62,230616.089
600152.SH,20200220,7.22,7.52,7.22,7.42,7.38,0.040000000000000036,0.542,175967.34,129803.254
600152.SH,20200219,7.62,8.09,7.01,7.38,7.61,-0.23000000000000043,-3.0223,272655.25,209782.414
600152.SH,20200218,7.41,7.66,7.33,7.61,7.41,0.20000000000000018,2.6991,197899.47,148431.588
600152.SH,20200217,7.31,7.46,7.24,7.41,7.24,0.16999999999999993,2.3481,167944.67,123737.378
600152.SH,20200214,7.08,7.24,7.02,7.24,7.12,0.1200000000000001,1.6854,126586.65,90126.225
600152.SH,20200213,7.46,7.52,7.1,7.12,7.41,-0.29000000000000004,-3.9136,152293.01,110073.311
600152.SH,20200212,7.14,7.45,7.1,7.41,7.16,0.25,3.4916,198123.46,144929.946
600152.SH,20200211,7.3,7.37,7.0,7.16,7.37,-0.20999999999999996,-2.8494,155235.51,111232.412
600152.SH,20200210,7.71,7.71,7.23,7.37,7.83,-0.45999999999999996,-5.8748,262324.07,193395.411
600152.SH,20200207,7.4,7.83,7.2,7.83,7.12,0.71,9.9719,408191.93,306651.729
600152.SH,20200206,6.38,7.12,6.35,7.12,6.47,0.6500000000000004,10.0464,296947.53,202766.263
600152.SH,20200205,6.3,6.56,6.18,6.47,6.3,0.16999999999999993,2.6984,183622.67,117478.501
600152.SH,20200204,5.83,6.38,5.83,6.3,6.31,-0.009999999999999787,-0.1585,194889.05,121151.413
600152.SH,20200203,6.31,6.53,6.31,6.31,7.01,-0.7000000000000002,-9.9857,152295.5,96679.492
600152.SH,20200123,7.24,7.58,6.67,7.01,7.4,-0.39000000000000057,-5.2703,225279.19,161561.887
600152.SH,20200122,7.36,7.84,7.16,7.4,7.28,0.1200000000000001,1.6484,336300.87,251562.965
600152.SH,20200121,7.4,7.67,7.17,7.28,7.09,0.1900000000000004,2.6798,336987.87,249393.095
600152.SH,20200120,6.76,7.25,6.76,7.09,6.7,0.3899999999999997,5.8209,165914.79,116742.786
600152.SH,20200117,6.84,6.89,6.68,6.7,6.85,-0.14999999999999947,-2.1898,66378.52,44886.888
600152.SH,20200116,7.05,7.05,6.83,6.85,6.98,-0.13000000000000078,-1.8625,79132.97,54690.847
600152.SH,20200115,7.05,7.12,6.91,6.98,7.15,-0.16999999999999993,-2.3776,98470.07,68831.592
600152.SH,20200114,6.85,7.23,6.82,7.15,6.87,0.28000000000000025,4.0757,179846.92,127068.568
600152.SH,20200113,6.76,6.89,6.7,6.87,6.84,0.03000000000000025,0.4386,79706.91,54143.732
