ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600770.SH,20200225,5.82,6.01,5.52,5.94,6.01,-0.0699999999999994,-1.1647,518897.31,301773.921
600770.SH,20200224,5.75,6.04,5.66,6.01,5.86,0.14999999999999947,2.5597,582989.89,342012.796
600770.SH,20200221,5.56,5.88,5.51,5.86,5.53,0.33000000000000007,5.9675,583200.18,332982.872
600770.SH,20200220,5.41,5.58,5.35,5.53,5.43,0.10000000000000053,1.8416,337576.8,184614.396
600770.SH,20200219,5.45,5.77,5.38,5.43,5.53,-0.10000000000000053,-1.8083,394398.17,218164.87
600770.SH,20200218,5.22,5.68,5.18,5.53,5.22,0.3100000000000005,5.9387,455741.77,247375.258
600770.SH,20200217,5.07,5.24,5.04,5.22,5.1,0.1200000000000001,2.3529,215639.34,111032.223
600770.SH,20200214,4.9,5.34,4.87,5.1,4.94,0.15999999999999925,3.2389,288611.79,147820.493
600770.SH,20200213,4.97,5.1,4.86,4.94,4.96,-0.019999999999999574,-0.4032,207717.55,103616.61
600770.SH,20200212,4.83,4.97,4.8,4.96,4.81,0.15000000000000036,3.1185,155453.27,76199.352
600770.SH,20200211,4.89,4.9,4.8,4.81,4.89,-0.08000000000000007,-1.636,105605.86,51016.669
600770.SH,20200210,4.81,4.9,4.77,4.89,4.84,0.04999999999999982,1.0331,134087.54,64758.211
600770.SH,20200207,4.75,4.85,4.67,4.84,4.7,0.13999999999999968,2.9787,174659.06,83020.641
600770.SH,20200206,4.6,4.74,4.56,4.7,4.59,0.11000000000000032,2.3965,148838.7,69390.351
600770.SH,20200205,4.55,4.68,4.53,4.59,4.51,0.08000000000000007,1.7738,140705.81,64892.624
600770.SH,20200204,4.21,4.6,4.21,4.51,4.66,-0.15000000000000036,-3.2189,179364.23,80641.825
600770.SH,20200203,4.66,4.67,4.66,4.66,5.18,-0.5199999999999996,-10.0386,69670.0,32467.133
600770.SH,20200123,5.47,5.47,5.1,5.18,5.52,-0.33999999999999986,-6.1594,230900.99,122314.463
600770.SH,20200122,5.59,5.6,5.4,5.52,5.56,-0.040000000000000036,-0.7194,227615.14,125184.377
600770.SH,20200121,5.46,5.62,5.35,5.56,5.47,0.08999999999999986,1.6453,267567.03,147025.967
600770.SH,20200120,5.41,5.48,5.33,5.47,5.41,0.05999999999999961,1.1091,121037.84,65778.656
600770.SH,20200117,5.52,5.53,5.37,5.41,5.51,-0.09999999999999964,-1.8149,127095.52,69134.351
600770.SH,20200116,5.55,5.59,5.48,5.51,5.53,-0.020000000000000462,-0.3617,104397.0,57668.274
600770.SH,20200115,5.56,5.57,5.47,5.53,5.59,-0.05999999999999961,-1.0733,141842.14,78222.899
600770.SH,20200114,5.68,5.76,5.56,5.59,5.67,-0.08000000000000007,-1.4109,165755.02,93583.847
600770.SH,20200113,5.63,5.68,5.53,5.67,5.63,0.040000000000000036,0.7105,146514.96,82098.196
600770.SH,20200110,5.76,5.77,5.57,5.63,5.77,-0.13999999999999968,-2.4263,203263.02,115043.408
600770.SH,20200109,5.66,5.77,5.62,5.77,5.6,0.16999999999999993,3.0357,246830.16,140789.93
600770.SH,20200108,5.72,5.77,5.57,5.6,5.75,-0.15000000000000036,-2.6087,255388.87,144766.034
600770.SH,20200107,5.73,5.85,5.62,5.75,5.68,0.07000000000000028,1.2324,280525.26,160628.279
600770.SH,20200106,5.59,5.75,5.56,5.68,5.64,0.040000000000000036,0.7092,197011.98,111857.463
600770.SH,20200103,5.59,5.67,5.54,5.64,5.53,0.10999999999999943,1.9892,187695.91,105373.616
600770.SH,20200102,5.45,5.62,5.42,5.53,5.39,0.14000000000000057,2.5974,169287.85,93579.841
600770.SH,20191231,5.39,5.47,5.35,5.39,5.43,-0.040000000000000036,-0.7366,80736.6,43592.078
600770.SH,20191230,5.37,5.44,5.25,5.43,5.42,0.009999999999999787,0.1845,115281.28,61813.0
600770.SH,20191227,5.53,5.58,5.42,5.42,5.54,-0.1200000000000001,-2.1661,114487.83,62946.238
