ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000667.SZ,20200225,2.7,2.7,2.64,2.67,2.71,-0.040000000000000036,-1.476,256854.0,68532.133
000667.SZ,20200224,2.7,2.73,2.68,2.71,2.7,0.009999999999999787,0.3704,224197.48,60702.147
000667.SZ,20200221,2.63,2.7,2.63,2.7,2.64,0.06000000000000005,2.2727,262079.12,69929.478
000667.SZ,20200220,2.63,2.64,2.6,2.64,2.62,0.020000000000000018,0.7634,159837.1,41908.757
000667.SZ,20200219,2.64,2.65,2.61,2.62,2.64,-0.020000000000000018,-0.7576,121040.28,31858.57
000667.SZ,20200218,2.65,2.66,2.63,2.64,2.66,-0.020000000000000018,-0.7519,199427.01,52712.794
000667.SZ,20200217,2.64,2.66,2.62,2.66,2.64,0.020000000000000018,0.7576,229010.64,60516.827
000667.SZ,20200214,2.65,2.68,2.62,2.64,2.66,-0.020000000000000018,-0.7519,141499.69,37442.218
000667.SZ,20200213,2.62,2.67,2.61,2.66,2.63,0.03000000000000025,1.1407,197037.69,52263.088
000667.SZ,20200212,2.57,2.63,2.56,2.63,2.58,0.04999999999999982,1.938,262867.81,68401.493
000667.SZ,20200211,2.55,2.59,2.53,2.58,2.55,0.03000000000000025,1.1765,344228.35,87985.172
000667.SZ,20200210,2.62,2.62,2.53,2.55,2.56,-0.010000000000000231,-0.3906,215782.52,55275.549
000667.SZ,20200207,2.5,2.57,2.47,2.56,2.49,0.06999999999999984,2.8112,283474.4,71643.413
000667.SZ,20200206,2.35,2.53,2.33,2.49,2.37,0.1200000000000001,5.0633,507252.64,122425.813
000667.SZ,20200205,2.26,2.42,2.21,2.37,2.4,-0.029999999999999805,-1.25,995465.6,231958.288
000667.SZ,20200204,2.19,2.49,2.19,2.4,2.43,-0.03000000000000025,-1.2346,1353507.3,301178.895
000667.SZ,20200203,2.58,2.58,2.43,2.43,2.7,-0.27,-10.0,148394.0,37393.768
000667.SZ,20200123,2.71,2.72,2.67,2.7,2.71,-0.009999999999999787,-0.369,124163.79,33434.63
000667.SZ,20200122,2.69,2.72,2.66,2.71,2.69,0.020000000000000018,0.7435,119842.9,32298.574
000667.SZ,20200121,2.69,2.7,2.67,2.69,2.69,0.0,0.0,90802.07,24365.652
000667.SZ,20200120,2.7,2.71,2.68,2.69,2.7,-0.010000000000000231,-0.3704,88474.91,23830.896
000667.SZ,20200117,2.7,2.71,2.68,2.7,2.7,0.0,0.0,91901.97,24739.97
000667.SZ,20200116,2.7,2.7,2.67,2.7,2.7,0.0,0.0,170145.02,45729.075
000667.SZ,20200115,2.71,2.71,2.69,2.7,2.72,-0.020000000000000018,-0.7353,90380.9,24388.194
000667.SZ,20200114,2.73,2.74,2.7,2.72,2.73,-0.009999999999999787,-0.3663,131404.01,35721.449
000667.SZ,20200113,2.73,2.74,2.71,2.73,2.74,-0.010000000000000231,-0.365,91329.48,24843.357
000667.SZ,20200110,2.75,2.76,2.72,2.74,2.75,-0.009999999999999787,-0.3636,87385.0,23877.127
000667.SZ,20200109,2.74,2.76,2.73,2.75,2.74,0.009999999999999787,0.365,148208.43,40701.128
000667.SZ,20200108,2.76,2.77,2.73,2.74,2.77,-0.029999999999999805,-1.083,87685.66,24086.643
000667.SZ,20200107,2.76,2.78,2.75,2.77,2.76,0.010000000000000231,0.3623,150085.28,41449.383
000667.SZ,20200106,2.75,2.77,2.73,2.76,2.76,0.0,0.0,124284.31,34204.635
000667.SZ,20200103,2.74,2.77,2.72,2.76,2.75,0.009999999999999787,0.3636,132025.2,36227.012
000667.SZ,20200102,2.74,2.76,2.73,2.75,2.73,0.020000000000000018,0.7326,122075.01,33499.999
000667.SZ,20191231,2.69,2.74,2.69,2.73,2.69,0.040000000000000036,1.487,102127.34,27791.596
000667.SZ,20191230,2.69,2.71,2.68,2.69,2.71,-0.020000000000000018,-0.738,98082.0,26421.651
000667.SZ,20191227,2.72,2.73,2.7,2.71,2.73,-0.020000000000000018,-0.7326,99259.6,26924.29
000667.SZ,20191226,2.73,2.74,2.71,2.73,2.73,0.0,0.0,88605.01,24105.262
000667.SZ,20191225,2.73,2.74,2.71,2.73,2.73,0.0,0.0,77750.12,21152.608
000667.SZ,20191224,2.72,2.73,2.7,2.73,2.73,0.0,0.0,128291.48,34800.155
000667.SZ,20191223,2.77,2.78,2.71,2.73,2.78,-0.04999999999999982,-1.7986,182443.06,49847.253
000667.SZ,20191220,2.76,2.79,2.74,2.78,2.76,0.020000000000000018,0.7246,136761.04,37793.074
