ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300818.SZ,20200225,41.09,43.55,41.09,43.0,41.49,1.509999999999998,3.6394,49067.93,210118.971
300818.SZ,20200224,40.81,41.6,40.6,41.49,41.75,-0.259999999999998,-0.6228,32970.04,135908.096
300818.SZ,20200221,42.7,42.9,41.5,41.75,43.51,-1.759999999999998,-4.045,52514.4,220402.756
300818.SZ,20200220,45.14,45.59,43.22,43.51,47.14,-3.6300000000000026,-7.7005,67068.21,296426.635
300818.SZ,20200219,49.01,49.01,45.94,47.14,44.56,2.5799999999999983,5.7899,107053.55,508275.831
300818.SZ,20200218,44.56,44.56,44.56,44.56,40.51,4.050000000000004,9.9975,1299.0,5788.344
300818.SZ,20200217,40.51,40.51,40.51,40.51,36.83,3.6799999999999997,9.9919,400.0,1620.4
300818.SZ,20200214,36.83,36.83,36.83,36.83,33.48,3.3500000000000014,10.006,307.08,1130.975
300818.SZ,20200213,33.48,33.48,33.48,33.48,30.44,3.0399999999999956,9.9869,305.07,1021.374
300818.SZ,20200212,25.37,30.44,25.37,30.44,21.14,9.3,43.9924,755.39,2295.1
