ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600893.SH,20200225,24.6,24.95,23.3,24.49,25.44,-0.9500000000000028,-3.7343,463627.4,1126488.432
600893.SH,20200224,25.69,25.86,25.13,25.44,26.18,-0.7399999999999984,-2.8266,394070.33,1003288.778
600893.SH,20200221,25.1,27.0,24.8,26.18,25.07,1.1099999999999994,4.4276,622103.82,1606164.539
600893.SH,20200220,25.71,25.71,24.55,25.07,26.22,-1.1499999999999986,-4.386,766867.36,1929948.642
600893.SH,20200219,25.0,26.85,24.71,26.22,24.41,1.8099999999999987,7.415,1300988.33,3384993.7
600893.SH,20200218,24.41,24.41,24.41,24.41,22.19,2.219999999999999,10.0045,53826.88,131391.414
600893.SH,20200217,22.12,22.19,21.55,22.19,20.17,2.0199999999999996,10.0149,165703.42,365241.924
600893.SH,20200214,20.04,20.31,19.97,20.17,20.06,0.11000000000000298,0.5484,67004.32,135036.754
600893.SH,20200213,20.5,20.56,20.04,20.06,20.56,-0.5,-2.4319,104553.58,211477.174
600893.SH,20200212,20.41,20.6,20.31,20.56,20.4,0.16000000000000014,0.7843,67113.77,137553.167
600893.SH,20200211,20.5,20.62,20.36,20.4,20.49,-0.08999999999999986,-0.4392,81070.56,166258.684
600893.SH,20200210,20.73,20.8,20.36,20.49,20.8,-0.3100000000000023,-1.4904,110507.47,226718.002
600893.SH,20200207,20.18,21.0,20.03,20.8,20.18,0.620000000000001,3.0723,119896.46,244178.108
600893.SH,20200206,20.07,20.35,19.86,20.18,19.95,0.23000000000000043,1.1529,112372.42,226481.847
600893.SH,20200205,19.67,20.18,19.52,19.95,19.7,0.25,1.269,119397.31,238114.152
600893.SH,20200204,19.3,19.77,19.08,19.7,19.43,0.2699999999999996,1.3896,136669.98,267244.375
600893.SH,20200203,19.43,19.72,19.43,19.43,21.59,-2.16,-10.0046,121311.74,235948.451
600893.SH,20200123,21.8,22.37,21.2,21.59,21.91,-0.3200000000000003,-1.4605,114844.07,249919.175
600893.SH,20200122,21.99,21.99,21.51,21.91,22.08,-0.16999999999999815,-0.7699,84560.93,183922.795
600893.SH,20200121,22.25,22.68,21.98,22.08,22.25,-0.1700000000000017,-0.764,113292.29,252501.836
600893.SH,20200120,22.29,22.55,22.13,22.25,22.24,0.010000000000001563,0.045,99787.17,222064.68
600893.SH,20200117,22.27,22.53,22.11,22.24,22.27,-0.030000000000001137,-0.1347,86095.14,191376.981
600893.SH,20200116,22.34,22.68,22.24,22.27,22.22,0.05000000000000071,0.225,63210.71,141895.877
600893.SH,20200115,22.53,22.59,22.16,22.22,22.54,-0.3200000000000003,-1.4197,82246.75,183286.59
600893.SH,20200114,22.83,23.09,22.46,22.54,22.58,-0.03999999999999915,-0.1771,84608.37,192800.808
600893.SH,20200113,22.69,22.87,22.35,22.58,22.75,-0.1700000000000017,-0.7473,78670.74,177509.869
600893.SH,20200110,22.9,23.22,22.54,22.75,23.04,-0.28999999999999915,-1.2587,73782.21,168236.981
600893.SH,20200109,22.78,23.23,22.67,23.04,23.21,-0.1700000000000017,-0.7324,97092.75,222817.361
600893.SH,20200108,23.15,23.6,22.98,23.21,23.0,0.21000000000000085,0.913,186023.81,432705.982
600893.SH,20200107,22.19,23.1,22.19,23.0,22.3,0.6999999999999993,3.139,161767.89,368997.219
600893.SH,20200106,22.67,23.12,22.14,22.3,22.44,-0.14000000000000057,-0.6239,157699.17,355255.24
600893.SH,20200103,22.43,22.59,22.15,22.44,22.37,0.07000000000000028,0.3129,122536.56,274513.048
600893.SH,20200102,21.7,22.76,21.56,22.37,21.68,0.6900000000000013,3.1827,159696.37,356074.301
600893.SH,20191231,21.5,21.69,21.28,21.68,21.46,0.21999999999999886,1.0252,98556.05,211780.033
600893.SH,20191230,20.58,21.48,20.44,21.46,20.65,0.8100000000000023,3.9225,150942.22,318117.0
600893.SH,20191227,20.31,20.76,20.31,20.65,20.36,0.28999999999999915,1.4244,83186.85,171184.485
600893.SH,20191226,19.95,20.37,19.91,20.36,19.99,0.370000000000001,1.8509,55868.45,112732.746
600893.SH,20191225,20.08,20.17,19.93,19.99,20.05,-0.060000000000002274,-0.2993,61597.19,123466.04
600893.SH,20191224,19.9,20.08,19.9,20.05,19.83,0.22000000000000242,1.1094,37027.36,74068.243
600893.SH,20191223,20.26,20.38,19.82,19.83,20.31,-0.4800000000000004,-2.3634,67584.18,136103.387
600893.SH,20191220,20.63,20.71,20.31,20.31,20.65,-0.33999999999999986,-1.6465,60220.15,122975.881
600893.SH,20191219,20.6,20.76,20.55,20.65,20.62,0.029999999999997584,0.1455,52773.55,108941.068
600893.SH,20191218,20.86,20.86,20.62,20.62,20.73,-0.10999999999999943,-0.5306,58914.78,122068.879
600893.SH,20191217,20.62,20.92,20.6,20.73,20.67,0.05999999999999872,0.2903,96145.01,199409.389
600893.SH,20191216,20.39,20.76,20.26,20.67,20.33,0.3400000000000034,1.6724,92735.31,190789.603
600893.SH,20191213,20.24,20.34,20.1,20.33,20.18,0.14999999999999858,0.7433,72951.23,147471.678
600893.SH,20191212,20.19,20.29,20.08,20.18,20.15,0.030000000000001137,0.1489,42358.09,85347.086
600893.SH,20191211,20.3,20.3,20.07,20.15,20.17,-0.020000000000003126,-0.0992,32296.14,65095.075
600893.SH,20191210,20.2,20.31,20.15,20.17,20.29,-0.11999999999999744,-0.5914,30980.78,62559.563
600893.SH,20191209,20.4,20.47,20.18,20.29,20.47,-0.17999999999999972,-0.8793,39759.31,80644.296
600893.SH,20191206,20.5,20.61,20.26,20.47,20.5,-0.030000000000001137,-0.1463,35215.07,71809.087
600893.SH,20191205,20.26,20.59,20.2,20.5,20.28,0.21999999999999886,1.0848,48769.16,99687.502
600893.SH,20191204,19.87,20.3,19.78,20.28,19.97,0.3100000000000023,1.5523,50928.35,102689.099
600893.SH,20191203,20.1,20.1,19.78,19.97,20.12,-0.15000000000000213,-0.7455,47484.05,94598.631
600893.SH,20191202,20.27,20.27,20.04,20.12,20.28,-0.16000000000000014,-0.789,23795.79,47868.16
600893.SH,20191129,20.16,20.28,19.99,20.28,20.15,0.13000000000000256,0.6452,32999.4,66540.859
600893.SH,20191128,20.08,20.19,19.96,20.15,20.15,0.0,0.0,22480.36,45218.655
600893.SH,20191127,20.16,20.16,19.92,20.15,20.36,-0.21000000000000085,-1.0314,37914.81,75949.882
600893.SH,20191126,20.05,20.36,19.89,20.36,19.96,0.3999999999999986,2.004,66241.28,133361.857
600893.SH,20191125,20.01,20.02,19.75,19.96,20.02,-0.05999999999999872,-0.2997,36645.67,72991.228
600893.SH,20191122,19.92,20.13,19.77,20.02,19.99,0.030000000000001137,0.1501,51898.68,103662.175
600893.SH,20191121,19.5,20.1,19.44,19.99,19.51,0.4799999999999969,2.4603,74627.31,148538.464
600893.SH,20191120,19.63,19.71,19.5,19.51,19.63,-0.11999999999999744,-0.6113,40747.2,79867.268
600893.SH,20191119,19.54,19.83,19.53,19.63,19.59,0.03999999999999915,0.2042,56994.38,112139.178
600893.SH,20191118,19.24,19.65,19.15,19.59,19.17,0.41999999999999815,2.1909,55076.95,106995.725
600893.SH,20191115,19.8,19.85,19.17,19.17,19.8,-0.629999999999999,-3.1818,73269.88,142005.891
600893.SH,20191114,19.93,19.98,19.71,19.8,19.95,-0.14999999999999858,-0.7519,50296.6,99688.38
600893.SH,20191113,19.88,20.0,19.76,19.95,19.9,0.05000000000000071,0.2513,32717.05,65145.046
600893.SH,20191112,19.9,19.99,19.65,19.9,19.96,-0.060000000000002274,-0.3006,50765.8,100601.028
600893.SH,20191111,20.32,20.38,19.8,19.96,20.48,-0.5199999999999996,-2.5391,100174.37,200506.05
600893.SH,20191108,21.21,21.25,20.41,20.48,21.34,-0.8599999999999994,-4.03,146046.76,303908.766
