ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600151.SH,20200225,4.51,4.76,4.5,4.71,4.76,-0.04999999999999982,-1.0504,247223.67,114445.647
600151.SH,20200224,4.74,4.92,4.68,4.76,4.72,0.040000000000000036,0.8475,297715.56,142264.424
600151.SH,20200221,4.52,4.97,4.49,4.72,4.53,0.1899999999999995,4.1943,420761.06,199444.473
600151.SH,20200220,4.49,4.57,4.44,4.53,4.48,0.04999999999999982,1.1161,145190.63,65296.711
600151.SH,20200219,4.49,4.56,4.41,4.48,4.53,-0.04999999999999982,-1.1038,169067.74,75949.205
600151.SH,20200218,4.38,4.56,4.37,4.53,4.38,0.15000000000000036,3.4247,231751.2,103751.312
600151.SH,20200217,4.17,4.39,4.16,4.38,4.15,0.22999999999999954,5.5422,221575.63,95625.335
600151.SH,20200214,4.16,4.19,4.1,4.15,4.2,-0.04999999999999982,-1.1905,111903.88,46331.714
600151.SH,20200213,4.29,4.32,4.19,4.2,4.24,-0.040000000000000036,-0.9434,120945.94,51255.51
600151.SH,20200212,4.18,4.28,4.16,4.24,4.16,0.08000000000000007,1.9231,150211.62,63670.572
600151.SH,20200211,4.22,4.24,4.15,4.16,4.24,-0.08000000000000007,-1.8868,125007.8,52274.023
600151.SH,20200210,4.21,4.26,4.2,4.24,4.25,-0.009999999999999787,-0.2353,104922.36,44358.697
600151.SH,20200207,4.19,4.33,4.16,4.25,4.21,0.040000000000000036,0.9501,135211.41,57174.088
600151.SH,20200206,4.06,4.24,3.97,4.21,4.03,0.17999999999999972,4.4665,176803.65,73609.389
600151.SH,20200205,3.94,4.1,3.94,4.03,3.97,0.06000000000000005,1.5113,128110.5,51745.834
600151.SH,20200204,3.75,4.04,3.74,3.97,4.16,-0.18999999999999995,-4.5673,203261.06,79879.539
600151.SH,20200203,4.16,4.16,4.16,4.16,4.62,-0.45999999999999996,-9.9567,41062.0,17081.792
600151.SH,20200123,4.68,4.81,4.51,4.62,4.74,-0.1200000000000001,-2.5316,130114.37,60684.156
600151.SH,20200122,4.71,4.87,4.48,4.74,4.96,-0.21999999999999975,-4.4355,227046.76,106238.758
600151.SH,20200121,5.05,5.05,4.93,4.96,5.05,-0.08999999999999986,-1.7822,112609.34,56071.22
600151.SH,20200120,4.88,5.05,4.83,5.05,4.87,0.17999999999999972,3.6961,215620.32,106980.128
600151.SH,20200117,4.87,4.9,4.84,4.87,4.87,0.0,0.0,61926.77,30103.434
600151.SH,20200116,4.88,4.94,4.85,4.87,4.88,-0.009999999999999787,-0.2049,97125.41,47492.242
600151.SH,20200115,4.92,4.93,4.85,4.88,4.94,-0.0600000000000005,-1.2146,84854.0,41394.949
600151.SH,20200114,4.98,5.0,4.92,4.94,4.98,-0.040000000000000036,-0.8032,106805.19,52877.608
600151.SH,20200113,4.97,4.99,4.91,4.98,4.97,0.010000000000000675,0.2012,86792.13,42965.545
600151.SH,20200110,5.03,5.04,4.94,4.97,5.04,-0.07000000000000028,-1.3889,103151.77,51250.96
600151.SH,20200109,5.1,5.1,5.0,5.04,5.14,-0.09999999999999964,-1.9455,202740.26,102059.26
600151.SH,20200108,5.08,5.19,5.02,5.14,5.12,0.019999999999999574,0.3906,302510.5,154733.211
600151.SH,20200107,4.95,5.2,4.9,5.12,4.92,0.20000000000000018,4.065,364950.67,185282.901
600151.SH,20200106,4.97,4.97,4.87,4.92,4.92,0.0,0.0,195999.75,96326.884
600151.SH,20200103,4.83,4.94,4.79,4.92,4.81,0.11000000000000032,2.2869,178585.37,87007.942
600151.SH,20200102,4.76,4.84,4.75,4.81,4.74,0.0699999999999994,1.4768,134571.37,64691.23
600151.SH,20191231,4.74,4.82,4.72,4.74,4.76,-0.019999999999999574,-0.4202,79282.52,37758.64
