ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000818.SZ,20200225,32.87,33.59,30.5,32.29,33.81,-1.5200000000000031,-4.4957,522270.69,1681241.794
000818.SZ,20200224,34.23,34.78,31.57,33.81,35.08,-1.269999999999996,-3.6203,552574.98,1847006.79
000818.SZ,20200221,36.0,36.06,34.7,35.08,36.5,-1.4200000000000017,-3.8904,532720.44,1877753.602
000818.SZ,20200220,36.51,36.9,34.58,36.5,35.29,1.2100000000000009,3.4287,515160.16,1845000.1
000818.SZ,20200219,34.98,36.68,34.56,35.29,33.84,1.4499999999999957,4.2849,665396.15,2365669.88
000818.SZ,20200218,31.04,33.84,30.96,33.84,30.76,3.080000000000002,10.013,493301.37,1643970.316
000818.SZ,20200217,31.0,31.3,29.5,30.76,29.85,0.9100000000000001,3.0486,561737.37,1707961.819
000818.SZ,20200214,27.0,30.14,26.88,29.85,27.4,2.450000000000003,8.9416,655583.92,1895891.807
000818.SZ,20200213,28.07,28.5,27.11,27.4,27.82,-0.4200000000000017,-1.5097,429259.04,1197548.61
000818.SZ,20200212,27.65,28.18,26.9,27.82,27.9,-0.0799999999999983,-0.2867,358757.82,990762.149
000818.SZ,20200211,27.31,28.65,27.3,27.9,27.45,0.4499999999999993,1.6393,352551.64,983322.169
000818.SZ,20200210,29.22,29.96,26.64,27.45,29.6,-2.150000000000002,-7.2635,506179.82,1432004.636
000818.SZ,20200207,29.7,30.46,28.88,29.6,29.71,-0.10999999999999943,-0.3702,494286.84,1462180.413
000818.SZ,20200206,27.3,30.49,27.15,29.71,27.76,1.9499999999999993,7.0245,582222.59,1702301.858
000818.SZ,20200205,26.32,28.72,26.13,27.76,26.66,1.1000000000000014,4.126,664741.29,1807828.955
000818.SZ,20200204,23.0,27.19,23.0,26.66,25.56,1.1000000000000014,4.3036,789653.46,1952404.793
000818.SZ,20200203,25.56,25.56,25.56,25.56,28.4,-2.84,-10.0,9151.0,23389.956
000818.SZ,20200123,30.24,30.55,28.4,28.4,31.55,-3.150000000000002,-9.9842,557420.16,1644475.389
000818.SZ,20200122,28.91,31.55,27.5,31.55,28.68,2.870000000000001,10.007,619339.0,1829286.009
000818.SZ,20200121,28.5,30.19,28.05,28.68,27.48,1.1999999999999993,4.3668,755641.9,2184283.157
000818.SZ,20200120,24.58,27.48,24.58,27.48,24.98,2.5,10.008,489400.12,1300607.825
000818.SZ,20200117,23.7,25.55,22.89,24.98,23.29,1.6900000000000013,7.2563,745740.76,1791045.009
000818.SZ,20200116,22.71,23.29,22.59,23.29,21.17,2.1199999999999974,10.0142,857168.86,1984754.609
000818.SZ,20200115,20.28,21.52,19.89,21.17,20.46,0.7100000000000009,3.4702,454681.22,945425.148
000818.SZ,20200114,21.1,21.3,20.35,20.46,21.09,-0.629999999999999,-2.9872,391540.33,810451.182
000818.SZ,20200113,19.47,21.56,19.31,21.09,19.64,1.4499999999999993,7.3829,536501.84,1103227.029
000818.SZ,20200110,19.69,19.98,19.51,19.64,19.89,-0.25,-1.2569,293538.68,578606.696
000818.SZ,20200109,20.1,20.19,18.86,19.89,19.78,0.10999999999999943,0.5561,568113.86,1107787.501
000818.SZ,20200108,19.84,20.41,19.68,19.78,20.05,-0.2699999999999996,-1.3466,464064.54,927200.733
000818.SZ,20200107,20.18,20.6,19.83,20.05,20.44,-0.39000000000000057,-1.908,457967.45,924589.276
000818.SZ,20200106,20.66,21.0,19.67,20.44,19.88,0.5600000000000023,2.8169,737974.87,1503388.8
000818.SZ,20200103,23.02,23.65,19.78,19.88,21.98,-2.1000000000000014,-9.5541,1114728.59,2418259.146
000818.SZ,20200102,20.21,21.98,19.47,21.98,19.98,2.0,10.01,704745.3,1466103.856
000818.SZ,20191231,18.12,19.98,18.12,19.98,18.16,1.8200000000000003,10.022,762879.68,1454354.214
000818.SZ,20191230,19.8,20.29,17.9,18.16,19.89,-1.7300000000000004,-8.6978,775920.55,1448602.821
000818.SZ,20191227,19.58,20.72,18.92,19.89,18.84,1.0500000000000007,5.5732,990684.41,1978197.782
000818.SZ,20191226,19.2,19.4,18.03,18.84,18.38,0.46000000000000085,2.5027,653498.73,1226449.869
000818.SZ,20191225,16.44,18.38,16.4,18.38,16.71,1.6699999999999982,9.994,400397.94,708740.111
000818.SZ,20191224,16.0,16.78,15.7,16.71,16.11,0.6000000000000014,3.7244,481443.74,784895.596
000818.SZ,20191223,15.17,16.42,14.81,16.11,15.13,0.9799999999999986,6.4772,516969.34,821160.722
000818.SZ,20191220,14.17,15.23,14.1,15.13,14.2,0.9300000000000015,6.5493,497956.49,732744.334
000818.SZ,20191219,14.23,14.59,14.05,14.2,14.47,-0.27000000000000135,-1.8659,408086.79,583237.899
000818.SZ,20191218,14.3,14.64,13.91,14.47,13.8,0.6699999999999999,4.8551,670522.27,958977.389
000818.SZ,20191217,12.8,13.85,12.61,13.8,12.6,1.200000000000001,9.5238,508232.29,677764.497
000818.SZ,20191216,12.5,12.84,12.08,12.6,12.07,0.5299999999999994,4.3911,430400.96,537852.419
000818.SZ,20191213,11.66,12.07,11.57,12.07,11.54,0.5300000000000011,4.5927,263776.53,313164.493
000818.SZ,20191212,11.66,11.9,11.52,11.54,11.67,-0.13000000000000078,-1.114,181500.71,212512.778
000818.SZ,20191211,12.1,12.1,11.65,11.67,12.11,-0.4399999999999995,-3.6334,212516.2,251420.758
000818.SZ,20191210,11.71,12.18,11.53,12.11,11.83,0.27999999999999936,2.3669,237375.46,281282.418
000818.SZ,20191209,11.47,11.96,11.33,11.83,11.4,0.4299999999999997,3.7719,281720.77,329342.501
000818.SZ,20191206,11.47,11.49,11.18,11.4,11.47,-0.07000000000000028,-0.6103,197541.94,223964.759
000818.SZ,20191205,11.27,11.64,11.2,11.47,11.33,0.14000000000000057,1.2357,289432.44,330491.362
000818.SZ,20191204,11.52,11.77,11.05,11.33,11.63,-0.3000000000000007,-2.5795,425327.57,484899.714
000818.SZ,20191203,11.02,11.69,10.85,11.63,11.05,0.5800000000000001,5.2489,280756.6,317271.864
000818.SZ,20191202,10.68,11.09,10.45,11.05,10.61,0.4400000000000013,4.147,268713.88,291464.248
000818.SZ,20191129,10.52,10.63,10.42,10.61,10.52,0.08999999999999986,0.8555,121871.83,128356.337
000818.SZ,20191128,10.23,10.66,10.23,10.52,10.29,0.23000000000000043,2.2352,173466.03,181861.136
000818.SZ,20191127,10.31,10.49,10.2,10.29,10.36,-0.07000000000000028,-0.6757,124118.73,128032.92
000818.SZ,20191126,9.9,10.61,9.86,10.36,9.92,0.4399999999999995,4.4355,260633.54,270149.941
000818.SZ,20191125,9.84,10.07,9.75,9.92,9.84,0.08000000000000007,0.813,118199.85,117530.538
000818.SZ,20191122,9.95,10.15,9.79,9.84,9.82,0.019999999999999574,0.2037,165508.53,164232.568
000818.SZ,20191121,9.7,10.02,9.64,9.82,9.72,0.09999999999999964,1.0288,152874.18,151009.107
000818.SZ,20191120,9.97,9.99,9.72,9.72,9.98,-0.2599999999999998,-2.6052,143952.19,141673.935
000818.SZ,20191119,9.59,10.0,9.55,9.98,9.6,0.3800000000000008,3.9583,210574.58,206592.223
000818.SZ,20191118,9.44,9.68,9.34,9.6,9.41,0.1899999999999995,2.0191,106740.62,102017.324
000818.SZ,20191115,9.49,9.62,9.33,9.41,9.47,-0.0600000000000005,-0.6336,133844.37,126930.083
000818.SZ,20191114,9.21,9.52,9.14,9.47,9.24,0.23000000000000043,2.4892,177185.1,165848.126
000818.SZ,20191113,8.79,9.4,8.7,9.24,8.97,0.2699999999999996,3.01,174949.69,159130.401
000818.SZ,20191112,9.0,9.04,8.88,8.97,8.98,-0.009999999999999787,-0.1114,70248.62,62952.088
000818.SZ,20191111,9.13,9.24,8.95,8.98,9.14,-0.16000000000000014,-1.7505,94027.0,85232.348
000818.SZ,20191108,9.5,9.53,9.12,9.14,9.34,-0.1999999999999993,-2.1413,131563.0,121546.855
000818.SZ,20191107,9.36,9.54,9.21,9.34,9.29,0.05000000000000071,0.5382,146286.08,136788.868
000818.SZ,20191106,9.2,9.55,9.16,9.29,9.24,0.049999999999998934,0.5411,244387.38,228443.1
000818.SZ,20191105,8.53,9.34,8.51,9.24,8.54,0.7000000000000011,8.1967,261754.18,236280.944
000818.SZ,20191104,8.4,8.72,8.4,8.54,8.4,0.1399999999999988,1.6667,72927.0,62498.221
000818.SZ,20191101,8.38,8.4,8.15,8.4,8.37,0.030000000000001137,0.3584,68532.77,56821.71
000818.SZ,20191031,8.37,8.53,8.2,8.37,8.37,0.0,0.0,66371.0,55766.042
000818.SZ,20191030,8.6,8.63,8.28,8.37,8.63,-0.26000000000000156,-3.0127,88742.66,74912.544
000818.SZ,20191029,8.76,8.92,8.62,8.63,8.76,-0.129999999999999,-1.484,73298.16,64206.773
000818.SZ,20191028,8.65,8.82,8.62,8.76,8.67,0.08999999999999986,1.0381,85776.26,75112.398
000818.SZ,20191025,8.68,8.74,8.5,8.67,8.7,-0.02999999999999936,-0.3448,60774.11,52354.874
000818.SZ,20191024,8.92,8.95,8.63,8.7,8.88,-0.1800000000000015,-2.027,60051.22,52340.555
000818.SZ,20191023,9.07,9.07,8.84,8.88,9.02,-0.1399999999999988,-1.5521,44693.87,39973.584
000818.SZ,20191022,8.86,9.05,8.8,9.02,8.79,0.23000000000000043,2.6166,78505.75,70472.912
000818.SZ,20191021,8.8,8.82,8.55,8.79,8.82,-0.030000000000001137,-0.3401,54276.62,47034.515
000818.SZ,20191018,8.82,8.98,8.5,8.82,8.82,0.0,0.0,75758.41,66973.306
000818.SZ,20191017,9.17,9.17,8.75,8.82,9.07,-0.25,-2.7563,111542.74,99441.806
000818.SZ,20191016,9.19,9.28,9.06,9.07,9.22,-0.15000000000000036,-1.6269,67681.2,61979.79
000818.SZ,20191015,9.35,9.37,9.16,9.22,9.41,-0.1899999999999995,-2.0191,76832.34,70904.432
000818.SZ,20191014,9.24,9.48,9.18,9.41,9.13,0.27999999999999936,3.0668,111815.38,104705.739
000818.SZ,20191011,9.2,9.23,9.04,9.13,9.21,-0.08000000000000007,-0.8686,79642.44,72681.689
000818.SZ,20191010,9.2,9.28,9.15,9.21,9.2,0.010000000000001563,0.1087,73056.71,67249.738
