ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300816.SZ,20200225,45.5,46.98,43.91,45.87,47.23,-1.3599999999999994,-2.8795,42736.86,195163.365
300816.SZ,20200224,46.5,47.87,46.16,47.23,47.23,0.0,0.0,38495.03,182136.175
300816.SZ,20200221,48.01,48.1,47.0,47.23,48.99,-1.7600000000000051,-3.5926,54905.62,260419.074
300816.SZ,20200220,50.0,50.82,47.81,48.99,52.23,-3.239999999999995,-6.2033,77337.39,381007.499
300816.SZ,20200219,51.0,56.39,49.58,52.23,51.73,0.5,0.9666,114621.8,605441.038
300816.SZ,20200218,51.73,51.73,48.48,51.73,47.03,4.699999999999996,9.9936,88237.88,447876.604
300816.SZ,20200217,47.03,47.03,47.03,47.03,42.75,4.280000000000001,10.0117,591.41,2781.401
300816.SZ,20200214,42.75,42.75,42.75,42.75,38.86,3.8900000000000006,10.0103,1217.95,5206.736
300816.SZ,20200213,38.86,38.86,38.86,38.86,35.33,3.530000000000001,9.9915,496.0,1927.456
300816.SZ,20200212,35.33,35.33,35.33,35.33,32.12,3.210000000000001,9.9938,354.23,1251.494
300816.SZ,20200211,32.12,32.12,32.12,32.12,29.2,2.919999999999998,10.0,219.0,703.428
300816.SZ,20200210,24.34,29.2,24.34,29.2,20.28,8.919999999999998,43.9842,1007.95,2929.37
