ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000570.SZ,20200225,4.6,4.68,4.48,4.6,4.69,-0.09000000000000075,-1.919,63797.73,29213.035
000570.SZ,20200224,4.5,4.75,4.48,4.69,4.53,0.16000000000000014,3.532,84044.61,38888.524
000570.SZ,20200221,4.45,4.56,4.4,4.53,4.47,0.0600000000000005,1.3423,69006.35,31021.986
000570.SZ,20200220,4.32,4.5,4.32,4.47,4.39,0.08000000000000007,1.8223,76310.04,33636.662
000570.SZ,20200219,4.23,4.48,4.16,4.39,4.25,0.13999999999999968,3.2941,105200.54,45490.217
000570.SZ,20200218,4.2,4.28,4.18,4.25,4.2,0.04999999999999982,1.1905,30117.63,12722.109
000570.SZ,20200217,4.12,4.2,4.09,4.2,4.07,0.1299999999999999,3.1941,41473.71,17272.964
000570.SZ,20200214,4.09,4.13,4.04,4.07,4.09,-0.019999999999999574,-0.489,18783.29,7683.408
000570.SZ,20200213,4.16,4.17,4.07,4.09,4.16,-0.07000000000000028,-1.6827,26345.0,10834.226
000570.SZ,20200212,4.15,4.19,4.1,4.16,4.12,0.040000000000000036,0.9709,24735.82,10258.811
000570.SZ,20200211,4.16,4.19,4.08,4.12,4.13,-0.009999999999999787,-0.2421,21437.73,8862.33
000570.SZ,20200210,4.07,4.19,3.98,4.13,4.06,0.07000000000000028,1.7241,23256.02,9573.365
000570.SZ,20200207,4.05,4.18,3.99,4.06,3.97,0.08999999999999941,2.267,34173.13,13894.709
000570.SZ,20200206,3.96,4.0,3.83,3.97,3.92,0.050000000000000266,1.2755,31520.23,12462.186
000570.SZ,20200205,3.81,3.97,3.81,3.92,3.81,0.10999999999999988,2.8871,32020.69,12533.894
000570.SZ,20200204,3.58,3.9,3.58,3.81,3.97,-0.16000000000000014,-4.0302,51483.47,19397.724
000570.SZ,20200203,3.97,4.0,3.97,3.97,4.41,-0.43999999999999995,-9.9773,10341.0,4106.846
000570.SZ,20200123,4.55,4.58,4.37,4.41,4.58,-0.16999999999999993,-3.7118,27776.79,12419.192
000570.SZ,20200122,4.55,4.63,4.5,4.58,4.57,0.009999999999999787,0.2188,20524.8,9383.876
000570.SZ,20200121,4.71,4.71,4.56,4.57,4.73,-0.16000000000000014,-3.3827,31440.01,14518.945
000570.SZ,20200120,4.64,4.82,4.57,4.73,4.68,0.05000000000000071,1.0684,96300.35,44870.891
000570.SZ,20200117,4.65,4.77,4.65,4.68,4.65,0.02999999999999936,0.6452,42694.01,20107.567
000570.SZ,20200116,4.7,4.7,4.63,4.65,4.7,-0.04999999999999982,-1.0638,19726.01,9183.212
000570.SZ,20200115,4.79,4.83,4.67,4.7,4.79,-0.08999999999999986,-1.8789,26099.95,12301.18
000570.SZ,20200114,4.77,4.87,4.76,4.79,4.76,0.03000000000000025,0.6303,38407.63,18529.087
000570.SZ,20200113,4.73,4.77,4.69,4.76,4.74,0.019999999999999574,0.4219,19353.5,9149.759
000570.SZ,20200110,4.8,4.83,4.7,4.74,4.8,-0.05999999999999961,-1.25,29085.0,13832.512
000570.SZ,20200109,4.71,4.82,4.68,4.8,4.66,0.13999999999999968,3.0043,73692.6,35084.717
000570.SZ,20200108,4.71,4.78,4.64,4.66,4.75,-0.08999999999999986,-1.8947,47694.48,22378.352
000570.SZ,20200107,4.72,4.75,4.69,4.75,4.71,0.040000000000000036,0.8493,37070.12,17523.43
