ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000668.SZ,20200225,11.83,11.92,11.41,11.82,12.1,-0.27999999999999936,-2.314,28041.45,32953.518
000668.SZ,20200224,12.34,12.39,11.99,12.1,12.36,-0.2599999999999998,-2.1036,28232.38,34144.827
000668.SZ,20200221,12.31,12.39,12.24,12.36,12.32,0.03999999999999915,0.3247,16407.19,20181.299
000668.SZ,20200220,12.3,12.48,12.07,12.32,12.28,0.040000000000000924,0.3257,18807.0,23017.641
000668.SZ,20200219,12.47,12.53,12.22,12.28,12.58,-0.3000000000000007,-2.3847,24639.01,30424.236
000668.SZ,20200218,11.97,12.59,11.97,12.58,12.09,0.4900000000000002,4.0529,30130.4,36921.626
000668.SZ,20200217,11.82,12.11,11.82,12.09,11.75,0.33999999999999986,2.8936,12622.0,15160.475
000668.SZ,20200214,12.02,12.02,11.63,11.75,11.93,-0.17999999999999972,-1.5088,9348.84,11062.859
000668.SZ,20200213,12.0,12.14,11.8,11.93,12.03,-0.09999999999999964,-0.8313,11381.8,13600.607
000668.SZ,20200212,11.75,12.1,11.75,12.03,11.81,0.21999999999999886,1.8628,11746.04,14008.358
000668.SZ,20200211,11.74,11.97,11.72,11.81,11.72,0.08999999999999986,0.7679,11470.04,13593.01
000668.SZ,20200210,11.6,11.8,11.51,11.72,11.55,0.16999999999999993,1.4719,15474.8,18093.187
000668.SZ,20200207,11.64,11.68,11.42,11.55,11.64,-0.08999999999999986,-0.7732,16820.4,19403.951
000668.SZ,20200206,11.56,12.0,11.4,11.64,11.48,0.16000000000000014,1.3937,22132.69,25795.089
000668.SZ,20200205,11.26,11.74,11.19,11.48,11.19,0.2900000000000009,2.5916,32514.6,37516.458
000668.SZ,20200204,11.09,12.0,11.09,11.19,12.32,-1.1300000000000008,-9.1721,43312.25,48749.979
000668.SZ,20200203,12.32,12.32,12.32,12.32,13.69,-1.3699999999999992,-10.0073,3626.0,4467.232
000668.SZ,20200123,14.2,14.28,13.32,13.69,14.23,-0.5400000000000009,-3.7948,19152.29,26290.95
000668.SZ,20200122,14.43,14.46,14.01,14.23,14.43,-0.1999999999999993,-1.386,17184.74,24402.923
000668.SZ,20200121,14.45,14.68,14.24,14.43,14.53,-0.09999999999999964,-0.6882,27934.46,40532.284
000668.SZ,20200120,14.07,14.63,14.02,14.53,14.23,0.29999999999999893,2.1082,40473.87,58253.748
000668.SZ,20200117,13.66,14.34,13.63,14.23,13.66,0.5700000000000003,4.1728,62170.87,87526.9
000668.SZ,20200116,13.69,13.73,13.41,13.66,13.7,-0.03999999999999915,-0.292,18896.06,25567.736
000668.SZ,20200115,13.88,13.88,13.68,13.7,13.8,-0.10000000000000142,-0.7246,9868.0,13554.056
000668.SZ,20200114,13.79,13.9,13.76,13.8,13.78,0.02000000000000135,0.1451,15846.2,21897.756
000668.SZ,20200113,13.67,13.84,13.6,13.78,13.67,0.10999999999999943,0.8047,15594.57,21353.95
000668.SZ,20200110,13.75,13.78,13.62,13.67,13.74,-0.07000000000000028,-0.5095,11305.77,15454.478
000668.SZ,20200109,13.56,13.74,13.55,13.74,13.51,0.23000000000000043,1.7024,13589.46,18521.008
000668.SZ,20200108,13.69,13.85,13.51,13.51,13.75,-0.2400000000000002,-1.7455,15920.49,21702.371
000668.SZ,20200107,13.59,13.75,13.5,13.75,13.5,0.25,1.8519,22762.46,30997.756
000668.SZ,20200106,13.6,13.65,13.36,13.5,13.61,-0.10999999999999943,-0.8082,27269.24,36925.376
000668.SZ,20200103,13.88,13.88,13.55,13.61,13.85,-0.2400000000000002,-1.7329,29390.29,40108.951
000668.SZ,20200102,13.41,13.91,13.41,13.85,13.4,0.4499999999999993,3.3582,39678.88,54077.924
000668.SZ,20191231,13.33,13.48,13.16,13.4,13.42,-0.019999999999999574,-0.149,36193.39,48157.416
000668.SZ,20191230,13.8,13.91,13.33,13.42,13.8,-0.3800000000000008,-2.7536,24030.9,32376.258
000668.SZ,20191227,13.52,13.92,13.51,13.8,13.5,0.3000000000000007,2.2222,20246.41,27817.758
000668.SZ,20191226,13.66,13.7,13.38,13.5,13.64,-0.14000000000000057,-1.0264,21857.05,29487.17
000668.SZ,20191225,13.78,13.81,13.55,13.64,13.75,-0.10999999999999943,-0.8,14865.84,20291.558
000668.SZ,20191224,13.71,13.92,13.61,13.75,13.71,0.03999999999999915,0.2918,12667.21,17388.378
000668.SZ,20191223,14.08,14.16,13.71,13.71,14.04,-0.3299999999999983,-2.3504,15935.25,22072.023
000668.SZ,20191220,14.37,14.44,14.04,14.04,14.36,-0.3200000000000003,-2.2284,12751.0,18139.662
000668.SZ,20191219,14.36,14.51,14.23,14.36,14.38,-0.02000000000000135,-0.1391,22739.96,32594.859
000668.SZ,20191218,14.5,14.86,14.29,14.38,14.5,-0.11999999999999922,-0.8276,35510.96,51556.817
000668.SZ,20191217,14.05,14.58,13.9,14.5,14.14,0.35999999999999943,2.546,23780.58,33873.184
000668.SZ,20191216,14.08,14.28,14.0,14.14,14.16,-0.019999999999999574,-0.1412,27570.38,38881.05
000668.SZ,20191213,13.92,14.18,13.7,14.16,13.87,0.2900000000000009,2.0908,17577.01,24661.234
000668.SZ,20191212,14.31,14.31,13.87,13.87,14.2,-0.33000000000000007,-2.3239,12927.0,18106.854
000668.SZ,20191211,14.56,14.65,14.16,14.2,14.6,-0.40000000000000036,-2.7397,20584.16,29628.788
