ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000408.SZ,20200225,7.5,7.59,7.07,7.55,7.77,-0.21999999999999975,-2.8314,192780.37,143326.4
000408.SZ,20200224,7.48,7.86,7.41,7.77,7.63,0.13999999999999968,1.8349,194327.79,149154.691
000408.SZ,20200221,7.35,7.98,7.12,7.63,7.26,0.3700000000000001,5.0964,216432.61,160712.037
000408.SZ,20200220,7.05,7.37,7.02,7.26,7.09,0.16999999999999993,2.3977,142010.88,103003.573
000408.SZ,20200219,7.15,7.37,6.97,7.09,6.88,0.20999999999999996,3.0523,142912.9,101752.768
000408.SZ,20200218,6.83,6.95,6.78,6.88,6.82,0.05999999999999961,0.8798,85600.99,58714.023
000408.SZ,20200217,6.7,6.82,6.66,6.82,6.66,0.16000000000000014,2.4024,78932.59,53425.687
000408.SZ,20200214,6.73,6.77,6.63,6.66,6.77,-0.10999999999999943,-1.6248,71812.7,47920.778
000408.SZ,20200213,6.69,6.9,6.63,6.77,6.7,0.0699999999999994,1.0448,104179.81,70671.093
000408.SZ,20200212,6.46,6.75,6.42,6.7,6.47,0.23000000000000043,3.5549,97400.88,64971.458
000408.SZ,20200211,6.46,6.7,6.44,6.47,6.48,-0.010000000000000675,-0.1543,99001.15,64932.823
000408.SZ,20200210,6.19,6.52,6.14,6.48,6.21,0.27000000000000046,4.3478,86120.53,55064.53
000408.SZ,20200207,6.24,6.35,6.14,6.21,6.24,-0.03000000000000025,-0.4808,65314.2,40642.163
000408.SZ,20200206,6.06,6.28,5.98,6.24,6.06,0.1800000000000006,2.9703,91695.16,56417.44
000408.SZ,20200205,5.94,6.17,5.94,6.06,5.97,0.08999999999999986,1.5075,86365.62,52485.463
000408.SZ,20200204,5.7,6.24,5.7,5.97,6.33,-0.3600000000000003,-5.6872,136194.16,81278.266
000408.SZ,20200203,6.33,6.33,6.33,6.33,7.03,-0.7000000000000002,-9.9573,13723.0,8686.659
000408.SZ,20200123,7.3,7.37,6.98,7.03,7.39,-0.35999999999999943,-4.8714,101340.64,72630.496
000408.SZ,20200122,7.57,7.57,7.29,7.39,7.56,-0.16999999999999993,-2.2487,70523.46,52354.398
000408.SZ,20200121,7.71,7.71,7.52,7.56,7.76,-0.20000000000000018,-2.5773,83635.13,63469.923
000408.SZ,20200120,7.88,7.89,7.7,7.76,7.89,-0.1299999999999999,-1.6477,99178.36,76936.707
