ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000678.SZ,20200225,5.9,6.03,5.85,5.98,6.07,-0.08999999999999986,-1.4827,43723.0,25993.635
000678.SZ,20200224,6.16,6.19,6.01,6.07,6.16,-0.08999999999999986,-1.461,35367.01,21443.585
000678.SZ,20200221,6.15,6.25,6.09,6.16,6.15,0.009999999999999787,0.1626,41562.01,25545.818
000678.SZ,20200220,6.18,6.3,6.08,6.15,6.15,0.0,0.0,42304.01,26082.179
000678.SZ,20200219,5.91,6.31,5.87,6.15,5.93,0.22000000000000064,3.7099,70514.16,42977.26
000678.SZ,20200218,5.76,5.95,5.73,5.93,5.75,0.17999999999999972,3.1304,50607.85,29640.765
000678.SZ,20200217,5.58,5.78,5.57,5.75,5.57,0.17999999999999972,3.2316,58196.55,33256.88
000678.SZ,20200214,5.59,5.63,5.53,5.57,5.63,-0.05999999999999961,-1.0657,25379.04,14119.626
000678.SZ,20200213,5.71,5.75,5.56,5.63,5.75,-0.1200000000000001,-2.087,41880.82,23672.452
000678.SZ,20200212,5.63,5.84,5.63,5.75,5.7,0.04999999999999982,0.8772,43649.66,25061.913
000678.SZ,20200211,5.6,5.84,5.57,5.7,5.66,0.040000000000000036,0.7067,41554.73,23764.219
000678.SZ,20200210,5.5,5.66,5.39,5.66,5.5,0.16000000000000014,2.9091,37758.72,20936.876
000678.SZ,20200207,5.59,5.59,5.46,5.5,5.59,-0.08999999999999986,-1.61,29222.27,16092.474
000678.SZ,20200206,5.61,5.62,5.4,5.59,5.6,-0.009999999999999787,-0.1786,41288.22,22804.165
000678.SZ,20200205,5.56,5.72,5.55,5.6,5.56,0.040000000000000036,0.7194,28765.69,16176.059
000678.SZ,20200204,5.41,5.9,5.41,5.56,6.01,-0.4500000000000002,-7.4875,50250.15,27801.629
000678.SZ,20200203,6.01,6.01,6.01,6.01,6.68,-0.6699999999999999,-10.0299,2258.0,1357.058
000678.SZ,20200123,6.95,6.95,6.51,6.68,6.95,-0.27000000000000046,-3.8849,24696.44,16730.363
000678.SZ,20200122,6.99,6.99,6.88,6.95,7.02,-0.0699999999999994,-0.9972,20955.0,14529.0
000678.SZ,20200121,7.07,7.12,6.94,7.02,7.07,-0.05000000000000071,-0.7072,30572.3,21480.266
000678.SZ,20200120,7.04,7.15,6.97,7.07,7.07,0.0,0.0,23801.26,16779.806
000678.SZ,20200117,7.21,7.24,7.07,7.07,7.18,-0.10999999999999943,-1.532,54919.68,39199.36
000678.SZ,20200116,6.92,7.26,6.87,7.18,6.94,0.23999999999999932,3.4582,80855.93,57750.406
000678.SZ,20200115,7.0,7.01,6.9,6.94,7.0,-0.05999999999999961,-0.8571,12792.26,8871.275
