ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002963.SZ,20200225,29.21,29.38,28.5,29.24,30.0,-0.7600000000000016,-2.5333,30065.26,87387.315
002963.SZ,20200224,30.43,30.43,29.72,30.0,30.43,-0.4299999999999997,-1.4131,26524.55,79487.999
002963.SZ,20200221,30.29,30.79,30.12,30.43,30.31,0.120000000000001,0.3959,23028.18,70212.466
002963.SZ,20200220,29.9,30.32,29.49,30.31,29.93,0.379999999999999,1.2696,22241.96,66702.036
002963.SZ,20200219,29.76,30.36,29.76,29.93,30.01,-0.08000000000000185,-0.2666,23244.85,69707.675
002963.SZ,20200218,29.54,30.15,29.26,30.01,29.38,0.6300000000000026,2.1443,23213.0,68889.231
002963.SZ,20200217,28.72,29.38,28.7,29.38,28.61,0.7699999999999996,2.6914,21288.87,62042.634
002963.SZ,20200214,28.66,29.01,28.45,28.61,28.82,-0.21000000000000085,-0.7287,15140.04,43467.216
002963.SZ,20200213,29.23,29.69,28.81,28.82,29.23,-0.41000000000000014,-1.4027,17708.77,51690.87
002963.SZ,20200212,28.95,29.3,28.7,29.23,28.92,0.3099999999999987,1.0719,16998.88,49572.823
002963.SZ,20200211,28.94,29.69,28.8,28.92,29.03,-0.10999999999999943,-0.3789,22232.85,64948.541
002963.SZ,20200210,28.0,29.25,27.72,29.03,28.31,0.7200000000000024,2.5433,28704.66,82543.625
002963.SZ,20200207,27.66,28.54,27.29,28.31,27.64,0.6699999999999982,2.424,28175.76,78246.605
002963.SZ,20200206,27.4,27.66,26.87,27.64,27.26,0.379999999999999,1.394,27181.23,74098.106
002963.SZ,20200205,27.0,27.99,26.99,27.26,27.0,0.26000000000000156,0.963,23895.66,65520.2
002963.SZ,20200204,25.56,27.31,25.56,27.0,28.4,-1.3999999999999986,-4.9296,27590.36,73808.388
002963.SZ,20200203,28.4,28.4,28.4,28.4,31.55,-3.150000000000002,-9.9842,2600.0,7384.0
002963.SZ,20200123,32.9,32.9,31.27,31.55,33.1,-1.5500000000000007,-4.6828,22663.3,72614.021
002963.SZ,20200122,33.28,33.28,32.02,33.1,33.48,-0.37999999999999545,-1.135,19186.3,63149.47
002963.SZ,20200121,34.46,34.49,33.42,33.48,34.46,-0.980000000000004,-2.8439,22584.47,76417.144
002963.SZ,20200120,34.3,34.47,33.81,34.46,34.27,0.18999999999999773,0.5544,20787.83,70893.76
002963.SZ,20200117,34.03,34.74,34.03,34.27,34.1,0.1700000000000017,0.4985,17355.2,59612.644
002963.SZ,20200116,34.62,34.68,34.1,34.1,34.6,-0.5,-1.4451,21688.14,74428.172
002963.SZ,20200115,34.9,34.99,34.39,34.6,35.05,-0.44999999999999574,-1.2839,25046.74,86604.266
002963.SZ,20200114,34.52,35.38,34.3,35.05,34.45,0.5999999999999943,1.7417,48631.17,169965.605
002963.SZ,20200113,34.73,34.73,34.06,34.45,34.49,-0.03999999999999915,-0.116,31983.85,109698.811
002963.SZ,20200110,33.46,34.87,33.41,34.49,33.38,1.1099999999999994,3.3253,60248.68,207040.59
002963.SZ,20200109,33.31,33.53,33.14,33.38,33.07,0.3100000000000023,0.9374,23420.97,78145.716
002963.SZ,20200108,33.66,33.87,33.04,33.07,33.89,-0.8200000000000003,-2.4196,30261.07,101236.0
002963.SZ,20200107,33.66,33.97,33.58,33.89,33.66,0.23000000000000398,0.6833,27231.52,91929.175
002963.SZ,20200106,33.74,34.07,33.42,33.66,34.08,-0.4200000000000017,-1.2324,26331.22,88796.975
002963.SZ,20200103,34.38,34.38,34.01,34.08,34.28,-0.20000000000000284,-0.5834,24760.76,84488.872
002963.SZ,20200102,34.57,34.57,34.04,34.28,34.28,0.0,0.0,35981.1,123454.618
002963.SZ,20191231,33.6,34.36,33.32,34.28,33.5,0.7800000000000011,2.3284,39316.78,133102.471
002963.SZ,20191230,32.95,33.5,32.37,33.5,33.23,0.2700000000000031,0.8125,33574.8,110438.37
002963.SZ,20191227,33.31,33.68,33.11,33.23,33.46,-0.23000000000000398,-0.6874,27228.92,90754.959
