ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000710.SZ,20200225,39.1,40.65,38.91,40.13,39.73,0.4000000000000057,1.0068,57857.9,230916.029
000710.SZ,20200224,39.29,39.88,38.92,39.73,39.18,0.5499999999999972,1.4038,49417.11,195357.792
000710.SZ,20200221,38.95,39.75,38.89,39.18,38.94,0.240000000000002,0.6163,44299.26,173776.636
000710.SZ,20200220,39.15,39.72,38.63,38.94,39.18,-0.240000000000002,-0.6126,46339.61,180471.542
000710.SZ,20200219,40.5,40.66,39.18,39.18,40.85,-1.6700000000000017,-4.0881,44079.25,175534.353
000710.SZ,20200218,40.53,40.89,39.9,40.85,40.6,0.25,0.6158,49273.27,198541.434
000710.SZ,20200217,40.61,41.14,40.22,40.6,40.4,0.20000000000000284,0.495,52798.44,214214.188
000710.SZ,20200214,39.66,41.65,39.66,40.4,39.91,0.490000000000002,1.2278,44207.4,180469.724
000710.SZ,20200213,40.95,41.14,39.61,39.91,40.92,-1.0100000000000051,-2.4682,33713.97,135026.396
000710.SZ,20200212,39.79,41.0,39.69,40.92,39.85,1.0700000000000003,2.6851,39077.52,158084.928
000710.SZ,20200211,40.25,40.7,39.31,39.85,40.66,-0.8099999999999952,-1.9921,38211.18,152524.239
000710.SZ,20200210,41.34,41.98,40.01,40.66,40.32,0.3399999999999963,0.8433,42279.44,172486.494
000710.SZ,20200207,41.01,41.47,39.5,40.32,41.51,-1.1899999999999977,-2.8668,66529.0,269747.998
000710.SZ,20200206,41.65,43.06,41.21,41.51,41.31,0.19999999999999574,0.4841,83376.36,350166.277
000710.SZ,20200205,39.9,41.33,39.4,41.31,39.62,1.6900000000000048,4.2655,71138.12,287899.746
000710.SZ,20200204,39.21,40.88,37.85,39.62,38.69,0.9299999999999997,2.4037,67239.57,268262.227
000710.SZ,20200203,36.75,41.88,36.75,38.69,40.8,-2.1099999999999994,-5.1716,67470.15,263017.115
000710.SZ,20200123,42.1,42.7,39.73,40.8,42.09,-1.2900000000000063,-3.0649,58444.44,239652.754
000710.SZ,20200122,43.14,43.15,41.41,42.09,43.1,-1.009999999999998,-2.3434,60771.59,256272.502
000710.SZ,20200121,42.19,43.95,41.88,43.1,42.11,0.990000000000002,2.351,63446.26,273444.992
000710.SZ,20200120,42.46,43.37,40.05,42.11,41.52,0.5899999999999963,1.421,61872.54,258822.771
000710.SZ,20200117,41.35,42.64,40.96,41.52,41.13,0.39000000000000057,0.9482,43155.0,180373.807
000710.SZ,20200116,41.28,42.12,40.93,41.13,41.33,-0.19999999999999574,-0.4839,40136.43,166245.683
000710.SZ,20200115,40.14,42.12,40.01,41.33,40.42,0.9099999999999966,2.2514,62920.84,260111.836
000710.SZ,20200114,39.98,40.73,39.1,40.42,39.77,0.6499999999999986,1.6344,55150.57,219765.839
000710.SZ,20200113,39.0,39.77,38.2,39.77,39.32,0.45000000000000284,1.1445,42849.25,167130.816
000710.SZ,20200110,38.68,39.88,38.51,39.32,38.67,0.6499999999999986,1.6809,44620.02,175428.885
000710.SZ,20200109,38.69,39.58,38.28,38.67,38.05,0.6200000000000045,1.6294,48237.04,186730.582
000710.SZ,20200108,38.51,38.81,37.82,38.05,38.96,-0.9100000000000037,-2.3357,47998.72,184065.42
000710.SZ,20200107,37.05,39.3,37.05,38.96,37.07,1.8900000000000006,5.0985,65955.04,254616.53
000710.SZ,20200106,36.8,37.65,36.51,37.07,36.86,0.21000000000000085,0.5697,38951.81,145049.16
000710.SZ,20200103,37.3,37.34,36.63,36.86,37.15,-0.28999999999999915,-0.7806,38348.85,141813.079
000710.SZ,20200102,36.69,37.26,36.5,37.15,36.6,0.5499999999999972,1.5027,45795.91,169138.139
000710.SZ,20191231,35.41,36.97,35.31,36.6,35.38,1.2199999999999989,3.4483,55849.69,203396.643
000710.SZ,20191230,34.94,35.6,34.35,35.38,35.22,0.1600000000000037,0.4543,24242.22,85166.54
000710.SZ,20191227,35.55,35.88,35.0,35.22,35.59,-0.37000000000000455,-1.0396,32916.96,116471.049
000710.SZ,20191226,36.04,36.22,35.32,35.59,36.23,-0.6399999999999935,-1.7665,36382.91,129527.461
000710.SZ,20191225,36.12,36.46,35.91,36.23,36.54,-0.3100000000000023,-0.8484,21253.39,76953.063
000710.SZ,20191224,36.62,37.48,36.05,36.54,36.6,-0.060000000000002274,-0.1639,35600.44,130404.542
000710.SZ,20191223,36.2,36.97,36.02,36.6,36.51,0.09000000000000341,0.2465,32201.35,117602.76
000710.SZ,20191220,36.7,37.32,36.15,36.51,37.06,-0.5500000000000043,-1.4841,47668.6,174632.76
000710.SZ,20191219,35.92,37.65,35.69,37.06,36.25,0.8100000000000023,2.2345,62740.45,230101.214
000710.SZ,20191218,36.0,36.64,35.8,36.25,36.01,0.240000000000002,0.6665,41177.71,148756.218
000710.SZ,20191217,36.0,36.26,35.52,36.01,36.08,-0.07000000000000028,-0.194,39441.21,141618.374
000710.SZ,20191216,35.21,36.18,35.06,36.08,35.03,1.0499999999999972,2.9974,62917.69,224734.827
000710.SZ,20191213,34.73,35.15,34.4,35.03,34.58,0.45000000000000284,1.3013,36170.0,125598.501
000710.SZ,20191212,34.84,34.97,34.33,34.58,35.02,-0.44000000000000483,-1.2564,35527.4,122834.991
000710.SZ,20191211,35.25,35.9,35.01,35.02,35.23,-0.20999999999999375,-0.5961,42301.93,149844.978
000710.SZ,20191210,34.2,35.28,33.83,35.23,34.17,1.0599999999999952,3.1021,46580.44,162378.256
000710.SZ,20191209,34.73,34.85,33.95,34.17,34.73,-0.5599999999999952,-1.6124,27082.52,92635.57
000710.SZ,20191206,34.71,34.94,34.33,34.73,34.93,-0.20000000000000284,-0.5726,24795.91,85863.227
000710.SZ,20191205,34.32,35.0,34.02,34.93,34.28,0.6499999999999986,1.8961,33714.01,116615.12
000710.SZ,20191204,34.0,34.54,33.73,34.28,34.16,0.12000000000000455,0.3513,26372.53,90043.594
