ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000838.SZ,20200225,2.91,2.94,2.86,2.93,2.98,-0.04999999999999982,-1.6779,81034.49,23566.31
000838.SZ,20200224,2.99,2.99,2.95,2.98,2.98,0.0,0.0,58519.13,17369.376
000838.SZ,20200221,2.93,3.04,2.93,2.98,2.96,0.020000000000000018,0.6757,104675.63,31228.221
000838.SZ,20200220,2.9,2.96,2.88,2.96,2.92,0.040000000000000036,1.3699,95503.92,27960.942
000838.SZ,20200219,2.88,2.92,2.86,2.92,2.88,0.040000000000000036,1.3889,95659.01,27667.334
000838.SZ,20200218,2.87,2.9,2.84,2.88,2.88,0.0,0.0,95842.05,27485.722
000838.SZ,20200217,2.83,2.88,2.8,2.88,2.83,0.04999999999999982,1.7668,69026.18,19683.666
000838.SZ,20200214,2.8,2.85,2.79,2.83,2.81,0.020000000000000018,0.7117,57393.59,16182.274
000838.SZ,20200213,2.83,2.9,2.8,2.81,2.83,-0.020000000000000018,-0.7067,78048.01,22194.583
000838.SZ,20200212,2.82,2.84,2.8,2.83,2.82,0.010000000000000231,0.3546,43018.86,12139.186
000838.SZ,20200211,2.85,2.85,2.81,2.82,2.84,-0.020000000000000018,-0.7042,48938.16,13848.954
000838.SZ,20200210,2.82,2.85,2.79,2.84,2.8,0.040000000000000036,1.4286,46416.54,13107.235
000838.SZ,20200207,2.79,2.81,2.76,2.8,2.79,0.009999999999999787,0.3584,49772.13,13840.338
000838.SZ,20200206,2.81,2.82,2.74,2.79,2.8,-0.009999999999999787,-0.3571,83614.5,23304.704
000838.SZ,20200205,2.76,2.83,2.74,2.8,2.75,0.04999999999999982,1.8182,53069.5,14838.685
000838.SZ,20200204,2.61,2.8,2.59,2.75,2.79,-0.040000000000000036,-1.4337,66077.68,18165.179
000838.SZ,20200203,2.86,2.86,2.79,2.79,3.1,-0.31000000000000005,-10.0,68651.26,19200.608
000838.SZ,20200123,3.18,3.19,3.07,3.1,3.2,-0.10000000000000009,-3.125,52105.38,16317.101
000838.SZ,20200122,3.17,3.22,3.16,3.2,3.2,0.0,0.0,40170.1,12811.505
000838.SZ,20200121,3.23,3.24,3.2,3.2,3.24,-0.040000000000000036,-1.2346,28676.0,9215.547
000838.SZ,20200120,3.25,3.25,3.21,3.24,3.22,0.020000000000000018,0.6211,30670.0,9890.406
000838.SZ,20200117,3.23,3.25,3.22,3.22,3.23,-0.009999999999999787,-0.3096,27198.11,8789.737
000838.SZ,20200116,3.27,3.29,3.23,3.23,3.25,-0.020000000000000018,-0.6154,32202.33,10444.244
000838.SZ,20200115,3.28,3.29,3.23,3.25,3.28,-0.029999999999999805,-0.9146,37984.1,12362.883
000838.SZ,20200114,3.27,3.29,3.25,3.28,3.27,0.009999999999999787,0.3058,82348.2,27003.858
000838.SZ,20200113,3.25,3.27,3.23,3.27,3.25,0.020000000000000018,0.6154,45940.1,14927.151
000838.SZ,20200110,3.27,3.28,3.24,3.25,3.27,-0.020000000000000018,-0.6116,34278.0,11150.11
000838.SZ,20200109,3.26,3.29,3.24,3.27,3.24,0.029999999999999805,0.9259,58737.54,19177.8
000838.SZ,20200108,3.25,3.27,3.24,3.24,3.27,-0.029999999999999805,-0.9174,78529.5,25528.589
000838.SZ,20200107,3.24,3.28,3.24,3.27,3.26,0.010000000000000231,0.3067,76364.76,24876.977
000838.SZ,20200106,3.32,3.32,3.22,3.26,3.31,-0.050000000000000266,-1.5106,128305.91,41774.761
000838.SZ,20200103,3.21,3.32,3.21,3.31,3.23,0.08000000000000007,2.4768,129560.69,42152.918
000838.SZ,20200102,3.23,3.27,3.21,3.23,3.21,0.020000000000000018,0.6231,79237.5,25620.715
000838.SZ,20191231,3.16,3.22,3.15,3.21,3.19,0.020000000000000018,0.627,61914.12,19764.143
000838.SZ,20191230,3.14,3.23,3.14,3.19,3.14,0.04999999999999982,1.5924,75345.63,24007.953
000838.SZ,20191227,3.15,3.18,3.13,3.14,3.15,-0.009999999999999787,-0.3175,49909.35,15746.921
000838.SZ,20191226,3.11,3.19,3.11,3.15,3.12,0.029999999999999805,0.9615,45754.01,14434.121
000838.SZ,20191225,3.13,3.15,3.11,3.12,3.14,-0.020000000000000018,-0.6369,31271.35,9771.983
000838.SZ,20191224,3.1,3.14,3.1,3.14,3.1,0.040000000000000036,1.2903,23935.26,7483.189
000838.SZ,20191223,3.17,3.17,3.1,3.1,3.17,-0.06999999999999984,-2.2082,41027.0,12854.583
000838.SZ,20191220,3.17,3.23,3.16,3.17,3.18,-0.010000000000000231,-0.3145,42443.5,13546.289
000838.SZ,20191219,3.16,3.19,3.14,3.18,3.17,0.010000000000000231,0.3155,56175.63,17786.963
000838.SZ,20191218,3.17,3.3,3.16,3.17,3.18,-0.010000000000000231,-0.3145,92770.73,29837.146
000838.SZ,20191217,3.14,3.18,3.13,3.18,3.14,0.040000000000000036,1.2739,58457.5,18469.635
000838.SZ,20191216,3.11,3.14,3.09,3.14,3.11,0.03000000000000025,0.9646,37626.5,11751.32
000838.SZ,20191213,3.09,3.11,3.08,3.11,3.08,0.029999999999999805,0.974,29381.19,9090.713
000838.SZ,20191212,3.1,3.11,3.07,3.08,3.12,-0.040000000000000036,-1.2821,22197.0,6870.631
000838.SZ,20191211,3.11,3.12,3.1,3.12,3.1,0.020000000000000018,0.6452,18859.0,5864.072
000838.SZ,20191210,3.11,3.12,3.09,3.1,3.12,-0.020000000000000018,-0.641,18512.51,5732.888
000838.SZ,20191209,3.12,3.13,3.09,3.12,3.11,0.010000000000000231,0.3215,23510.5,7308.281
000838.SZ,20191206,3.1,3.12,3.1,3.11,3.11,0.0,0.0,17920.5,5566.697
000838.SZ,20191205,3.12,3.16,3.1,3.11,3.1,0.009999999999999787,0.3226,32398.0,10111.815
000838.SZ,20191204,3.08,3.1,3.07,3.1,3.09,0.010000000000000231,0.3236,17467.69,5395.121
000838.SZ,20191203,3.05,3.1,3.05,3.09,3.06,0.029999999999999805,0.9804,24988.19,7696.228
000838.SZ,20191202,3.06,3.08,3.05,3.06,3.05,0.010000000000000231,0.3279,21637.5,6623.632
000838.SZ,20191129,3.06,3.07,3.04,3.05,3.06,-0.010000000000000231,-0.3268,14494.0,4428.697
000838.SZ,20191128,3.06,3.07,3.04,3.06,3.05,0.010000000000000231,0.3279,12601.0,3853.01
000838.SZ,20191127,3.06,3.07,3.04,3.05,3.06,-0.010000000000000231,-0.3268,19504.0,5952.301
000838.SZ,20191126,3.09,3.09,3.06,3.06,3.09,-0.029999999999999805,-0.9709,19643.0,6031.603
000838.SZ,20191125,3.04,3.15,3.04,3.09,3.05,0.040000000000000036,1.3115,41145.5,12718.792
000838.SZ,20191122,3.09,3.1,3.04,3.05,3.07,-0.020000000000000018,-0.6515,25312.0,7762.143
000838.SZ,20191121,3.06,3.09,3.04,3.07,3.06,0.009999999999999787,0.3268,16521.03,5074.23
000838.SZ,20191120,3.08,3.1,3.06,3.06,3.09,-0.029999999999999805,-0.9709,18342.5,5652.614
000838.SZ,20191119,3.08,3.09,3.05,3.09,3.07,0.020000000000000018,0.6515,22053.0,6791.734
000838.SZ,20191118,3.04,3.08,3.03,3.07,3.02,0.04999999999999982,1.6556,22505.33,6889.865
000838.SZ,20191115,3.04,3.05,3.02,3.02,3.05,-0.029999999999999805,-0.9836,12172.0,3697.93
000838.SZ,20191114,3.03,3.07,3.03,3.05,3.05,0.0,0.0,20707.5,6322.14
000838.SZ,20191113,3.09,3.1,3.04,3.05,3.12,-0.07000000000000028,-2.2436,26028.0,7978.348
000838.SZ,20191112,3.05,3.28,3.01,3.12,3.02,0.10000000000000009,3.3113,61315.04,19129.683
000838.SZ,20191111,3.07,3.1,3.01,3.02,3.09,-0.06999999999999984,-2.2654,30886.55,9453.179
000838.SZ,20191108,3.14,3.15,3.08,3.09,3.13,-0.040000000000000036,-1.278,26076.0,8120.692
000838.SZ,20191107,3.13,3.15,3.1,3.13,3.13,0.0,0.0,19321.0,6034.35
000838.SZ,20191106,3.14,3.15,3.11,3.13,3.12,0.009999999999999787,0.3205,25432.5,7953.446
000838.SZ,20191105,3.11,3.13,3.09,3.12,3.11,0.010000000000000231,0.3215,23628.55,7345.565
000838.SZ,20191104,3.13,3.17,3.11,3.11,3.14,-0.03000000000000025,-0.9554,27487.0,8625.087
000838.SZ,20191101,3.09,3.14,3.07,3.14,3.07,0.07000000000000028,2.2801,38083.5,11855.679
000838.SZ,20191031,3.14,3.15,3.07,3.07,3.12,-0.050000000000000266,-1.6026,41668.5,12905.79
000838.SZ,20191030,3.12,3.16,3.11,3.12,3.23,-0.10999999999999988,-3.4056,92397.98,28926.913
000838.SZ,20191029,3.12,3.42,3.11,3.23,3.11,0.1200000000000001,3.8585,186800.98,61561.656
000838.SZ,20191028,3.09,3.11,3.06,3.11,3.08,0.029999999999999805,0.974,31029.58,9591.372
000838.SZ,20191025,3.09,3.1,3.07,3.08,3.1,-0.020000000000000018,-0.6452,18432.5,5683.861
000838.SZ,20191024,3.1,3.11,3.07,3.1,3.09,0.010000000000000231,0.3236,13021.0,4024.5
000838.SZ,20191023,3.11,3.14,3.09,3.09,3.12,-0.03000000000000025,-0.9615,16244.0,5052.967
000838.SZ,20191022,3.11,3.14,3.08,3.12,3.1,0.020000000000000018,0.6452,18041.0,5608.971
000838.SZ,20191021,3.06,3.1,3.05,3.1,3.07,0.03000000000000025,0.9772,18919.05,5815.338
000838.SZ,20191018,3.1,3.13,3.06,3.07,3.1,-0.03000000000000025,-0.9677,21215.0,6550.641
000838.SZ,20191017,3.12,3.15,3.1,3.1,3.14,-0.040000000000000036,-1.2739,19233.03,5999.406
000838.SZ,20191016,3.16,3.19,3.13,3.14,3.16,-0.020000000000000018,-0.6329,20708.0,6545.631
000838.SZ,20191015,3.22,3.22,3.15,3.16,3.18,-0.020000000000000018,-0.6289,24865.25,7899.152
000838.SZ,20191014,3.13,3.19,3.13,3.18,3.13,0.050000000000000266,1.5974,30753.35,9764.095
000838.SZ,20191011,3.13,3.17,3.11,3.13,3.13,0.0,0.0,23529.0,7374.372
000838.SZ,20191010,3.14,3.14,3.1,3.13,3.13,0.0,0.0,28019.0,8738.663
000838.SZ,20191009,3.09,3.16,3.06,3.13,3.09,0.040000000000000036,1.2945,29343.0,9155.86
000838.SZ,20191008,3.1,3.13,3.08,3.09,3.1,-0.010000000000000231,-0.3226,19473.0,6053.222
000838.SZ,20190930,3.09,3.13,3.09,3.1,3.1,0.0,0.0,16975.4,5274.473
000838.SZ,20190927,3.09,3.11,3.05,3.1,3.07,0.03000000000000025,0.9772,21800.0,6749.439
000838.SZ,20190926,3.16,3.18,3.06,3.07,3.15,-0.08000000000000007,-2.5397,37261.32,11558.635
000838.SZ,20190925,3.23,3.23,3.15,3.15,3.24,-0.0900000000000003,-2.7778,37095.04,11787.436
000838.SZ,20190924,3.21,3.27,3.21,3.24,3.22,0.020000000000000018,0.6211,37129.74,12028.815
000838.SZ,20190923,3.28,3.3,3.19,3.22,3.29,-0.06999999999999984,-2.1277,33961.0,10933.915
000838.SZ,20190920,3.26,3.32,3.26,3.29,3.29,0.0,0.0,42085.1,13838.181
000838.SZ,20190919,3.27,3.3,3.23,3.29,3.25,0.040000000000000036,1.2308,29244.4,9560.44
000838.SZ,20190918,3.25,3.28,3.23,3.25,3.24,0.009999999999999787,0.3086,29474.42,9610.488
000838.SZ,20190917,3.34,3.34,3.21,3.24,3.34,-0.09999999999999964,-2.994,61522.25,20112.76
000838.SZ,20190916,3.35,3.4,3.32,3.34,3.33,0.009999999999999787,0.3003,60101.33,20147.387
000838.SZ,20190912,3.3,3.36,3.3,3.33,3.3,0.03000000000000025,0.9091,46459.74,15494.864
000838.SZ,20190911,3.32,3.36,3.3,3.3,3.36,-0.06000000000000005,-1.7857,50146.5,16679.303
000838.SZ,20190910,3.32,3.36,3.28,3.36,3.32,0.040000000000000036,1.2048,65897.63,21826.731
000838.SZ,20190909,3.33,3.33,3.27,3.32,3.27,0.04999999999999982,1.5291,67112.16,22137.299
000838.SZ,20190906,3.32,3.33,3.24,3.27,3.31,-0.040000000000000036,-1.2085,49860.5,16315.916
000838.SZ,20190905,3.28,3.35,3.27,3.31,3.29,0.020000000000000018,0.6079,100090.12,33137.216
000838.SZ,20190904,3.2,3.37,3.19,3.29,3.21,0.08000000000000007,2.4922,95286.26,31172.295
000838.SZ,20190903,3.21,3.24,3.17,3.21,3.2,0.009999999999999787,0.3125,28852.0,9238.292
000838.SZ,20190902,3.14,3.21,3.11,3.2,3.14,0.06000000000000005,1.9108,32337.27,10299.675
000838.SZ,20190830,3.22,3.24,3.12,3.14,3.2,-0.06000000000000005,-1.875,44147.5,13981.129
000838.SZ,20190829,3.27,3.28,3.19,3.2,3.25,-0.04999999999999982,-1.5385,45661.18,14710.224
000838.SZ,20190828,3.23,3.33,3.19,3.25,3.24,0.009999999999999787,0.3086,60645.0,19690.509
000838.SZ,20190827,3.22,3.26,3.18,3.24,3.21,0.03000000000000025,0.9346,72489.95,23422.269
000838.SZ,20190826,3.18,3.22,3.1,3.21,3.29,-0.08000000000000007,-2.4316,132876.06,41928.984
