ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000899.SZ,20200225,4.49,4.52,4.44,4.5,4.57,-0.07000000000000028,-1.5317,31211.13,13989.122
000899.SZ,20200224,4.57,4.58,4.52,4.57,4.59,-0.019999999999999574,-0.4357,16387.27,7462.744
000899.SZ,20200221,4.65,4.67,4.56,4.59,4.61,-0.020000000000000462,-0.4338,27528.56,12647.622
000899.SZ,20200220,4.56,4.64,4.54,4.61,4.55,0.0600000000000005,1.3187,23813.46,10930.311
000899.SZ,20200219,4.58,4.58,4.53,4.55,4.57,-0.020000000000000462,-0.4376,12387.51,5650.514
000899.SZ,20200218,4.53,4.59,4.5,4.57,4.53,0.040000000000000036,0.883,21676.45,9865.355
000899.SZ,20200217,4.44,4.54,4.43,4.53,4.45,0.08000000000000007,1.7978,16250.96,7313.99
000899.SZ,20200214,4.46,4.51,4.44,4.45,4.5,-0.04999999999999982,-1.1111,15769.75,7037.41
000899.SZ,20200213,4.61,4.62,4.46,4.5,4.62,-0.1200000000000001,-2.5974,30807.37,13933.624
000899.SZ,20200212,4.47,4.7,4.4,4.62,4.44,0.17999999999999972,4.0541,41537.24,19064.277
000899.SZ,20200211,4.37,4.52,4.35,4.44,4.37,0.07000000000000028,1.6018,21602.71,9603.057
000899.SZ,20200210,4.27,4.37,4.26,4.37,4.3,0.07000000000000028,1.6279,18048.91,7816.419
000899.SZ,20200207,4.27,4.3,4.25,4.3,4.29,0.009999999999999787,0.2331,15703.46,6711.362
000899.SZ,20200206,4.26,4.3,4.21,4.29,4.26,0.03000000000000025,0.7042,16823.44,7181.57
000899.SZ,20200205,4.23,4.29,4.2,4.26,4.2,0.05999999999999961,1.4286,18443.0,7846.437
000899.SZ,20200204,4.06,4.3,4.06,4.2,4.19,0.009999999999999787,0.2387,28144.94,11800.546
000899.SZ,20200203,4.25,4.25,4.19,4.19,4.65,-0.45999999999999996,-9.8925,32496.0,13636.442
000899.SZ,20200123,4.75,4.76,4.57,4.65,4.77,-0.11999999999999922,-2.5157,17700.0,8274.325
000899.SZ,20200122,4.79,4.79,4.69,4.77,4.8,-0.03000000000000025,-0.625,14869.02,7048.888
000899.SZ,20200121,4.78,4.82,4.72,4.8,4.81,-0.009999999999999787,-0.2079,17603.94,8388.731
000899.SZ,20200120,4.76,4.81,4.75,4.81,4.76,0.04999999999999982,1.0504,12160.41,5800.388
000899.SZ,20200117,4.82,4.85,4.76,4.76,4.78,-0.020000000000000462,-0.4184,18281.62,8776.604
000899.SZ,20200116,4.83,4.87,4.78,4.78,4.84,-0.05999999999999961,-1.2397,13413.22,6466.997
000899.SZ,20200115,4.89,4.89,4.81,4.84,4.91,-0.07000000000000028,-1.4257,17113.1,8307.065
000899.SZ,20200114,4.89,4.93,4.89,4.91,4.91,0.0,0.0,12043.94,5918.894
000899.SZ,20200113,4.89,4.91,4.86,4.91,4.9,0.009999999999999787,0.2041,11786.0,5760.795
000899.SZ,20200110,4.91,4.92,4.88,4.9,4.91,-0.009999999999999787,-0.2037,13969.26,6844.327
