ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600790.SH,20200225,3.16,3.28,3.15,3.26,3.2,0.05999999999999961,1.875,195416.57,63004.43
600790.SH,20200224,3.21,3.22,3.18,3.2,3.23,-0.029999999999999805,-0.9288,72646.69,23255.451
600790.SH,20200221,3.22,3.25,3.22,3.23,3.23,0.0,0.0,74861.68,24174.345
600790.SH,20200220,3.19,3.24,3.17,3.23,3.19,0.040000000000000036,1.2539,93928.63,30106.128
600790.SH,20200219,3.21,3.21,3.18,3.19,3.21,-0.020000000000000018,-0.6231,53244.87,16985.989
600790.SH,20200218,3.19,3.23,3.18,3.21,3.18,0.029999999999999805,0.9434,62661.26,20051.346
600790.SH,20200217,3.13,3.19,3.13,3.18,3.12,0.06000000000000005,1.9231,79557.24,25188.187
600790.SH,20200214,3.12,3.14,3.1,3.12,3.12,0.0,0.0,58530.93,18250.528
600790.SH,20200213,3.16,3.17,3.1,3.12,3.16,-0.040000000000000036,-1.2658,66915.07,20961.433
600790.SH,20200212,3.18,3.19,3.13,3.16,3.18,-0.020000000000000018,-0.6289,105478.16,33302.664
600790.SH,20200211,3.19,3.22,3.18,3.18,3.21,-0.029999999999999805,-0.9346,74694.42,23868.394
600790.SH,20200210,3.18,3.21,3.16,3.21,3.22,-0.010000000000000231,-0.3106,88969.31,28341.64
600790.SH,20200207,3.07,3.26,3.06,3.22,3.09,0.13000000000000034,4.2071,178661.56,56115.557
600790.SH,20200206,3.06,3.11,3.03,3.09,3.07,0.020000000000000018,0.6515,119298.58,36612.859
600790.SH,20200205,3.04,3.11,3.03,3.07,3.05,0.020000000000000018,0.6557,111599.36,34263.078
600790.SH,20200204,3.0,3.06,3.0,3.05,3.02,0.029999999999999805,0.9934,107500.1,32520.429
600790.SH,20200203,3.02,3.05,3.02,3.02,3.35,-0.33000000000000007,-9.8507,109705.18,33142.502
600790.SH,20200123,3.44,3.45,3.34,3.35,3.45,-0.10000000000000009,-2.8986,107437.6,36422.36
600790.SH,20200122,3.48,3.49,3.43,3.45,3.47,-0.020000000000000018,-0.5764,88753.78,30670.107
600790.SH,20200121,3.47,3.5,3.45,3.47,3.49,-0.020000000000000018,-0.5731,55004.42,19103.458
600790.SH,20200120,3.51,3.53,3.45,3.49,3.51,-0.019999999999999574,-0.5698,105259.26,36588.407
600790.SH,20200117,3.61,3.62,3.5,3.51,3.62,-0.11000000000000032,-3.0387,110678.18,39293.714
600790.SH,20200116,3.55,3.74,3.53,3.62,3.54,0.08000000000000007,2.2599,290642.27,105784.632
600790.SH,20200115,3.48,3.66,3.44,3.54,3.48,0.06000000000000005,1.7241,152506.38,53564.051
600790.SH,20200114,3.48,3.49,3.46,3.48,3.48,0.0,0.0,43321.88,15053.614
600790.SH,20200113,3.47,3.49,3.46,3.48,3.47,0.009999999999999787,0.2882,46168.46,16039.412
600790.SH,20200110,3.48,3.5,3.47,3.47,3.47,0.0,0.0,43010.99,14967.008
600790.SH,20200109,3.45,3.48,3.45,3.47,3.44,0.03000000000000025,0.8721,68380.65,23687.741
600790.SH,20200108,3.46,3.48,3.43,3.44,3.48,-0.040000000000000036,-1.1494,88575.55,30592.122
600790.SH,20200107,3.44,3.48,3.44,3.48,3.44,0.040000000000000036,1.1628,71641.51,24790.02
600790.SH,20200106,3.42,3.46,3.41,3.44,3.44,0.0,0.0,71403.88,24527.075
600790.SH,20200103,3.44,3.46,3.42,3.44,3.44,0.0,0.0,79424.82,27341.192
600790.SH,20200102,3.41,3.45,3.4,3.44,3.4,0.040000000000000036,1.1765,109157.61,37373.969
600790.SH,20191231,3.4,3.41,3.37,3.4,3.4,0.0,0.0,68122.45,23086.935
600790.SH,20191230,3.36,3.4,3.34,3.4,3.37,0.029999999999999805,0.8902,45558.47,15399.682
600790.SH,20191227,3.35,3.4,3.35,3.37,3.36,0.010000000000000231,0.2976,46542.03,15733.098
600790.SH,20191226,3.35,3.37,3.34,3.36,3.36,0.0,0.0,43283.42,14507.382
600790.SH,20191225,3.33,3.38,3.32,3.36,3.33,0.029999999999999805,0.9009,40206.51,13482.725
600790.SH,20191224,3.31,3.34,3.31,3.33,3.3,0.03000000000000025,0.9091,27745.02,9227.242
600790.SH,20191223,3.39,3.39,3.3,3.3,3.38,-0.08000000000000007,-2.3669,55045.8,18452.274
600790.SH,20191220,3.4,3.41,3.37,3.38,3.4,-0.020000000000000018,-0.5882,46052.55,15605.558
600790.SH,20191219,3.38,3.41,3.38,3.4,3.39,0.009999999999999787,0.295,34657.22,11760.197
600790.SH,20191218,3.41,3.42,3.37,3.39,3.41,-0.020000000000000018,-0.5865,39005.12,13245.478
600790.SH,20191217,3.36,3.43,3.35,3.41,3.36,0.050000000000000266,1.4881,84639.62,28664.359
600790.SH,20191216,3.37,3.37,3.32,3.36,3.36,0.0,0.0,66597.4,22287.778
600790.SH,20191213,3.31,3.36,3.31,3.36,3.3,0.06000000000000005,1.8182,47099.12,15758.378
600790.SH,20191212,3.36,3.36,3.3,3.3,3.36,-0.06000000000000005,-1.7857,51293.08,17058.25
600790.SH,20191211,3.38,3.38,3.34,3.36,3.37,-0.010000000000000231,-0.2967,38188.08,12824.135
600790.SH,20191210,3.37,3.38,3.35,3.37,3.37,0.0,0.0,38526.66,12972.209
600790.SH,20191209,3.36,3.38,3.33,3.37,3.36,0.010000000000000231,0.2976,26538.3,8912.85
600790.SH,20191206,3.31,3.36,3.3,3.36,3.3,0.06000000000000005,1.8182,49639.81,16587.075
600790.SH,20191205,3.3,3.31,3.28,3.3,3.29,0.009999999999999787,0.304,25126.5,8299.988
600790.SH,20191204,3.27,3.31,3.26,3.29,3.28,0.010000000000000231,0.3049,37627.45,12353.662
600790.SH,20191203,3.26,3.29,3.24,3.28,3.27,0.009999999999999787,0.3058,30153.57,9821.975
600790.SH,20191202,3.29,3.3,3.25,3.27,3.28,-0.009999999999999787,-0.3049,29660.24,9709.342
600790.SH,20191129,3.3,3.3,3.27,3.28,3.3,-0.020000000000000018,-0.6061,27432.71,8990.798
600790.SH,20191128,3.31,3.33,3.28,3.3,3.32,-0.020000000000000018,-0.6024,38350.79,12676.206
600790.SH,20191127,3.37,3.37,3.31,3.32,3.37,-0.050000000000000266,-1.4837,53362.0,17767.961
600790.SH,20191126,3.42,3.43,3.36,3.37,3.41,-0.040000000000000036,-1.173,51997.0,17630.82
600790.SH,20191125,3.36,3.41,3.36,3.41,3.37,0.040000000000000036,1.1869,44945.29,15253.111
600790.SH,20191122,3.39,3.41,3.35,3.37,3.39,-0.020000000000000018,-0.59,39448.92,13344.364
600790.SH,20191121,3.38,3.41,3.35,3.39,3.38,0.010000000000000231,0.2959,37397.89,12660.034
600790.SH,20191120,3.4,3.41,3.37,3.38,3.41,-0.03000000000000025,-0.8798,30846.09,10445.339
600790.SH,20191119,3.4,3.42,3.38,3.41,3.39,0.020000000000000018,0.59,64541.54,21922.542
600790.SH,20191118,3.41,3.43,3.38,3.39,3.42,-0.029999999999999805,-0.8772,51096.2,17373.279
600790.SH,20191115,3.43,3.46,3.41,3.42,3.44,-0.020000000000000018,-0.5814,31135.4,10721.232
600790.SH,20191114,3.44,3.45,3.42,3.44,3.45,-0.010000000000000231,-0.2899,26394.9,9074.39
600790.SH,20191113,3.46,3.47,3.43,3.45,3.47,-0.020000000000000018,-0.5764,29827.97,10277.736
600790.SH,20191112,3.47,3.48,3.44,3.47,3.46,0.010000000000000231,0.289,18761.6,6483.918
600790.SH,20191111,3.53,3.53,3.45,3.46,3.53,-0.06999999999999984,-1.983,43698.94,15229.144
600790.SH,20191108,3.53,3.55,3.52,3.53,3.53,0.0,0.0,30236.86,10702.753
600790.SH,20191107,3.52,3.54,3.5,3.53,3.53,0.0,0.0,30431.29,10709.816
600790.SH,20191106,3.56,3.56,3.51,3.53,3.55,-0.020000000000000018,-0.5634,32550.4,11497.125
600790.SH,20191105,3.54,3.56,3.52,3.55,3.54,0.009999999999999787,0.2825,39596.42,14023.875
600790.SH,20191104,3.55,3.58,3.53,3.54,3.56,-0.020000000000000018,-0.5618,46369.88,16484.461
600790.SH,20191101,3.56,3.58,3.54,3.56,3.56,0.0,0.0,45693.21,16272.997
600790.SH,20191031,3.6,3.6,3.55,3.56,3.59,-0.029999999999999805,-0.8357,28930.4,10366.909
600790.SH,20191030,3.61,3.61,3.58,3.59,3.6,-0.010000000000000231,-0.2778,32914.17,11829.705
600790.SH,20191029,3.63,3.63,3.6,3.6,3.62,-0.020000000000000018,-0.5525,45811.75,16568.785
600790.SH,20191028,3.61,3.63,3.59,3.62,3.61,0.010000000000000231,0.277,37654.38,13604.303
600790.SH,20191025,3.6,3.61,3.55,3.61,3.6,0.009999999999999787,0.2778,48294.07,17330.43
600790.SH,20191024,3.59,3.6,3.56,3.6,3.58,0.020000000000000018,0.5587,36499.78,13087.391
600790.SH,20191023,3.6,3.61,3.58,3.58,3.62,-0.040000000000000036,-1.105,30375.38,10912.782
600790.SH,20191022,3.62,3.62,3.58,3.62,3.61,0.010000000000000231,0.277,45517.92,16383.697
600790.SH,20191021,3.55,3.64,3.54,3.61,3.56,0.04999999999999982,1.4045,77690.34,27975.576
